negatives
"('Q14789', 'Q9H8Y8')"
"('P49588', 'P42224')"
"('Q04637', 'Q9UHX1')"
"('P29372', 'P05067')"
"('Q9Y297', 'Q96T88')"
"('O14980', 'Q93073')"
"('P05067', 'Q96NN9')"
"('Q7Z478', 'P13995')"
"('Q15468', 'O95817')"
"('Q99832', 'P05412')"
"('Q8N806', 'Q8N543')"
"('P18206', 'Q96FF9')"
"('P17844', 'P53779')"
"('F7VJQ1', 'Q9NPF8')"
"('P15056', 'P37058')"
"('P10828', 'Q99873')"
"('Q13075', 'Q15750')"
"('O15084', 'Q96LK0')"
"('P34897', 'O75792')"
"('Q6NT76', 'O75553')"
"('Q8N9N5', 'Q86UA1')"
"('P61421', 'Q9Y5K8')"
"('O15344', 'P78318')"
"('P28331', 'O96000')"
"('O14561', 'Q9NWU1')"
"('Q03188', 'O95229')"
"('P0DML2', 'P78552')"
"('Q9H1A4', 'Q9UBU9')"
"('P00533', 'Q8TF42')"
"('Q6PGP7', 'P00533')"
"('O75556', 'Q8NFR7')"
"('Q9UJ04', 'Q8TD10')"
"('Q6NVY1', 'P11172')"
"('Q9Y240', 'Q5T0W9')"
"('P35240', 'Q9P258')"
"('Q8N6S4', 'Q13258')"
"('Q01094', 'P04637')"
"('O75665', 'Q9BVM2')"
"('P09651', 'P05362')"
"('Q9UEU0', 'P13569')"
"('Q99880', 'Q6FI13')"
"('Q8NBB4', 'Q96IT1')"
"('Q9BYQ3', 'Q5T751')"
"('Q8IUC1', 'P05813')"
"('P02511', 'Q9H8Y8')"
"('Q9BWG6', 'P60411')"
"('P42771', 'Q9NXV6')"
"('P08514', 'Q9HBI0')"
"('P54652', 'Q9NYJ8')"
"('P18564', 'P06756')"
"('Q9NZC7', 'P07476')"
"('O60739', 'Q13347')"
"('Q9HCK1', 'P48431')"
"('Q5JWF2', 'Q8NI27')"
"('P61201', 'P60900')"
"('Q9BVG9', 'Q6NUS6')"
"('O95478', 'Q9NRC8')"
"('P01137', 'Q96QR1')"
"('Q9UBU9', 'Q9BVK2')"
"('Q13616', 'P50914')"
"('P50151', 'P27986')"
"('Q5QJE6', 'Q16666')"
"('Q9UQ72', 'Q96IW2')"
"('Q9HC77', 'Q9UBU9')"
"('Q8NHY3', 'Q15691')"
"('P41597', 'P61073')"
"('Q9UPR3', 'Q9Y2T4')"
"('Q969F0', 'P20226')"
"('O95379', 'Q9NZ81')"
"('P25098', 'Q8NH53')"
"('Q9NZ43', 'O43264')"
"('Q99598', 'P42224')"
"('Q9P2D0', 'P17252')"
"('P40692', 'P15173')"
"('Q86UE8', 'Q02548')"
"('O75553', 'Q9BTL3')"
"('Q8WVZ9', 'Q6P1M3')"
"('P20618', 'Q8TAA3')"
"('O43707', 'P68032')"
"('O43708', 'Q9H0C1')"
"('P31749', 'Q86VP3')"
"('P22234', 'P11171')"
"('Q8TEB1', 'P60484')"
"('Q9BVS5', 'Q5BKU9')"
"('P25398', 'P05067')"
"('Q5MIZ7', 'Q53ET0')"
"('P62877', 'Q92813')"
"('P60900', 'P50990')"
"('Q8N806', 'Q86UA6')"
"('Q00587', 'P31946')"
"('Q9BXN2', 'Q9BZL3')"
"('O75935', 'P20700')"
"('P18031', 'P61421')"
"('Q86WN1', 'Q9HCE1')"
"('P04637', 'P16070')"
"('P60411', 'P35900')"
"('Q9H492', 'P0DMV9')"
"('P22626', 'P12270')"
"('P61313', 'Q96C28')"
"('O15143', 'Q9Y3C4')"
"('Q8IYM1', 'P20700')"
"('P62906', 'P62945')"
"('Q01469', 'Q01860')"
"('Q9Y277', 'P20674')"
"('Q96CS7', 'Q9NQ87')"
"('Q9UKT9', 'P62993')"
"('O15318', 'P61218')"
"('P34810', 'Q9UGJ1')"
"('Q9BQ83', 'Q9BTK6')"
"('Q6PGP7', 'P06748')"
"('Q8IYW5', 'P04908')"
"('P06213', 'Q92569')"
"('P51654', 'Q93098')"
"('Q07108', 'P21453')"
"('Q99459', 'Q9UNH7')"
"('P35240', 'P06702')"
"('Q9NSA0', 'P35637')"
"('Q8WXA9', 'Q14498')"
"('P19875', 'P27986')"
"('Q9Y4H4', 'Q9P0T4')"
"('P68400', 'O14979')"
"('P47755', 'Q6P4F7')"
"('Q99523', 'Q07866')"
"('Q16576', 'Q96N64')"
"('Q6P1L8', 'O95182')"
"('P62140', 'Q12824')"
"('P08865', 'Q9Y5S9')"
"('Q99728', 'P25963')"
"('P27540', 'P12931')"
"('P0DML2', 'Q15796')"
"('P00750', 'P09429')"
"('O95630', 'Q9HAU4')"
"('Q92905', 'Q5XUX0')"
"('Q8IX15', 'Q14498')"
"('O14950', 'P24941')"
"('O75901', 'O14640')"
"('Q14183', 'O14795')"
"('Q8TEP8', 'P06733')"
"('Q01094', 'Q9UJU2')"
"('O15379', 'O75533')"
"('O14980', 'Q13509')"
"('Q13011', 'Q9P032')"
"('Q96B97', 'Q68CZ1')"
"('P13682', 'P31321')"
"('Q05397', 'P40259')"
"('Q14166', 'P61960')"
"('Q16557', 'Q00887')"
"('Q01844', 'P06702')"
"('Q9P1Z2', 'Q9ULX9')"
"('P31689', 'P10398')"
"('Q7L2E3', 'Q12906')"
"('P34947', 'P62191')"
"('P27695', 'O43684')"
"('P78362', 'Q8TE68')"
"('P14324', 'P30520')"
"('P62166', 'Q9UHB9')"
"('P57721', 'O60218')"
"('Q9H7D0', 'Q92556')"
"('P35579', 'Q9Y4I1')"
"('Q9Y5V3', 'O60573')"
"('Q14566', 'Q15459')"
"('P54709', 'O95864')"
"('Q99459', 'P33991')"
"('Q6A162', 'Q05516')"
"('Q96MH2', 'Q8IYX7')"
"('Q9UHC7', 'P51668')"
"('Q86Y56', 'Q96GG9')"
"('Q13077', 'P31273')"
"('O95169', 'O96008')"
"('Q8N556', 'P68032')"
"('Q92567', 'Q8WU79')"
"('Q12933', 'Q2KHT4')"
"('Q8N2W9', 'Q6Q0C0')"
"('P54646', 'Q86TI0')"
"('Q99735', 'Q16585')"
"('P0DP23', 'Q92731')"
"('Q9Y3B4', 'Q12906')"
"('O43918', 'Q8TEQ6')"
"('P49841', 'Q9UJW3')"
"('P24928', 'Q9NQG5')"
"('Q8N138', 'P05067')"
"('P46108', 'Q8ND30')"
"('P16615', 'Q9BQE3')"
"('Q9Y3L3', 'P63000')"
"('O43491', 'Q05682')"
"('Q96DT0', 'Q9UGP4')"
"('Q8WWI1', 'P46940')"
"('Q7Z5R6', 'Q9ULM0')"
"('P25098', 'Q8NGX6')"
"('Q9BXB1', 'P35579')"
"('Q8N5M4', 'P15374')"
"('P68371', 'P27708')"
"('P08865', 'O15042')"
"('O95363', 'O75558')"
"('P20702', 'Q02447')"
"('Q96E11', 'Q13643')"
"('Q9Y2B9', 'P63167')"
"('Q9H0W5', 'Q14683')"
"('Q13158', 'Q9H422')"
"('P23443', 'P53041')"
"('Q8NBJ4', 'Q16478')"
"('Q9P2J3', 'Q7L5N1')"
"('Q14192', 'P49736')"
"('P01106', 'O95236')"
"('Q9NWT6', 'O60547')"
"('P50221', 'Q96CN9')"
"('P48047', 'O75489')"
"('O43809', 'P78362')"
"('Q13535', 'Q15007')"
"('Q86VG3', 'P36873')"
"('Q8TDR0', 'P13645')"
"('P28360', 'Q07687')"
"('P27824', 'Q6PK18')"
"('Q9Y2U9', 'Q8IVD9')"
"('O00764', 'Q9Y478')"
