negatives
"('Q13535', 'Q7Z6Z7')"
"('P23763', 'Q16623')"
"('P62195', 'P62333')"
"('Q9H9L3', 'P46108')"
"('Q16795', 'O14561')"
"('P63151', 'P32121')"
"('O00401', 'P63261')"
"('Q9H324', 'P35914')"
"('P47992', 'P25025')"
"('P41161', 'P10275')"
"('Q9UJ70', 'Q6UXN9')"
"('P01889', 'P07498')"
"('P19838', 'P04150')"
"('Q9H0R8', 'Q9Y4P1')"
"('P32969', 'Q07020')"
"('Q15257', 'P67775')"
"('Q92734', 'P01112')"
"('Q92922', 'Q969G3')"
"('Q14653', 'Q13568')"
"('P20700', 'P42166')"
"('Q16594', 'Q8WVD3')"
"('P02794', 'Q92574')"
"('P50453', 'Q13885')"
"('P29597', 'Q06124')"
"('Q6ZYL4', 'P19447')"
"('Q71F23', 'P12956')"
"('Q96KM6', 'O75794')"
"('Q9BTT4', 'Q9NWA0')"
"('Q8WUM4', 'P23508')"
"('P60709', 'P05386')"
"('Q99459', 'Q92888')"
"('Q9Y2I6', 'Q7L590')"
"('O60563', 'Q13573')"
"('Q9H6R7', 'Q9Y230')"
"('O43586', 'P06729')"
"('Q13114', 'O43734')"
"('P11229', 'P38405')"
"('P57058', 'P67775')"
"('P28482', 'Q9BRR9')"
"('Q9UQL6', 'Q93077')"
"('Q03135', 'P35243')"
"('P21675', 'Q8WUM0')"
"('Q9H2U1', 'Q9NVD7')"
"('Q8NFJ9', 'Q99814')"
"('P05783', 'P52735')"
"('Q13315', 'Q6PIW4')"
"('407041', 'P01106')"
"('P05015', 'P42702')"
"('O43924', 'Q92730')"
"('P12643', 'P36894')"
"('P45984', 'P32121')"
"('Q8N6I1', 'P84022')"
"('P53350', 'P56537')"
"('P36873', 'Q16816')"
"('O43390', 'P51991')"
"('P61978', 'Q14103')"
"('P22694', 'P04899')"
"('P42702', 'P48736')"
"('Q96BK5', 'P37108')"
"('Q9BRX9', 'P09234')"
"('Q92914', 'P08138')"
"('P52926', 'Q04206')"
"('Q15287', 'Q15393')"
"('P12277', 'P19838')"
"('P08238', 'P31749')"
"('Q7Z406', 'P19105')"
"('P61313', 'P61353')"
"('O00221', 'P27708')"
"('Q13535', 'Q9H063')"
"('P62136', 'P15735')"
"('O95059', 'Q9UMN6')"
"('Q99459', 'P55884')"
"('Q99962', 'P17948')"
"('Q96T76', 'Q15773')"
"('P49841', 'Q13794')"
"('P0C5Z0', 'Q93079')"
"('Q96GM8', 'Q9BQA1')"
"('P05386', 'P61254')"
"('P22695', 'P31930')"
"('P15498', 'P52735')"
"('Q15637', 'O60861')"
"('O00141', 'O14920')"
"('P15880', 'P35544')"
"('Q9NRR5', 'Q96SL4')"
"('P30793', 'O60684')"
"('P02768', 'Q9BTX7')"
"('Q9UK08', 'P84996')"
"('P10827', 'O15379')"
"('P38936', 'P04183')"
"('P00492', 'Q9Y478')"
"('Q01201', 'P11142')"
"('Q9UBS4', 'Q15910')"
"('Q13404', 'Q9HCM9')"
"('P62330', 'Q92945')"
"('Q12933', 'P62158')"
"('P30101', 'P12111')"
"('P15498', 'O15524')"
"('Q9UBE8', 'P40763')"
"('Q15843', 'P18077')"
"('P04275', 'Q76LX8')"
"('O00264', 'P28288')"
"('Q96CW1', 'P09497')"
"('P06241', 'P20916')"
"('Q53T94', 'Q15572')"
"('Q13191', 'P16471')"
"('Q16576', 'Q9UKG1')"
"('Q9P1U0', 'Q99700')"
"('407025', 'Q00534')"
"('P62753', 'Q15349')"
"('O75934', 'Q99459')"
"('P02766', 'O95741')"
"('Q06732', 'Q9UKY1')"
"('P17252', 'P51828')"
"('Q96EV8', 'Q9UL45')"
"('P20700', 'Q96RG2')"
"('P32969', 'Q8TB05')"
"('Q13444', 'Q15645')"
"('P12814', 'P63261')"
"('P51965', 'Q9H6Y7')"
"('P08476', 'P61812')"
"('P00558', 'P16104')"
"('Q96JH8', 'P24941')"
"('Q13424', 'Q99712')"
"('P29350', 'P23458')"
"('P50591', 'Q15628')"
"('P62829', 'P18621')"
"('P01112', 'O00329')"
"('Q13283', 'Q14164')"
"('P51452', 'P53779')"
"('O15504', 'Q8TEM1')"
"('P30411', 'P50148')"
"('Q9HBE4', 'Q9HC73')"
"('P20591', 'Q14653')"
"('P05141', 'Q9Y6K9')"
"('P30279', 'P06400')"
"('P33993', 'P25205')"
"('Q6DRA6', 'Q9C005')"
"('P40937', 'P51681')"
"('Q9P2M7', 'Q9UDY2')"
"('Q9NYG5', 'O95997')"
"('Q96PU8', 'Q9NQZ3')"
"('Q13573', 'O15131')"
"('P62330', 'Q969V3')"
"('Q13131', 'Q05469')"
"('P49755', 'P40337')"
"('P23508', 'Q96C36')"
"('Q9HCE7', 'Q00532')"
"('Q8IZI9', 'Q5VWK5')"
"('Q13442', 'P01127')"
"('P43403', 'Q96P31')"
"('P35626', 'Q8NGS1')"
"('Q9H3D4', 'P11388')"
"('O75553', 'P21860')"
"('Q96RK0', 'Q8IYM9')"
"('O60671', 'Q9UIF7')"
"('Q8N264', 'Q7L0Q8')"
"('Q9UI26', 'Q9Y5J5')"
"('Q9Y6X6', 'Q7L576')"
"('Q9UL40', 'P19525')"
"('Q8WXK3', 'Q9BVJ7')"
"('Q9H4K1', 'O94972')"
"('P10599', 'Q14103')"
"('O96019', 'Q53TQ3')"
"('Q9NYJ8', 'O14733')"
"('P01241', 'O75190')"
"('P43364', 'P30048')"
"('Q16849', 'Q13332')"
"('Q9H9A7', 'Q13472')"
"('Q7Z408', 'P06241')"
"('Q02543', 'P61353')"
"('P26368', 'P98175')"
"('O43395', 'P26368')"
"('Q8IZ69', 'Q16637')"
"('P18085', 'Q13573')"
"('P22612', 'P13637')"
"('Q7L523', 'Q9HB90')"
"('P05019', 'P51812')"
"('Q9NX70', 'Q9NPJ6')"
"('P0CG48', 'P46934')"
"('Q6UXH1', 'P49841')"
"('P06241', 'Q15762')"
"('P06733', 'P49023')"
"('Q8WXH5', 'Q99062')"
"('O15457', 'P40692')"
"('Q92583', 'P49238')"
"('O15524', 'P38484')"
"('Q96PU5', 'Q9H469')"
"('Q14197', 'Q9BU61')"
"('Q13162', 'P21731')"
"('P59901', 'O75015')"
"('P55884', 'O00571')"
"('P41227', 'Q16665')"
"('P78556', 'P49238')"
"('O00459', 'P13637')"
"('P22303', 'P05067')"
"('P51817', 'O43889')"
"('Q9H237', 'Q93097')"
"('Q99558', 'P62241')"
"('Q13554', 'O60840')"
"('O43493', 'P27986')"
"('P35606', 'Q9HAW0')"
"('P16104', 'P04179')"
"('P31995', 'O15264')"
"('Q5VVX9', 'Q86UV6')"
"('P13591', 'Q16620')"
"('O95166', 'O15040')"
"('P63104', 'P26045')"
"('P16298', 'Q9NYG5')"
"('P18206', 'P08865')"
"('Q9P0I2', 'Q14164')"
"('P46109', 'O15162')"
"('Q9C0C7', 'Q9GZQ8')"
"('Q9ULK6', 'Q9Y2X8')"
"('Q9H361', 'Q14201')"
"('Q9BW27', 'Q99567')"
"('P19022', 'P35236')"
"('Q9UJ98', 'O60216')"
"('Q00653', 'Q92734')"
"('P10070', 'P08151')"
"('P16152', 'O15264')"
"('406933', 'Q9Y2I8')"
"('P68036', 'Q8IZP6')"
"('P63104', 'P41743')"
"('P13569', 'P51159')"
"('Q9UNE7', 'P51116')"
"('Q29983', 'P17931')"
"('P09486', 'P01127')"
"('Q15797', 'O94973')"
"('P26641', 'Q13509')"
"('Q96B97', 'Q9NYB9')"
"('O14639', 'P08670')"
"('Q13287', 'P38398')"
"('P51817', 'P10070')"
"('P60866', 'Q99547')"
