negatives
"('O75486', 'Q9HBM6')"
"('Q9H7U1', 'Q9GZM8')"
"('Q9NW38', 'Q8IYD8')"
"('Q15819', 'P98170')"
"('Q15052', 'Q96D09')"
"('Q9NWA0', 'P10809')"
"('P01375', 'P55957')"
"('P61978', 'P36543')"
"('P22105', 'P56199')"
"('P25208', 'Q04743')"
"('Q9H4D5', 'Q9BZI7')"
"('P10275', 'P84022')"
"('P49753', 'Q9NRM2')"
"('P19525', 'P05198')"
"('P62807', 'Q99878')"
"('Q9UL18', 'Q9Y230')"
"('P62280', 'P62241')"
"('Q13315', 'O75533')"
"('P42338', 'P50993')"
"('P02787', 'P16871')"
"('Q9P2Y5', 'Q07812')"
"('O75530', 'P13612')"
"('P42331', 'P61586')"
"('P63104', 'O95382')"
"('P01730', 'Q9Y297')"
"('P62987', 'P26373')"
"('P61088', 'Q9NS56')"
"('P55075', 'P22455')"
"('P61956', 'P63279')"
"('Q6VN20', 'Q5VU97')"
"('P68400', 'P04156')"
"('Q5VWQ8', 'P01112')"
"('P28221', 'P09471')"
"('P17612', 'Q8IZS8')"
"('Q15287', 'P07910')"
"('Q99459', 'Q9NY15')"
"('P35968', 'P98077')"
"('P62993', 'O94907')"
"('O43677', 'O00217')"
"('Q9Y6I3', 'Q9P2H0')"
"('P30050', 'P39023')"
"('P34932', 'Q9UBR2')"
"('Q9Y3F4', 'P01889')"
"('O60907', 'P63208')"
"('Q96RQ3', 'Q00005')"
"('Q12933', 'Q8N5R6')"
"('O75604', 'Q00987')"
"('P68032', 'P06753')"
"('Q99523', 'P24941')"
"('O15169', 'Q15796')"
"('P32242', 'Q99750')"
"('Q9H583', 'Q5TCY1')"
"('Q93062', 'Q9NQ87')"
"('P01106', 'Q6ZNE5')"
"('Q9Y294', 'Q09028')"
"('O00422', 'P61247')"
"('Q9H171', 'Q92985')"
"('P04183', 'Q5VU43')"
"('P21333', 'O95163')"
"('Q9Y4K3', 'Q13748')"
"('P40189', 'P62993')"
"('Q14134', 'P63279')"
