negatives
"('Q7L2J0', 'Q86XP3')"
"('Q8NB12', 'Q6J272')"
"('P08238', 'P33993')"
"('P31749', 'Q15942')"
"('P20226', 'Q13363')"
"('Q03135', 'P20648')"
"('O43291', 'Q12834')"
"('Q9NQT5', 'Q06265')"
"('Q9UHR5', 'Q14315')"
"('P02766', 'P50502')"
"('Q9BVJ6', 'Q13625')"
"('Q9C0J1', 'Q8NBJ4')"
"('P07900', 'P42679')"
"('P62995', 'P49759')"
"('P62158', 'P01889')"
"('P62873', 'P03372')"
"('O15379', 'Q06330')"
"('O15144', 'Q96AE4')"
"('P04637', 'Q6SJ96')"
"('O75832', 'O00299')"
"('Q6P2E9', 'Q9NZC7')"
"('P59998', 'P05412')"
"('P04629', 'Q9C0D3')"
"('P46934', 'P04062')"
"('Q9NTJ4', 'Q6ZVL6')"
"('P61962', 'Q04917')"
"('Q03431', 'O14745')"
"('Q9NU22', 'Q14137')"
"('Q9BZS1', 'P35398')"
"('Q14978', 'P05412')"
"('Q9UQL6', 'P25205')"
"('P26371', 'Q15077')"
"('O75973', 'P13598')"
"('O43929', 'Q9NRD1')"
"('Q96A08', 'Q9Y5B9')"
"('P05067', 'Q13526')"
"('P51003', 'P26639')"
"('Q5SQS8', 'P50222')"
"('A8K2U0', 'P09651')"
"('Q13618', 'Q9BRJ7')"
"('Q5SZQ8', 'Q14576')"
"('Q9UHD9', 'Q6L8Q7')"
"('Q96ES6', 'P60371')"
"('Q8N3Z6', 'Q9H257')"
"('O75489', 'Q9BYD1')"
"('Q9H2C0', 'P07197')"
"('Q9NZD8', 'Q9H6L4')"
"('Q6P2E9', 'P27694')"
"('Q13464', 'P15311')"
"('Q9Y2K9', 'O00161')"
"('Q9BQ87', 'Q9BZK7')"
"('Q9NQB0', 'P41134')"
"('Q13087', 'Q3LI64')"
"('Q9NX70', 'O95402')"
"('P13984', 'O00124')"
"('Q96HE7', 'Q9Y570')"
"('O75170', 'Q70CQ1')"
"('P55769', 'Q9UPE1')"
"('Q96BK5', 'Q9Y2B0')"
"('P05386', 'P11441')"
"('Q8IZL8', 'Q14192')"
"('P63104', 'Q99698')"
"('P39687', 'O60684')"
"('Q969W8', 'P45973')"
"('P35414', 'P16520')"
