negatives
"('Q9Y6J0', 'P62158')"
"('Q96HA1', 'P12270')"
"('Q9P2G9', 'O95050')"
"('Q8TAE8', 'O75293')"
"('Q7Z4H7', 'Q9Y580')"
"('343477', 'Q16665')"
"('P06493', 'Q9Y5T5')"
"('Q9Y697', 'Q16762')"
"('Q07002', 'P63104')"
"('Q13077', 'Q9NS68')"
"('Q969Q6', 'O60840')"
"('O75807', 'P35638')"
"('P62899', 'P49207')"
"('Q16611', 'Q05086')"
"('Q96QK8', 'Q9Y4Z0')"
"('P40225', 'P48357')"
"('P33991', 'P23508')"
"('O15121', 'P18146')"
"('P19838', 'Q15788')"
"('P01589', 'P15884')"
"('P41252', 'O00141')"
"('Q8IU57', 'P23458')"
"('Q9P1Z2', 'P36402')"
"('P36873', '5512')"
"('P15884', 'P56545')"
"('Q8TB72', 'Q8WY41')"
"('Q15435', 'Q9Y243')"
"('P18084', 'P17252')"
"('Q9UBS5', 'P09471')"
"('P62324', 'Q9UIV1')"
"('Q9UJX6', 'A0JLT2')"
"('Q9UKV8', 'P68104')"
"('P17568', 'O95299')"
"('P21810', 'P02452')"
"('P15018', 'P17181')"
"('Q13424', 'O60241')"
"('P16220', 'Q5HYC2')"
"('Q9Y3B3', 'P04000')"
"('Q07817', 'Q86XA0')"
"('Q8TEW0', 'P84022')"
"('Q9BTT6', 'Q96RT1')"
"('P42766', 'P62913')"
"('Q8TEW0', 'Q9UL42')"
"('Q9NPD8', 'Q8N448')"
"('Q9HBW0', 'P63218')"
"('P10147', 'P32248')"
"('Q86UW9', 'P37235')"
"('Q13535', 'P53350')"
"('P25205', 'Q99741')"
"('O95816', 'Q9GZX7')"
"('O75528', 'Q9H213')"
"('O15379', 'Q16665')"
"('O95295', 'P78537')"
"('Q9Y6N7', 'P07437')"
"('P27986', 'P49916')"
"('P13686', 'Q96DI7')"
"('Q9Y375', 'P60660')"
"('P16104', 'Q8NEM0')"
"('P02652', 'P02768')"
"('P50150', 'O60840')"
"('Q99459', 'P39748')"
"('O15265', 'O94864')"
"('Q9UL17', 'O95948')"
"('P05386', 'P18077')"
"('O75800', 'Q9NS56')"
"('P25942', 'O00141')"
"('Q14562', 'Q9Y580')"
"('Q13490', 'O95819')"
"('O60244', 'Q9Y4A5')"
"('P15927', 'P68104')"
"('P51532', 'P51531')"
"('P06899', 'Q96QV6')"
"('P01106', 'Q13794')"
"('P17544', 'P05412')"
"('Q9Y5U8', 'O95166')"
"('O76071', 'P20618')"
"('P63267', 'Q9UI47')"
"('Q9NX14', 'Q86Y39')"
"('P21741', 'P31431')"
"('Q9UL03', 'Q9HAU5')"
"('P12757', 'O75376')"
"('Q9UKR5', 'P31942')"
"('Q06187', 'Q01844')"
"('Q9NTJ3', 'Q15003')"
"('P54253', 'P62258')"
"('Q9H4D5', 'Q13769')"
"('Q02156', 'Q07812')"
"('P18124', 'P05386')"
"('Q99759', 'O15027')"
"('Q96NY9', 'Q92698')"
"('P51965', 'Q99496')"
"('Q9Y4K3', 'Q6IA17')"
"('P22314', 'P10070')"
"('Q14145', 'P60520')"
"('Q08117', 'Q02543')"
"('P55157', 'O75751')"
"('P01889', 'P54136')"
"('P05067', 'P36544')"
"('P06241', 'Q14643')"
"('P01579', 'O15105')"
"('Q9H1K0', 'Q9H4M9')"
"('P07949', 'Q9ULV8')"
"('Q9Y3F4', 'Q8WXD5')"
"('Q99459', 'Q9H8V3')"
"('P35626', 'Q8NGR5')"
"('Q14289', 'Q15047')"
"('P62854', 'P62269')"
"('Q8IUF1', 'P30084')"
"('Q13363', 'Q9UBG7')"
"('P07359', 'P07948')"
"('Q9Y6K9', 'P07437')"
"('Q9BZM3', 'P00519')"
"('P14778', 'Q9NWZ3')"
"('P12931', 'P14317')"
"('Q13535', 'Q969E4')"
"('Q13573', 'O14686')"
"('P00533', 'P51681')"
"('P61586', 'Q03135')"
"('P16298', 'Q01668')"
"('P05386', 'P62424')"
"('O95819', 'Q9BQ67')"
"('Q04864', 'Q99558')"
"('O43353', 'O95999')"
"('O14497', 'O94805')"
"('P45983', 'Q13873')"
"('P01241', 'P24752')"
"('P62491', 'P49768')"
"('P01112', 'P52306')"
"('Q13163', 'Q9Y5S2')"
"('Q04206', 'P10275')"
"('O60238', 'Q92934')"
