negatives
"('P13500', 'P32246')"
"('Q14254', 'P13569')"
"('P61313', 'P18621')"
"('P56556', 'P03905')"
"('P17655', 'P10415')"
"('Q15831', 'Q9H9S4')"
"('Q13283', 'Q14444')"
"('Q9P104', 'O60238')"
"('P16333', 'O00294')"
"('P53778', 'Q07812')"
"('P05387', 'P39023')"
"('P47928', 'Q14469')"
"('Q8IXH7', 'Q99623')"
"('Q15843', 'P32969')"
"('P24522', 'O75165')"
"('P16104', 'Q16695')"
"('Q9Y5B9', 'Q16778')"
"('Q9ULV8', 'P26992')"
"('Q86UA6', 'P07437')"
"('O95155', 'P10144')"
"('P12532', 'P56537')"
"('P11474', 'Q9Y4A5')"
"('P29459', 'Q08334')"
"('P02794', 'Q9BY11')"
"('Q13485', 'P63010')"
"('P68104', 'Q9UNF1')"
"('Q24JQ0', 'Q99750')"
"('Q93008', 'Q07820')"
"('P22061', 'Q14164')"
"('P07437', 'Q01101')"
"('Q16795', 'O95299')"
"('O00273', 'P27708')"
"('P53708', 'P17301')"
"('Q13153', 'O14733')"
"('Q16254', 'P20248')"
"('Q6ZNG1', 'Q16659')"
"('P46459', 'P23467')"
"('Q12769', 'Q8WYP5')"
"('Q13112', 'Q99877')"
"('P30281', 'Q00534')"
"('Q9NP31', 'P00533')"
"('Q6P2Q9', 'O75643')"
"('Q9NZQ3', 'Q9Y2X8')"
"('Q99814', 'O14503')"
"('Q9NPF4', 'O95785')"
"('Q9Y230', 'P25490')"
"('407050', 'P40763')"
"('P49747', 'P01137')"
"('Q9UBT7', 'O14920')"
"('Q9P0V3', 'Q9NV56')"
"('P50539', 'O60333')"
"('Q9NR33', 'Q9H8E8')"
"('P20336', 'Q8TBN0')"
"('Q99731', 'P51686')"
"('Q01201', 'Q13489')"
"('O00303', 'O60739')"
"('P30876', 'O15514')"
"('Q9BTT4', 'P30086')"
"('P04406', 'P49023')"
"('Q92985', 'Q04206')"
"('P24723', 'P24941')"
"('P46776', 'P61513')"
"('O95166', 'O00410')"
"('P27986', 'P48023')"
"('P00533', 'P31749')"
"('Q99961', 'P07333')"
"('Q9P031', 'P49662')"
"('Q9UFF9', 'A5YKK6')"
"('P61088', 'Q9NZS9')"
"('Q5VTD9', 'Q63HR2')"
"('P09471', 'Q13561')"
"('Q15759', 'P05423')"
"('Q9Y4K3', 'P11940')"
"('Q9Y2Y6', 'P13805')"
"('Q16539', 'Q15759')"
"('Q07812', 'P27348')"
"('P54652', 'P13569')"
"('Q99879', 'Q9UBN7')"
"('P55268', 'P05106')"
"('Q15025', 'P18146')"
"('P23396', 'P20333')"
"('P11532', 'Q13884')"
"('P25054', 'Q92997')"
"('P35250', 'Q99459')"
"('O43741', 'Q86TI0')"
"('P07814', 'Q01201')"
"('P10275', 'Q9Y675')"
"('P12956', 'P62070')"
"('Q13573', 'P28340')"
"('Q9Y508', 'P62256')"
"('Q12766', 'O60925')"
"('P62312', 'P62316')"
"('Q14457', 'Q08999')"
"('P20827', 'P26641')"
"('P50991', 'P27348')"
"('P08047', 'Q01094')"
