negatives
"('Q17RW2', 'P26006')"
"('P06400', 'Q9Y676')"
"('P78527', 'P27694')"
"('P21675', 'Q08050')"
"('Q86Y56', 'O00422')"
"('Q9Y4K3', 'P06748')"
"('O75925', 'Q8TAD8')"
"('P17252', 'Q9UBN7')"
"('P17568', 'O75438')"
"('Q12923', 'P25054')"
"('P15056', 'P27348')"
"('P18146', 'P02746')"
"('Q92870', 'P00533')"
"('Q96A08', 'Q9Y5B9')"
"('P42224', 'P35968')"
"('Q05516', 'O15379')"
"('Q96Q07', 'Q9P0U4')"
"('P46778', 'Q9UKV8')"
"('P06493', 'Q13526')"
"('P21333', 'P63267')"
"('P63104', 'P23258')"
"('Q92830', 'P01106')"
"('P08727', 'Q15154')"
"('P10398', 'O94906')"
"('O43561', 'Q86WV1')"
"('P12268', 'Q9NRR5')"
"('P43405', 'P24394')"
"('P16109', 'P26022')"
"('Q07666', 'Q9UKA9')"
"('P22681', 'P26951')"
"('Q06413', 'Q09472')"
"('Q96TA2', 'Q14197')"
"('Q9HBG4', 'P32246')"
"('Q9NQG6', 'P43355')"
"('P25791', 'Q96KQ7')"
"('P14735', 'P13236')"
"('Q5D1E8', 'Q9Y297')"
"('Q9BZL6', 'P19793')"
"('P35226', 'O95931')"
"('Q96RT1', 'Q15796')"
"('Q13387', 'Q12824')"
"('O95208', 'P17948')"
"('Q14683', 'Q2TAZ0')"
"('P78344', 'Q9BUB5')"
"('P06400', 'P55345')"
"('P27986', 'P84095')"
"('O43175', 'Q9Y4K3')"
"('P54578', 'P62979')"
"('P62829', 'Q96HC4')"
"('Q9UMD9', 'O60437')"
"('P68104', 'P38936')"
"('Q12834', 'Q96JK9')"
"('P05013', 'P14784')"
"('O75899', 'Q9UBI6')"
"('P62993', 'Q9ULW0')"
"('P01374', 'Q06643')"
"('P00403', 'P52735')"
"('Q9UM11', 'P53350')"
"('Q7L5N1', 'Q9UNS2')"
"('Q01105', 'P06454')"
"('P10721', 'Q7Z698')"
"('Q96PU5', 'Q13571')"
"('P61073', 'P01106')"
"('P00519', 'P49023')"
"('O15047', 'Q9UPS6')"
"('P26368', 'O43251')"
"('P49407', 'O14646')"
"('Q9NVP4', 'Q5VTD9')"
"('P08588', 'O95467')"
"('P20273', 'O60880')"
"('Q9H7E9', 'Q13685')"
