negatives
"('P35226', 'O75525')"
"('P34059', 'Q9H4A9')"
"('Q53EZ4', 'Q5JRA6')"
"('P51965', 'Q8TEB7')"
"('P28062', 'Q03518')"
"('Q9NYY1', 'P48551')"
"('O15294', 'Q8IZD2')"
"('Q9Y297', 'Q9UNZ2')"
"('Q9BW62', 'Q71U36')"
"('P25786', 'P18615')"
"('O75787', 'P43220')"
"('Q16563', 'O00560')"
"('Q14318', 'Q9NXR7')"
"('Q12874', 'Q15696')"
"('Q8N1L9', 'Q15038')"
"('P63211', 'P16520')"
"('O94760', 'Q9UBU9')"
"('Q05655', 'P45983')"
"('P01106', 'Q5TAQ9')"
"('Q92905', 'P07910')"
"('Q9BWG6', 'Q8IWZ5')"
"('O15524', 'Q9HBE5')"
"('Q9BTT4', 'O75448')"
"('Q9HC07', 'Q16659')"
"('P21781', 'P51452')"
"('P49406', 'Q6P1L8')"
"('P05067', 'Q14320')"
"('Q86WT1', 'P29692')"
"('Q6PD74', 'O43747')"
"('Q16531', 'P68431')"
"('O60841', 'Q8NAP3')"
"('O43609', 'Q2TAL6')"
"('Q92905', 'Q3MHD2')"
"('Q9BUB5', 'P20339')"
"('O60739', 'Q01469')"
"('Q9H0I2', 'Q9BYV2')"
"('O75365', 'P49356')"
"('Q96FC7', 'Q07021')"
"('Q9UI14', 'O60684')"
"('Q5VWN6', 'Q99750')"
"('P60896', 'O43809')"
"('Q01813', 'Q13618')"
"('Q24JP5', 'Q15818')"
"('Q8IYT8', 'Q53H96')"
"('P01023', 'P00734')"
"('P50591', 'Q13568')"
"('P46060', 'P61956')"
"('Q9NPJ6', 'O43303')"
"('Q16531', 'P62081')"
"('P52597', 'Q9Y6H3')"
"('Q9H1J5', 'Q9UP38')"
"('P50750', 'P09913')"
"('O94776', 'Q9P2D1')"
"('Q14653', 'O95786')"
"('O76011', 'P09619')"
"('Q8N6L0', 'P17152')"
"('Q86WH2', 'Q9UKB1')"
"('Q66K74', 'Q8WWW0')"
"('Q96DI7', 'O60907')"
"('P02751', 'Q9NZI8')"
"('Q07955', 'P38919')"
"('O15126', 'O95674')"
"('Q6P5W5', 'Q9BRR3')"
"('Q8IZJ0', 'P42701')"
"('Q9NRN7', 'Q12933')"
"('Q08345', 'O95989')"
"('Q9BWF2', 'P12004')"
"('Q13315', 'P24864')"
"('P60896', 'P55036')"
"('Q9UHB6', 'Q3MII6')"
"('Q9H9Z2', 'Q13435')"
"('P34998', 'P55089')"
"('Q9NRW7', 'Q8TDY2')"
"('O43353', 'Q9Y3U8')"
"('Q96FW1', 'Q96H79')"
"('P49356', 'Q9GZP4')"
"('Q9Y6E0', 'O95433')"
"('Q15884', 'O94886')"
"('P61244', 'P55795')"
"('O96019', 'P60709')"
"('O75592', 'Q96DB2')"
"('Q16552', 'Q96J42')"
"('Q9NRC8', 'Q16576')"
"('Q9Y5V3', 'Q8NG27')"
"('Q9UNQ0', 'O60245')"
"('Q9NSY1', 'O15027')"
"('P19838', 'P18847')"
"('Q562R1', 'P68133')"
"('O00391', 'O95274')"
"('A1L188', 'P42356')"
"('Q5S007', 'P31749')"
"('Q9NX58', 'P55072')"
"('Q16512', 'P12814')"
"('P24928', 'Q92831')"
"('P49407', 'Q9Y6M1')"
"('O00391', 'Q9BUH8')"
"('P38159', 'Q12986')"
"('Q8IUH5', 'Q9UKA8')"
"('P34896', 'P34897')"
"('P43243', 'Q92905')"
"('Q16827', 'Q9ULV4')"
"('Q92540', 'Q9H2R5')"
"('Q96K83', 'Q13547')"
"('O75934', 'Q7Z3Y8')"
"('Q96CF2', 'Q9H444')"
"('Q04726', 'Q12952')"
"('Q07869', 'P07148')"
"('Q6PJG6', 'Q13315')"
"('Q8TDY2', 'Q8IZY5')"
"('Q16849', 'Q9NRR5')"
"('O00214', 'O15431')"
"('Q8IWZ3', 'P55072')"
"('O15111', 'Q12778')"
"('O00555', 'P41222')"
"('P46821', 'Q5S007')"
"('Q9UNM6', 'Q969U7')"
"('Q01860', 'O00763')"
"('Q8NI36', 'Q8TED0')"
"('P11142', 'P78527')"
"('Q14596', 'P49840')"
"('Q9HA65', 'Q86VP1')"
"('O14980', 'P09132')"
"('Q08117', 'Q86V42')"
"('Q15154', 'Q9BUJ2')"
"('Q8WW24', 'Q8TBB1')"
"('Q8WXA9', 'Q00839')"
"('P11532', 'O60941')"
"('P35611', 'P15927')"
"('Q71UM5', 'Q9UQ80')"
"('P10721', 'P16333')"
"('O95816', 'Q13751')"
"('P13569', 'Q9UNK0')"
"('P61073', 'P48736')"
"('O00716', 'Q9NRZ9')"
"('P15311', 'Q15293')"
"('P07858', 'P07355')"
"('O95140', 'Q7Z434')"
"('Q15834', 'Q16718')"
"('Q13362', 'Q8WXS5')"
"('Q07955', 'O75147')"
"('P36957', 'O60684')"
"('Q9UPV0', 'O15226')"
"('Q03135', 'P27694')"
"('P15927', 'P46063')"
"('P54725', 'Q06830')"
"('O15260', 'Q9UBU9')"
"('Q5VYS8', 'Q14493')"
"('Q86SJ6', 'Q562F6')"
"('Q9UI95', 'P62826')"
"('Q13617', 'O75190')"
"('Q9HBI0', 'Q9BTE6')"
"('O60729', 'P24385')"
"('Q16610', 'P48023')"
"('O15209', 'O00189')"
"('P46782', 'O14967')"
"('P29375', 'P68431')"
"('P78556', 'P41597')"
"('P19105', 'P35579')"
"('P09661', 'O14818')"
"('P35626', 'Q8NG84')"
"('O95273', 'Q9Y5K5')"
"('Q9BRK4', 'O95872')"
"('Q9Y4G6', 'Q9UJA5')"
"('O75190', 'Q13326')"
"('O43318', 'Q8IVT5')"
"('P07195', 'P21980')"
"('Q05516', 'P04150')"
"('P05067', 'Q99616')"
"('Q9Y2U9', 'Q7LFX5')"
"('Q6ZRY4', 'Q96K80')"
"('Q9UJY1', 'Q16082')"
"('Q8NGT5', 'P38405')"
"('P55268', 'O00459')"
"('Q9NVP1', 'Q14999')"
"('Q9NP66', 'O94776')"
"('Q86XL3', 'P30153')"
"('P43686', 'O60260')"
"('O00214', 'O00560')"
"('P43243', 'O14979')"
"('P62140', 'O60285')"
"('P62079', 'Q96LU5')"
"('P23469', 'P06241')"
"('Q68D86', 'Q8TD31')"
"('P41218', 'P42285')"
"('Q96MT8', 'Q9UPN4')"
"('O15400', 'Q13190')"
"('O60341', 'Q9BZK7')"
"('Q96HY6', 'Q9Y5M8')"
"('Q0VD86', 'Q969H6')"
"('Q6EMB2', 'O15350')"
"('P09651', 'Q96A35')"
"('Q6ZMR3', 'P14618')"
"('O75787', 'Q93050')"
"('P21675', 'P49792')"
"('O60911', 'P36894')"
"('P32119', 'P62256')"
"('Q92835', 'Q96P48')"
"('Q15398', 'Q08379')"
"('Q9H992', 'P61086')"
"('P01848', 'Q9BRT8')"
"('O95163', 'P02766')"
"('P52333', 'P27986')"
"('Q92993', 'Q93009')"
"('Q2NL82', 'Q8NC51')"
"('P50402', 'P02042')"
"('P55884', 'Q9UBQ5')"
"('O43707', 'P68133')"
"('Q9NNW5', 'Q71U36')"
"('P78423', 'P46094')"
"('P14618', 'Q5S007')"
"('Q9NY56', 'P12110')"
"('P24863', 'P80188')"
"('P61289', 'Q3KNV8')"
"('Q92835', 'P25445')"
"('P35626', 'Q8NGY9')"
"('Q92731', 'Q9BYR7')"
"('P54098', 'Q13469')"
"('P86481', 'P23769')"
"('P01100', 'P46821')"
"('Q8NCE2', 'Q9H6Z9')"
"('P11309', 'Q8N7W2')"
"('P51532', 'P07910')"
"('Q92769', 'Q16778')"
"('O14544', 'P42226')"
"('O76031', 'Q16659')"
"('O75665', 'O60934')"
"('Q13263', 'Q96PG8')"
"('Q08379', 'Q8N3L3')"
"('P48023', 'Q6ZN28')"
"('P01236', 'P40189')"
"('P61006', 'Q15717')"
"('Q9NRD1', 'P61978')"
"('Q7L1Q6', 'Q96QZ7')"
"('Q8NHW5', 'P62910')"
"('Q08426', 'P01106')"
"('O95229', 'Q9BVG8')"
"('Q99549', 'Q9UFC0')"
"('Q13237', 'O60240')"
"('Q8N3C7', 'P17661')"
"('Q8TES7', 'Q9BZW7')"
"('Q15834', 'Q9P104')"
"('P20700', 'Q92542')"
"('P13612', 'Q9HBI0')"
"('Q6WCQ1', 'O94832')"
"('P15408', 'Q8N2I9')"
"('Q99615', 'P09496')"
"('Q8N6L0', 'Q96HH6')"
"('P35520', 'Q9Y6X2')"
"('P50552', 'Q6XZF7')"
"('P26599', 'P60520')"
"('P36542', 'P51571')"
"('Q15369', 'Q01860')"
"('O75530', 'P49711')"
"('O14980', 'P98082')"
"('Q96MT8', 'Q9BQD3')"
"('P43364', 'Q9GZT8')"
"('Q5VWK5', 'O60674')"
"('P17275', 'Q16520')"
"('P26368', 'Q14254')"
"('Q8IYN2', 'P05067')"
"('P07949', 'Q8WU20')"
"('Q13315', 'Q9H9Q4')"
"('P38919', 'P61981')"
"('O76003', 'P60411')"
"('O15355', 'Q15759')"
"('Q5TCX8', 'Q5TCZ1')"
"('P04350', 'P68366')"
"('P62937', 'Q13620')"
"('Q9UID3', 'Q8TD31')"
"('O14639', 'P35579')"
"('O15031', 'P13747')"
"('Q96T88', 'Q00839')"
"('Q15067', 'P04049')"
"('P63151', 'P04406')"
"('Q5SW79', 'Q96BD8')"
"('P23258', 'Q9UNX3')"
"('P53539', 'P05412')"
"('P40429', 'Q8IXZ2')"
"('P62714', 'Q5VSL9')"
"('Q86XR8', 'P62851')"
"('Q7Z739', 'O14980')"
"('Q86X27', 'P56524')"
"('Q7Z5K2', 'Q13573')"
"('P60409', 'Q9BW11')"
"('P11142', 'Q9Y265')"
"('Q07889', 'Q9UJM3')"
"('Q9UI26', 'Q14103')"
"('Q9UPT9', 'Q8NEM7')"
"('O75052', 'Q96HR8')"
"('Q969M7', 'Q15717')"
"('P05546', 'O75364')"
"('P35268', 'O00567')"
"('Q7Z2H8', 'Q5VTU8')"
"('P30048', 'Q9H8Y8')"
"('Q07617', 'P12004')"
"('Q86WT6', 'P61077')"
"('Q96A00', 'P05067')"
"('P04632', 'P55010')"
"('Q9H0R8', 'O00591')"
"('P60709', 'P08865')"
"('P27986', 'O14964')"
"('Q14152', 'O75821')"
"('P22612', 'Q9H340')"
"('P49773', 'Q8WUI4')"
"('P15514', 'A8MQ03')"
"('O95168', 'P03901')"
"('O95995', 'Q96MY7')"
"('Q01813', 'P02751')"
"('Q8IVD9', 'Q15047')"
"('P55082', 'P37173')"
"('P22455', 'Q99961')"
"('Q8N5Z5', 'Q9NYP9')"
"('Q14493', 'Q92900')"
"('Q8TCT1', 'O75390')"
"('Q8N163', 'O75147')"
"('P62807', 'Q9BW85')"
"('P02545', 'P52272')"
"('Q70UQ0', 'Q9BUW7')"
"('Q9UKT9', 'Q13526')"
"('P23246', 'Q96DA6')"
"('Q15437', 'Q13618')"
"('Q9UBS5', 'P02768')"
"('Q9UDY2', 'Q14847')"
"('P16035', 'P61289')"
"('P62987', 'Q9NRM7')"
"('Q8IWL3', 'P35610')"
"('Q9NZT1', 'Q9Y5V3')"
"('Q6P1J9', 'P15884')"
"('Q9H7E9', 'Q8TF50')"
"('P02746', 'P08572')"
"('Q9H2D6', 'Q24JP5')"
"('P05388', 'O43324')"
"('O14654', 'O15460')"
"('Q9Y6G3', 'Q99570')"
"('Q8N163', 'P13612')"
"('Q03135', 'Q13322')"
"('P62979', 'Q9P2N6')"
"('Q05519', 'O95218')"
"('Q01518', 'Q9NYB9')"
"('Q9UBI6', 'Q9UGI9')"
"('Q9BRK4', 'Q9NV35')"
"('P46109', 'P45984')"
"('Q8IY81', 'Q9BYG3')"
"('Q15714', 'O95163')"
"('Q9BY89', 'Q8TEP8')"
"('Q8IVT5', 'P40939')"
"('P09769', 'Q9UHD2')"
"('Q9UBU9', 'A6NIH7')"
"('O60880', 'Q9HBG7')"
"('P08151', 'P62873')"
"('Q9Y2X3', 'Q14137')"
"('Q9P2J8', 'Q5JR59')"
"('P11055', 'O75923')"
"('Q13547', 'Q9NP50')"
"('Q9P2H0', 'P51114')"
"('Q86SQ7', 'Q6AZY7')"
"('Q86Y13', 'Q14161')"
"('Q9Y5K8', 'P62269')"
"('O60763', 'P04629')"
"('Q9Y2Z2', 'Q8IV13')"
"('Q8TBX8', 'P24844')"
"('Q00987', 'P23771')"
"('Q14CW9', 'P05067')"
"('P78358', 'Q9UBV8')"
"('P41091', 'P60228')"
"('Q9H4B4', 'P08238')"
"('Q9NQZ5', 'Q8WYQ3')"
"('P12110', 'Q9NS85')"
"('P84022', 'Q9UJW3')"
"('Q9UL46', 'O00232')"
"('O60907', 'Q9NYJ8')"
"('Q05519', 'Q8TF01')"
"('P49411', 'P04843')"
"('P55060', 'Q96T76')"
"('Q969H0', 'Q9Y5W3')"
"('Q460N5', 'P06734')"
"('Q5S007', 'P61247')"
"('Q6R6M4', 'P11802')"
"('P01106', 'P15170')"
"('B2RTY4', 'Q86WV1')"
"('Q15828', 'Q86YC2')"
"('Q7Z3Z0', 'Q8NDC4')"
"('P49821', 'P50995')"
"('Q9BXB1', 'Q15758')"
"('Q9UBB9', 'P13805')"
"('P55072', 'Q13619')"
"('P32969', 'P22087')"
"('P04181', 'Q01804')"
"('P01106', 'P56182')"
"('Q9NUC0', 'Q8N7E2')"
"('P35579', 'P49407')"
"('P05067', 'Q9HBZ2')"
"('Q15436', 'P63146')"
"('P46926', 'A0AVT1')"
"('Q9Y271', 'Q9NS75')"
"('O75122', 'Q02224')"
"('P55060', 'P52294')"
"('P0CG08', 'Q9Y2T5')"
"('Q9H0I3', 'Q9Y2X7')"
"('O75150', 'O43482')"
"('Q6P3S6', 'Q7L5N1')"
"('Q5H9U9', 'Q16670')"
"('Q9P035', 'Q13501')"
"('O75083', 'Q16539')"
"('O75937', 'Q14103')"
"('P26651', 'Q8IZH2')"
"('Q16555', 'Q9UJU2')"
"('Q9BSM1', 'Q9BXL6')"
"('P35221', 'Q15436')"
"('P63165', 'Q9Y4B4')"
"('Q8NBB4', 'Q99909')"
"('Q8IUN9', 'Q9H115')"
"('Q9H0R8', 'Q9UH17')"
"('P42771', 'O60739')"
"('Q04206', 'O43707')"
"('O43291', 'Q14008')"
"('P51692', 'Q8IV38')"
"('P62249', 'Q9P0L0')"
"('Q9UHK0', 'Q9ULP0')"
"('P52333', 'O60674')"
"('Q3KPI0', 'Q8TCG1')"
"('O43765', 'P19438')"
"('Q9UM13', 'Q5VWG9')"
"('P12236', 'P61244')"
"('P05067', 'Q99856')"
"('P31431', 'Q14767')"
"('Q9UPQ9', 'O14757')"
"('O75901', 'Q13625')"
"('Q03181', 'P42224')"
"('P49841', 'P11388')"
"('Q9UI26', 'Q9BRC7')"
"('Q9P127', 'Q9UHB6')"
"('O95182', 'Q6P1L8')"
"('P09525', 'P20073')"
"('Q504Q3', 'P09496')"
"('P04637', 'O14867')"
"('Q9C0B0', 'Q15714')"
"('O15083', 'Q9Y2X7')"
"('Q9BZF9', 'P46379')"
"('Q12834', 'P17987')"
"('P36894', 'Q8IXK2')"
"('P23258', 'Q9UNF1')"
"('P04629', 'P57088')"
"('Q8IZD9', 'P49639')"
"('Q9NZD8', 'P12004')"
"('Q99623', 'Q5T653')"
"('P48436', 'Q9Y297')"
"('P84996', 'O95467')"
"('Q9BWJ5', 'O75940')"
"('Q16539', 'Q00613')"
"('P03372', 'O95347')"
"('Q96T76', 'P28288')"
"('Q9NZV8', 'O95180')"
"('P49916', 'Q9HCE1')"
"('Q9P270', 'P25098')"
"('Q9Y297', 'P08238')"
"('P29597', 'P04792')"
"('Q14653', 'P02778')"
"('P04844', 'Q8NBN7')"
"('A4D0S4', 'Q496J9')"
"('Q12959', 'Q9P021')"
"('P42025', 'O75935')"
"('Q8N0Y2', 'Q96HN2')"
"('Q13501', 'O60260')"
"('Q8TCQ1', 'Q95IE3')"
"('Q92901', 'P05388')"
"('P78527', 'P49327')"
"('O75251', 'P19404')"
"('O95630', 'O15105')"
"('P54274', 'Q13247')"
"('P30443', 'O95467')"
"('Q9NQX4', 'Q8N556')"
"('Q13619', 'P84098')"
"('P05026', 'P47985')"
"('P33552', 'Q13616')"
"('P35244', 'Q96SI9')"
"('O00418', 'P61160')"
"('P50897', 'P00338')"
"('Q9P2D0', 'Q5JU00')"
"('Q86VP6', 'P23396')"
"('Q53H54', 'Q8TBB1')"
"('Q00534', 'Q9BQI3')"
"('P52888', 'Q16222')"
"('P46108', 'Q99645')"
"('P29590', 'O43513')"
"('P46459', 'O95249')"
"('P04843', 'P22695')"
"('P04049', 'Q9UQM7')"
"('Q92834', 'Q9Y266')"
"('Q9ULV5', 'Q9UKN7')"
"('P61513', 'P62906')"
"('Q8IXI1', 'P20339')"
"('P60520', 'Q96L21')"
"('O95476', 'Q8N9A8')"
"('Q92979', 'Q93015')"
"('P03886', 'Q16740')"
"('O43167', 'Q8IXK0')"
"('Q00577', 'Q86VP6')"
"('P36543', 'P04075')"
"('P01909', 'P98172')"
"('P50750', 'Q15797')"
"('Q86UL3', 'Q86X19')"
"('P52788', 'Q96S44')"
"('Q9UM00', 'Q9Y4W6')"
"('P63104', 'Q9GZS3')"
"('Q9UQL6', 'P61964')"
"('P04179', 'Q9UHQ7')"
"('Q6K0P9', 'Q14676')"
"('Q15287', 'O95782')"
"('O75147', 'Q9Y2W2')"
"('O00505', 'Q9BY77')"
"('P24386', 'P25325')"
"('P80303', 'P42574')"
"('P54646', 'P38398')"
"('P22612', 'Q8NGZ9')"
"('Q9UJV9', 'O94906')"
"('P50914', 'P52756')"
"('Q9NPD3', 'Q96JM3')"
"('O60934', 'P35244')"
"('Q96IW7', 'P43657')"
"('P50990', 'Q92526')"
"('P51148', 'Q8TC07')"
"('P84996', 'P04040')"
"('Q86VP6', 'Q04837')"
"('P03897', 'P51970')"
"('Q9H5K3', 'Q6ZMG9')"
"('P54725', 'P54105')"
"('O00189', 'P31751')"
"('Q15437', 'Q96GG9')"
"('Q9Y547', 'Q13114')"
"('P35579', 'Q00653')"
"('Q70IA8', 'Q9NRD5')"
"('Q9UPP1', 'P82914')"
"('P11171', 'P42771')"
"('Q01105', 'P06733')"
"('Q9UM11', 'Q9P2W1')"
"('Q9NS91', 'Q9BSD3')"
"('P40926', 'Q9HAV7')"
"('Q9NWS0', 'Q8TF01')"
"('Q9P2P5', 'P07741')"
"('P00395', 'Q6UXB4')"
"('P13010', 'Q00613')"
"('P10451', 'Q99614')"
"('P62191', 'Q8IZH2')"
"('P50991', 'O95433')"
"('O43829', 'Q17RD7')"
"('Q15648', 'P04629')"
"('Q9UM22', 'Q63HR2')"
"('Q09472', 'Q99743')"
"('P15336', 'P35613')"
"('P62899', 'P62993')"
"('Q12913', 'P06753')"
"('P61158', 'O43852')"
"('P46934', 'P84022')"
"('P67775', 'P11309')"
"('O43889', 'Q8TAC9')"
"('Q86VQ0', 'Q96QK1')"
"('Q9P2Y4', 'Q12873')"
"('P19174', 'O75150')"
"('P62910', 'Q92905')"
"('P42768', 'Q15291')"
"('Q08379', 'P61019')"
"('P22681', 'Q9Y2R2')"
"('Q9ULV5', 'O75956')"
"('Q99941', 'P61019')"
"('P10275', 'Q9Y265')"
"('Q13619', 'O00165')"
"('Q96RN5', 'Q9NPJ6')"
"('Q9NXC5', 'Q6PJI9')"
"('Q96ED9', 'Q6B8I1')"
"('Q14192', 'P23246')"
"('Q13485', 'Q13643')"
"('Q96H20', 'O43242')"
"('P18146', 'Q9H3E2')"
"('Q92793', 'P43354')"
"('Q9HCE7', 'P04637')"
"('Q9NZN5', 'Q9H2X3')"
"('Q7Z3S9', 'P14770')"
"('P25098', 'A6NDL8')"
"('P04156', 'Q8NDV7')"
"('Q08AF8', 'Q5VU43')"
"('P49368', 'O43930')"
"('P40337', 'P62487')"
"('P78347', 'P46779')"
"('O60729', 'Q5MJ10')"
"('Q92499', 'Q14108')"
"('Q9UI30', 'O76081')"
"('P61964', 'Q96QK1')"
"('P26368', 'Q13616')"
"('Q8WWM7', 'P40939')"
"('Q01130', 'P51991')"
"('Q15437', 'P02751')"
"('P60410', 'Q8TAI1')"
"('Q8N9Z0', 'Q16543')"
"('P02751', 'Q15046')"
"('Q7L804', 'Q9BXF6')"
"('Q8NGW6', 'P62873')"
"('P00533', 'Q15392')"
"('Q13105', 'P45983')"
"('Q7L266', 'Q15750')"
"('Q6K0P9', 'Q9Y4W2')"
"('Q96MG2', 'P54274')"
"('Q9UPT8', 'Q99496')"
"('Q16666', 'P45973')"
"('Q96BZ8', 'Q9UBB9')"
"('Q14191', 'P04629')"
"('Q05513', 'P27361')"
"('Q13630', 'Q9BV86')"
"('Q6P3W7', 'Q14061')"
"('Q96HP8', 'Q3YBM2')"
"('Q9UMF0', 'Q9BYG5')"
"('Q9Y3F4', 'A0AVT1')"
"('Q6IAN0', 'P00533')"
"('P12814', 'Q96HC4')"
"('Q14999', 'P14923')"
"('Q13617', 'P21912')"
"('Q7L5N1', 'P40937')"
"('Q9Y3D9', 'Q02878')"
"('Q8TC76', 'O43896')"
"('Q9H8W5', 'Q9Y2X8')"
"('Q14055', 'P23229')"
"('Q9BYR9', 'Q7Z3S9')"
"('Q9BSJ2', 'A6NHL2')"
"('P20839', 'P49915')"
"('P02751', 'P50851')"
"('Q96C57', 'Q9UQB9')"
"('Q8IYA8', 'Q9NW38')"
"('Q13315', 'Q96LB3')"
"('P19447', 'Q8N196')"
"('P0DMV9', 'Q15796')"
"('Q92887', 'Q13488')"
"('P12004', 'O60673')"
"('P30086', 'O14920')"
"('O94955', 'O60664')"
"('P62807', 'P78545')"
"('Q8IUH5', 'O95867')"
"('P43243', 'P08621')"
"('Q9BXW4', 'Q86V97')"
"('P08729', 'P48681')"
"('O60888', 'P22736')"
"('P51668', 'P24522')"
"('Q92905', 'Q52LJ0')"
"('Q9NZP2', 'O60262')"
"('Q8N7W2', 'P51531')"
"('P60520', 'Q86VP1')"
"('Q9ULJ3', 'O43896')"
"('Q02218', 'Q92731')"
"('O15496', 'O95817')"
"('P46781', 'Q92905')"
"('P01236', 'P23458')"
"('P78362', 'P62995')"
"('Q12933', 'Q9P2J5')"
"('Q00535', 'P78352')"
"('O43670', 'Q7KZF4')"
"('P37268', 'Q86TM6')"
"('O00231', 'Q9UL46')"
"('P34897', 'Q9UHV5')"
"('P49407', 'P36575')"
"('P07477', 'Q6P1J9')"
"('O43364', 'Q96PM5')"
"('Q8N680', 'Q9UPW0')"
"('Q13616', 'P25787')"
"('P10809', 'Q9Y6K9')"
"('Q9NYS7', 'Q9UHV9')"
"('Q9Y5Y2', 'Q9NZ63')"
"('Q9NQX0', 'O43439')"
"('P01106', 'Q02978')"
"('Q16543', 'Q8N812')"
"('P62979', 'Q9NQ39')"
"('Q9Y426', 'Q15717')"
"('Q92905', 'Q99489')"
"('O43291', 'Q9BUV8')"
"('O43805', 'Q8TBB1')"
"('O75031', 'Q15560')"
"('O75717', 'Q12931')"
"('Q13469', 'Q9P2R7')"
"('P98170', 'Q9NQB0')"
"('P62877', 'Q14457')"
"('Q9BQE9', 'Q8NDF8')"
"('Q8NG81', 'P38405')"
"('Q96RQ3', 'Q9C002')"
"('Q9H788', 'Q12933')"
"('Q96CW5', 'Q5T4S7')"
"('O14920', 'Q9BQ69')"
"('Q9H9B4', 'Q13619')"
"('P19784', 'O75822')"
"('P22681', 'P68104')"
"('Q96IZ0', 'Q96BD6')"
"('Q8NI22', 'P56537')"
"('O95967', 'A8MQ03')"
"('Q14247', 'Q16643')"
"('Q8NBK3', 'P15289')"
"('Q16666', 'P49756')"
"('P25942', 'O00571')"
"('Q6VMQ6', 'Q9Y692')"
"('P20963', 'P62917')"
"('O60344', 'P48039')"
"('O75031', 'Q9H0I3')"
"('Q9BZD4', 'Q8WYN0')"
"('P84243', 'Q15910')"
"('Q8IZ69', 'Q14147')"
"('P78356', 'O95218')"
"('P62851', 'P61221')"
"('Q6PD62', 'Q5JTD0')"
"('O43597', 'Q9BYR0')"
"('O43524', 'Q16659')"
"('Q9NZJ7', 'P30049')"
"('P26367', 'Q9NYR9')"
"('Q9P0M6', 'Q96RL1')"
"('P61604', 'Q5T3J3')"
"('Q00005', 'Q15717')"
"('Q6L8Q7', 'P42226')"
"('P37287', 'Q15717')"
"('O75486', 'O75528')"
"('O75208', 'Q9BVV7')"
"('Q6IBS0', 'Q9H9S0')"
"('P04629', 'Q5JTZ9')"
"('P51784', 'Q6BDS2')"
"('O95166', 'Q12800')"
"('P31946', 'P30153')"
"('P20648', 'O43653')"
"('P27482', 'Q9NQW6')"
"('O75553', 'O43820')"
"('P49753', 'Q9NRM2')"
"('Q8IYX8', 'Q12933')"
"('P35659', 'Q01130')"
"('O43395', 'P38919')"
"('P52597', 'P49366')"
"('P43365', 'Q6PH81')"
"('Q99643', 'Q14203')"
"('Q8WZ42', 'Q8N3C7')"
"('Q29RF7', 'Q6ZQN5')"
"('O15111', 'Q8NAA4')"
"('Q16720', 'Q16854')"
"('P56748', 'O95500')"
"('P09936', 'Q13114')"
"('P35610', 'Q16795')"
"('Q7L5N1', 'Q8WVD3')"
"('Q96RG2', 'Q93100')"
"('Q13362', 'P62955')"
"('Q6ZW49', 'Q8NEY8')"
"('Q96FS4', 'P46940')"
"('Q9H3R5', 'Q7L2Z9')"
"('Q16629', 'Q9BUJ2')"
"('P08559', 'P31040')"
"('P11940', 'P61247')"
"('P80188', 'Q8NFW5')"
"('Q9Y3C0', 'Q9UBB9')"
"('P0DP25', 'P14649')"
"('P50222', 'Q6P4F2')"
"('O75122', 'P68400')"
"('Q93009', 'Q9NQI0')"
"('P35626', 'A6NHA9')"
"('Q13535', 'Q9UNF1')"
"('Q9P0M2', 'Q9HAT0')"
"('P62913', 'P62917')"
"('Q96RJ3', 'O43734')"
"('Q9BYV6', 'Q96RP9')"
"('Q96CW1', 'Q96BR9')"
"('P11021', 'Q9NTG7')"
"('Q96SB4', 'Q92905')"
"('P0DP25', 'P60660')"
"('Q92905', 'Q9BTD8')"
"('O43524', 'P50591')"
"('P23142', 'P98160')"
"('Q15543', 'Q15542')"
"('P42766', 'P32121')"
"('P22735', 'Q9UMR2')"
"('P82912', 'Q13595')"
"('P08620', 'P09619')"
"('Q8NCF5', 'P01100')"
"('Q02505', 'Q04206')"
"('P07437', 'Q92834')"
"('P18124', 'O00567')"
"('Q5SW79', 'P29353')"
"('P60520', 'P58107')"
"('P14625', 'Q9GZZ9')"
"('P63244', 'O60506')"
"('P23193', 'Q8WTR2')"
"('O43818', 'Q96FV9')"
"('P10145', 'Q14832')"
"('Q01167', 'Q9NZJ5')"
"('Q07687', 'P28360')"
"('Q15038', 'Q8WU79')"
"('Q07021', 'P42680')"
"('O95274', 'O15297')"
"('P20273', 'P62993')"
"('Q7Z3B4', 'P37198')"
"('O60341', 'P60002')"
"('Q7Z7A3', 'Q8NBR6')"
"('P22607', 'P42224')"
"('Q5JSZ5', 'P51784')"
"('Q16181', 'Q9Y5A9')"
"('Q92843', 'Q9BXM7')"
"('P49821', 'O95139')"
"('O75792', 'Q9HCE1')"
"('Q712K3', 'P46926')"
"('Q14839', 'P42568')"
"('Q92845', 'Q9Y4K1')"
"('Q8NA61', 'Q9H204')"
"('O95721', 'Q9NV70')"
"('P06576', 'Q86VP6')"
"('Q93034', 'P68104')"
"('Q86Y56', 'P00533')"
"('Q9BVV6', 'O75157')"
"('P63279', 'Q9H2X6')"
"('Q04721', 'Q86Y01')"
"('Q6ZVK8', 'Q9BTE0')"
"('P08559', 'O75382')"
"('Q9H7S9', 'P01106')"
"('Q9UNQ2', 'P27635')"
"('O95486', 'Q96B23')"
"('P61244', 'P36873')"
"('P46939', 'Q13425')"
"('Q92993', 'Q9NPJ6')"
"('O95198', 'Q9Y3S1')"
"('Q96MT8', 'Q14094')"
"('Q13838', 'P61326')"
"('P28065', 'Q92530')"
