negatives
"('Q04917', 'Q8N5S9')"
"('Q9ULW2', 'O14641')"
"('P01857', 'Q9H974')"
"('P52948', 'Q96KG9')"
"('P55212', 'Q14980')"
"('P62837', 'P78317')"
"('Q07812', 'P27348')"
"('P13598', 'P05107')"
"('Q14416', 'P50151')"
"('P30443', 'Q8N743')"
"('O43347', 'P33240')"
"('Q9Y2Q3', 'P62993')"
"('Q14289', 'P16871')"
"('Q86SQ4', 'Q15750')"
"('Q14031', 'P18084')"
"('Q16514', 'Q92830')"
"('P43490', 'P02792')"
"('Q9ULD4', 'P27986')"
"('Q96HA1', 'Q9NRG9')"
"('P51693', 'Q13526')"
"('P62316', 'Q8WXD5')"
"('Q9Y478', 'P60228')"
"('P10721', 'O14492')"
"('P46779', 'O15479')"
"('Q13200', 'Q9Y297')"
"('Q12933', 'Q9UDY8')"
"('P16220', 'Q9BYV9')"
"('Q13573', 'Q16594')"
"('Q9UKY1', 'P16220')"
"('P15408', 'P17544')"
"('Q5TAQ9', 'P52294')"
"('P07237', 'Q8TCT9')"
"('Q13315', 'Q6RI45')"
"('P05112', 'P14784')"
"('Q13573', 'P49116')"
"('P06493', 'P02768')"
"('Q9NRR4', 'P41182')"
"('Q13133', 'Q15788')"
"('P51617', 'Q9Y4K3')"
"('Q8TB45', 'Q9BVC4')"
"('Q8N264', 'P52198')"
"('O95630', 'Q9NRV9')"
"('Q7L5D6', 'Q9Y6H5')"
"('O15105', 'O75925')"
"('Q9NV44', 'Q14582')"
"('O14775', 'O60503')"
"('Q7L5N1', 'P61313')"
"('Q9NYJ8', 'O60477')"
"('P52597', 'Q99459')"
"('P55211', 'Q07817')"
"('Q9Y3F4', 'O60739')"
"('Q12824', 'Q13387')"
"('Q13242', 'P38159')"
"('O14526', 'Q9HCE7')"
"('Q16659', 'P10809')"
"('O95201', 'Q99750')"
"('P16871', 'P06753')"
"('Q93034', 'Q9H672')"
"('Q8N3X1', 'O75400')"
"('P19086', 'Q3MJ16')"
"('Q96EB6', 'P01375')"
"('Q9BUQ8', 'Q9Y333')"
"('Q9Y572', 'P36873')"
"('Q969H4', 'P61586')"
"('P49137', 'P31751')"
"('P08138', 'P62993')"
"('P20337', 'Q04771')"
"('Q00341', 'Q07889')"
"('P40145', 'P51817')"
"('P85298', 'Q96L33')"
"('P63279', 'P55854')"
"('P19838', 'Q9UKG9')"
"('P62244', 'P25398')"
"('P62750', 'Q9UNX3')"
"('P18146', 'O14901')"
"('Q96AG4', 'Q9UL18')"
"('O95049', 'P56856')"
"('P84022', 'Q13761')"
"('P18146', 'O43447')"
"('O15111', 'P04350')"
"('P26992', 'Q92624')"
"('P22392', 'Q01105')"
"('Q8TEW0', 'Q9NPB6')"
"('Q9BX66', 'Q13444')"
"('574501', 'Q08209')"
"('P62333', 'Q9UNM6')"
"('P01138', 'P09619')"
"('P03901', 'P03923')"
"('Q15303', 'P00533')"
"('P46100', 'Q96PY6')"
"('Q09028', 'Q86YP4')"
"('Q14974', 'Q16637')"
"('P40337', 'P09661')"
"('P16520', 'P35626')"
"('P68371', 'Q9Y6G9')"
"('P61158', 'P62993')"
"('P35680', 'Q9BYF1')"
"('P18146', 'Q9UQN3')"
"('Q9UI08', 'P06241')"
"('Q96P48', 'O14763')"
"('Q13485', 'P46779')"
"('O14828', 'Q9H1C4')"
"('P67775', 'P52630')"
"('O43674', 'O95182')"
"('P31946', 'Q9NSK0')"
"('O43318', 'O00743')"
"('P03886', 'O95182')"
"('Q7RTT5', 'O43623')"
"('P51817', 'Q9HBA0')"
"('P49023', 'P18206')"
"('P15311', 'P40337')"
"('P30480', 'Q9BZK3')"
"('P54727', 'Q96H35')"
"('P54252', 'P20073')"
"('Q96LA8', 'P06401')"
"('Q6ZVL6', 'P54259')"
"('P01566', 'P42702')"
"('Q9BQE3', 'P16871')"
"('P62993', 'P23760')"
"('Q93079', 'Q969S8')"
"('P13010', 'O60934')"
"('P11274', 'Q92529')"
"('P07948', 'P00533')"
"('P55327', 'Q14164')"
"('P78345', 'O75817')"
"('P26641', 'O00231')"
"('O75528', 'Q09472')"
"('P19525', 'O14733')"
"('P62633', 'P51991')"
"('Q7L5N1', 'P42574')"
"('P60709', 'O43491')"
"('Q9UHD0', 'P26992')"
"('Q99496', 'P61077')"
"('Q9BUQ8', 'P55769')"
"('Q9UQ16', 'P55157')"
"('P62136', 'P19525')"
"('P62714', 'Q6P5X5')"
"('Q6ZUJ8', 'Q04864')"
"('Q71F23', 'O00264')"
"('Q9UNX3', 'P62424')"
"('P53420', 'P08514')"
"('Q86YT6', 'Q9UHD2')"
"('P33778', 'P16104')"
"('Q12789', 'P16870')"
"('P18859', 'O95819')"
"('Q99759', 'P08238')"
"('O75964', 'Q14197')"
"('Q14164', 'Q13561')"
"('Q13042', 'O95997')"
"('Q14739', 'P13637')"
"('P08631', 'P42338')"
"('O75159', 'P42224')"
"('P53779', 'Q15759')"
"('406983', 'Q92560')"
"('P84103', 'Q08211')"
"('P67775', 'Q5FBB7')"
"('Q9H2G2', 'Q86UR5')"
"('Q99750', 'Q96HA8')"
"('P40763', 'P58753')"
"('O43543', 'Q92878')"
"('Q7Z6G3', 'O00273')"
"('Q16695', 'P13987')"
"('O75694', 'P49792')"
"('P78371', 'P63104')"
"('P46939', 'O60941')"
"('O00459', 'P62316')"
"('P15884', 'Q92985')"
"('P29350', 'Q01113')"
"('P40937', 'P51681')"
"('Q00887', 'P18146')"
"('P49642', 'Q14181')"
"('Q9Y230', 'Q9UBU8')"
"('P60604', 'Q9Y679')"
"('P31150', 'P62820')"
"('P50570', 'Q9Y478')"
"('O14545', 'Q9Y4K3')"
"('Q9ULH1', 'Q96B97')"
"('O75251', 'O00217')"
"('Q9UK08', 'Q92569')"
"('Q96EY1', 'P62993')"
"('P36578', 'O95084')"
"('P10415', 'Q9Y371')"
"('P28702', 'Q9UHV7')"
"('P08246', 'Q14353')"
"('P27986', 'Q9Y6Q6')"
"('P56537', 'Q96B36')"
"('Q13444', 'P06241')"
"('O96009', 'Q12846')"
"('Q9H1Y0', 'Q676U5')"
"('Q8IYT8', 'P10914')"
"('Q9NS56', 'P61077')"
"('P60900', 'O43353')"
"('P06703', 'P52292')"
"('P47887', 'P38405')"
"('Q9Y3U8', 'P46777')"
"('Q8N7P3', 'P56747')"
"('Q13547', 'P03372')"
"('P59540', 'A8MTJ3')"
"('P61586', 'Q9Y623')"
"('Q9Y678', 'Q9H173')"
"('Q08334', 'P52333')"
"('Q6ZU52', 'P14136')"
"('Q9NZN4', 'P63010')"
"('Q14994', 'Q3L8U1')"
"('P49736', 'Q10586')"
"('P22607', 'Q99963')"
"('P13798', 'P30480')"
"('P60604', 'Q9NTX7')"
"('P29350', 'O60674')"
"('P01889', 'O60641')"
"('P08670', 'Q9UGL9')"
"('Q96EB6', 'Q9GZQ8')"
"('P51817', 'O14827')"
"('P28482', 'P18847')"
"('Q6NUQ1', 'Q01082')"
"('P04637', 'P32745')"
"('Q92608', 'P17081')"
"('P54105', 'P14678')"
