negatives
"frozenset({'P60409', 'Q5HYJ3', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'P04264', 'TGFbetaReceptor'})"
"frozenset({'O95870', 'Q9UHD4', 'TGFbetaReceptor'})"
"frozenset({'Q9UKT9', 'P29474', 'TGFbetaReceptor'})"
"frozenset({'Q9UQC2', 'TGFbetaReceptor', 'Q6ZW31'})"
"frozenset({'P06280', 'Q15056', 'TGFbetaReceptor'})"
"frozenset({'O96000', 'O95182', 'TGFbetaReceptor'})"
"frozenset({'P62306', 'P61221', 'TGFbetaReceptor'})"
"frozenset({'P17066', 'O75190', 'TGFbetaReceptor'})"
"frozenset({'Q9H173', 'O15067', 'TGFbetaReceptor'})"
"frozenset({'Q9H0K1', 'P30154', 'TGFbetaReceptor'})"
"frozenset({'P54257', 'Q6NYC8', 'TGFbetaReceptor'})"
"frozenset({'P61218', 'P49069', 'TGFbetaReceptor'})"
"frozenset({'Q92522', 'O75530', 'TGFbetaReceptor'})"
"frozenset({'P41218', 'Q9BZ95', 'TGFbetaReceptor'})"
"frozenset({'Q12905', 'Q96SI9', 'TGFbetaReceptor'})"
"frozenset({'P52888', 'Q9HB07', 'TGFbetaReceptor'})"
"frozenset({'Q9H7D0', 'TGFbetaReceptor', 'P17987'})"
"frozenset({'TGFbetaReceptor', 'O43889', 'Q9Y6B6'})"
"frozenset({'O60506', 'Q9Y4G6', 'TGFbetaReceptor'})"
"frozenset({'Q9BRJ2', 'P49821', 'TGFbetaReceptor'})"
"frozenset({'P15309', 'P04626', 'TGFbetaReceptor'})"
"frozenset({'P15880', 'TGFbetaReceptor', 'P04183'})"
"frozenset({'Q9BZ95', 'TGFbetaReceptor', 'Q49A26'})"
"frozenset({'Q00839', 'Q9BXL8', 'TGFbetaReceptor'})"
"frozenset({'P16220', 'Q86X55', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q6UXS9', 'P43357'})"
"frozenset({'P37231', 'P21283', 'TGFbetaReceptor'})"
"frozenset({'Q13145', 'Q9ULW2', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P55055', 'P49327'})"
"frozenset({'Q92696', 'P04637', 'TGFbetaReceptor'})"
"frozenset({'P62979', 'Q8IYW5', 'TGFbetaReceptor'})"
"frozenset({'Q15542', 'Q10570', 'TGFbetaReceptor'})"
"frozenset({'Q16543', 'O60938', 'TGFbetaReceptor'})"
"frozenset({'Q9UHD9', 'O95967', 'TGFbetaReceptor'})"
"frozenset({'Q13573', 'Q92878', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'Q99661', 'TGFbetaReceptor'})"
"frozenset({'Q2I0M4', 'TGFbetaReceptor', 'Q14164'})"
"frozenset({'O94992', 'Q15554', 'TGFbetaReceptor'})"
