negatives
"frozenset({'Q9Y6X8', 'Q02750', 'IL4'})"
"frozenset({'Q6UWE0', 'IL4', 'Q9NZL4'})"
"frozenset({'Q13634', 'IL4', 'P15173'})"
"frozenset({'Q96J02', 'P45984', 'IL4'})"
"frozenset({'Q16665', 'IL4', 'P42771'})"
"frozenset({'IL4', 'P50990', 'P24863'})"
"frozenset({'P17482', 'IL4', 'P26371'})"
"frozenset({'Q9H6Z9', 'IL4', 'Q86XN7'})"
"frozenset({'P53420', 'IL4', 'Q9UKX5'})"
"frozenset({'P50748', 'Q8WVE6', 'IL4'})"
"frozenset({'Q56A73', 'Q15717', 'IL4'})"
"frozenset({'P05771', 'IL4', 'Q5SW24'})"
"frozenset({'IL4', 'Q8TDM6', 'Q7Z7A1'})"
"frozenset({'IL4', 'P01024', 'Q9H944'})"
"frozenset({'P00533', 'IL4', 'Q96JA1'})"
"frozenset({'IL4', 'P25942', 'Q9Y4E8'})"
"frozenset({'P10275', 'IL4', 'P41235'})"
"frozenset({'P03372', 'IL4', 'Q92793'})"
"frozenset({'IL4', 'Q01650', 'Q9P0N5'})"
"frozenset({'P04629', 'IL4', 'P23381'})"
"frozenset({'Q9UPQ7', 'O15146', 'IL4'})"
"frozenset({'IL4', 'Q8IUH5', 'Q13113'})"
"frozenset({'P34897', 'IL4', 'Q8TF27'})"
"frozenset({'IL4', 'O14964', 'Q08379'})"
"frozenset({'Q9H5F2', 'IL4', 'O43593'})"
"frozenset({'P43694', 'P17612', 'IL4'})"
"frozenset({'P32121', 'IL4', 'Q8N628'})"
"frozenset({'Q8WUA4', 'P81274', 'IL4'})"
"frozenset({'IL4', 'Q9UL25', 'P49736'})"
"frozenset({'P29353', 'P01111', 'IL4'})"
"frozenset({'Q96C12', 'O77932', 'IL4'})"
"frozenset({'Q92905', 'IL4', 'Q92499'})"
"frozenset({'IL4', 'Q8IVV7', 'Q4G1C9'})"
"frozenset({'Q16526', 'IL4', 'O15516'})"
"frozenset({'IL4', 'Q9BSW2', 'P35638'})"
"frozenset({'P09622', 'IL4', 'Q9Y3B7'})"
"frozenset({'Q9Y6K9', 'IL4', 'Q14161'})"
"frozenset({'IL4', 'Q8HWS3', 'Q9HBZ2'})"
"frozenset({'P28066', 'IL4', 'O15360'})"
"frozenset({'IL4', 'Q9HCE1', 'Q9HC52'})"
"frozenset({'P21281', 'IL4', 'P22061'})"
"frozenset({'P41743', 'IL4', 'Q8WU20'})"
"frozenset({'IL4', 'Q09472', 'P24941'})"
"frozenset({'Q9HCK0', 'IL4', 'Q16543'})"
"frozenset({'Q86VQ0', 'IL4', 'P14373'})"
"frozenset({'Q8IWZ8', 'IL4', 'P36543'})"
"frozenset({'Q9H4A4', 'Q52LJ0', 'IL4'})"
"frozenset({'IL4', 'P02686', 'Q16539'})"
"frozenset({'Q01970', 'IL4', 'P08069'})"
"frozenset({'IL4', 'P12931', 'Q8N556'})"
"frozenset({'IL4', 'P05783', 'P62316'})"
"frozenset({'IL4', 'Q9UKV8', 'Q07021'})"
"frozenset({'P31040', 'IL4', 'Q14164'})"
"frozenset({'O43379', 'IL4', 'P20226'})"
"frozenset({'P62826', 'IL4', 'P25789'})"
"frozenset({'P03372', 'Q16881', 'IL4'})"
"frozenset({'IL4', 'P04350', 'O14829'})"
"frozenset({'IL4', 'Q9P0N5', 'Q8N511'})"
"frozenset({'IL4', 'Q86Y38', 'P00326'})"
"frozenset({'P21781', 'IL4', 'P17948'})"
"frozenset({'P61513', 'IL4', 'Q9NZI8'})"
"frozenset({'IL4', 'Q96M91', 'Q15834'})"
"frozenset({'P53778', 'IL4', 'P12036'})"
"frozenset({'Q06609', 'P28715', 'IL4'})"
"frozenset({'Q6P444', 'IL4', 'P36406'})"
"frozenset({'Q13616', 'P62888', 'IL4'})"
"frozenset({'IL4', 'P53680', 'Q86X19'})"
"frozenset({'P08779', 'IL4', 'Q9H0W5'})"
"frozenset({'Q9BZS1', 'Q5T5X7', 'IL4'})"
"frozenset({'IL4', 'Q99848', 'Q03701'})"
"frozenset({'Q9NVV4', 'Q96FJ2', 'IL4'})"
"frozenset({'IL4', 'O00254', 'P35030'})"
"frozenset({'Q8TAD8', 'IL4', 'Q99613'})"
"frozenset({'P10826', 'IL4', 'Q8IYU2'})"
"frozenset({'P24390', 'IL4', 'Q7L1Q6'})"
"frozenset({'IL4', 'P62805', 'Q08945'})"
"frozenset({'IL4', 'P51948', 'Q9NPF5'})"
"frozenset({'Q9HA38', 'Q8N4V1', 'IL4'})"
"frozenset({'Q14999', 'P18754', 'IL4'})"
"frozenset({'IL4', 'P98153', 'Q15262'})"
"frozenset({'P68366', 'IL4', 'Q93034'})"
"frozenset({'P49286', 'Q96A57', 'IL4'})"
