negatives
"frozenset({'Receptor', 'O14745', 'P15923'})"
"frozenset({'Q8IYF3', 'O95715', 'Receptor'})"
"frozenset({'P31947', 'P12268', 'Receptor'})"
"frozenset({'P78362', 'Q9P2R3', 'Receptor'})"
"frozenset({'P02511', 'P55036', 'Receptor'})"
"frozenset({'P17947', 'Q03060', 'Receptor'})"
"frozenset({'Q14999', 'Q9UBS4', 'Receptor'})"
"frozenset({'O75477', 'Q12982', 'Receptor'})"
"frozenset({'Q13547', 'Q9H3M7', 'Receptor'})"
"frozenset({'Q9HC77', 'Receptor', 'Q8NDV7'})"
"frozenset({'Q05209', 'P06239', 'Receptor'})"
"frozenset({'Receptor', 'O15119', 'P86480'})"
"frozenset({'Q9BUJ2', 'O43670', 'Receptor'})"
"frozenset({'Q6UWE0', 'Q9Y577', 'Receptor'})"
"frozenset({'Q9BTV4', 'Q16666', 'Receptor'})"
"frozenset({'Q9Y2U9', 'Q9BWP8', 'Receptor'})"
"frozenset({'O75718', 'Q15527', 'Receptor'})"
"frozenset({'Q9P2W3', 'A6NDL8', 'Receptor'})"
"frozenset({'Receptor', 'Q92905', 'P31943'})"
"frozenset({'Q14511', 'Q96MA1', 'Receptor'})"
"frozenset({'P46379', 'Q6T4P5', 'Receptor'})"
"frozenset({'Q14593', 'Receptor', 'Q96IP4'})"
"frozenset({'Q86UW9', 'P37235', 'Receptor'})"
"frozenset({'Q8N556', 'Receptor', 'Q02156'})"
"frozenset({'P26010', 'Q13477', 'Receptor'})"
"frozenset({'A7MCY6', 'Q9UHD2', 'Receptor'})"
"frozenset({'P05141', 'Q13233', 'Receptor'})"
"frozenset({'P42768', 'P06241', 'Receptor'})"
"frozenset({'O14744', 'Q16543', 'Receptor'})"
"frozenset({'Q96KQ7', 'O75362', 'Receptor'})"
"frozenset({'Q9BRL6', 'P05067', 'Receptor'})"
"frozenset({'Q9NRV9', 'Receptor', 'Q9H8T0'})"
"frozenset({'Receptor', 'Q13620', 'Q92769'})"
"frozenset({'Q9NP77', 'Q8WVJ2', 'Receptor'})"
"frozenset({'P10070', 'O15524', 'Receptor'})"
"frozenset({'Q8TD06', 'Q8IUC1', 'Receptor'})"
"frozenset({'Q99759', 'Q15172', 'Receptor'})"
"frozenset({'Q13618', 'Q9H0H3', 'Receptor'})"
"frozenset({'Receptor', 'P15374', 'Q969Q1'})"
"frozenset({'Receptor', 'P61923', 'Q9HD26'})"
"frozenset({'Q8IWS0', 'P33778', 'Receptor'})"
"frozenset({'Q9BV68', 'Q9Y2L1', 'Receptor'})"
"frozenset({'P62993', 'Q9H1R2', 'Receptor'})"
"frozenset({'Q9BXL7', 'P43403', 'Receptor'})"
"frozenset({'Q9UP38', 'Q9H1J7', 'Receptor'})"
"frozenset({'Q56P42', 'Receptor', 'Q9ULZ3'})"
"frozenset({'P25024', 'O00585', 'Receptor'})"
"frozenset({'P57076', 'O75635', 'Receptor'})"
"frozenset({'P14406', 'Receptor', 'P15923'})"
"frozenset({'P53611', 'P01106', 'Receptor'})"
"frozenset({'Q14CX7', 'P19022', 'Receptor'})"
"frozenset({'Receptor', 'A5D8V7', 'Q9HD26'})"
"frozenset({'Q86YS3', 'Q9BXF6', 'Receptor'})"
"frozenset({'Q8IXW5', 'Q9NRZ9', 'Receptor'})"
"frozenset({'P60409', 'Q5HYJ3', 'Receptor'})"
"frozenset({'P12830', 'P04264', 'Receptor'})"
"frozenset({'O95870', 'Q9UHD4', 'Receptor'})"
"frozenset({'Q9UKT9', 'P29474', 'Receptor'})"
"frozenset({'Q9UQC2', 'Receptor', 'Q6ZW31'})"
"frozenset({'P06280', 'Q15056', 'Receptor'})"
"frozenset({'O96000', 'O95182', 'Receptor'})"
"frozenset({'P62306', 'P61221', 'Receptor'})"
"frozenset({'P17066', 'O75190', 'Receptor'})"
"frozenset({'Q9H173', 'O15067', 'Receptor'})"
"frozenset({'Q9H0K1', 'P30154', 'Receptor'})"
"frozenset({'P54257', 'Q6NYC8', 'Receptor'})"
"frozenset({'P61218', 'P49069', 'Receptor'})"
"frozenset({'Q92522', 'O75530', 'Receptor'})"
"frozenset({'P41218', 'Q9BZ95', 'Receptor'})"
"frozenset({'Q12905', 'Q96SI9', 'Receptor'})"
"frozenset({'P52888', 'Q9HB07', 'Receptor'})"
"frozenset({'Q9H7D0', 'Receptor', 'P17987'})"
"frozenset({'Receptor', 'O43889', 'Q9Y6B6'})"
"frozenset({'O60506', 'Q9Y4G6', 'Receptor'})"
"frozenset({'Q9BRJ2', 'P49821', 'Receptor'})"
"frozenset({'P15309', 'P04626', 'Receptor'})"
"frozenset({'P15880', 'Receptor', 'P04183'})"
"frozenset({'Q9BZ95', 'Receptor', 'Q49A26'})"
"frozenset({'Q00839', 'Q9BXL8', 'Receptor'})"
"frozenset({'P16220', 'Q86X55', 'Receptor'})"
"frozenset({'Receptor', 'Q6UXS9', 'P43357'})"
