negatives
"frozenset({'P18827', 'Hedgehog', 'P08311'})"
"frozenset({'Q9UMR5', 'Hedgehog', 'Q9NSE4'})"
"frozenset({'P14416', 'Hedgehog', 'Q9P2W3'})"
"frozenset({'Q13618', 'Hedgehog', 'Q9UKV3'})"
"frozenset({'P22087', 'Q9BV38', 'Hedgehog'})"
"frozenset({'O95163', 'Hedgehog', 'Q9UFN0'})"
"frozenset({'Q9BRD0', 'P00568', 'Hedgehog'})"
"frozenset({'O95985', 'Q9Y2D8', 'Hedgehog'})"
"frozenset({'Q9P2P5', 'Q9H267', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P39880', 'Q12778'})"
"frozenset({'Hedgehog', 'Q9NVH0', 'Q13561'})"
"frozenset({'Q6PCD5', 'Hedgehog', 'Q9NS73'})"
"frozenset({'Q14202', 'Q9UBN7', 'Hedgehog'})"
"frozenset({'Q13547', 'Hedgehog', 'Q13351'})"
"frozenset({'Hedgehog', 'Q06546', 'P25490'})"
"frozenset({'P35520', 'Q8TEX9', 'Hedgehog'})"
"frozenset({'P14618', 'Q9NRD1', 'Hedgehog'})"
"frozenset({'P30510', 'P43632', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P54132', 'P04637'})"
"frozenset({'Q13546', 'P07900', 'Hedgehog'})"
"frozenset({'Q99665', 'Q86WN2', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q9NYY3', 'P04637'})"
"frozenset({'Q96P50', 'Q13352', 'Hedgehog'})"
"frozenset({'P78362', 'Q15696', 'Hedgehog'})"
"frozenset({'Q13315', 'Hedgehog', 'P42679'})"
"frozenset({'P60981', 'Q9NXW2', 'Hedgehog'})"
"frozenset({'O60637', 'Q6P1N0', 'Hedgehog'})"
"frozenset({'Q9BQS8', 'Hedgehog', 'Q15051'})"
"frozenset({'Hedgehog', 'O60341', 'Q7Z6G3'})"
"frozenset({'P0CAP2', 'Hedgehog', 'P62875'})"
"frozenset({'O95994', 'Hedgehog', 'Q7Z6Z7'})"
"frozenset({'P32242', 'Q5T754', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q96NE9', 'P31946'})"
"frozenset({'P11142', 'Q04864', 'Hedgehog'})"
"frozenset({'P13010', 'Q8N7H5', 'Hedgehog'})"
"frozenset({'O75751', 'P48023', 'Hedgehog'})"
"frozenset({'Q13618', 'P49406', 'Hedgehog'})"
"frozenset({'P49768', 'Q6UX71', 'Hedgehog'})"
"frozenset({'Q9BUU2', 'Hedgehog', 'P34931'})"
"frozenset({'P51665', 'P55036', 'Hedgehog'})"
"frozenset({'P35998', 'Hedgehog', 'Q99459'})"
"frozenset({'Q08752', 'Hedgehog', 'Q12905'})"
"frozenset({'P05412', 'Hedgehog', 'Q13263'})"
"frozenset({'Hedgehog', 'Q96C92', 'O95835'})"
"frozenset({'Q99985', 'O75051', 'Hedgehog'})"
"frozenset({'P61978', 'Q8N6T7', 'Hedgehog'})"
"frozenset({'P30304', 'P30279', 'Hedgehog'})"
"frozenset({'Q5UIP0', 'Q16891', 'Hedgehog'})"
"frozenset({'O75629', 'P11717', 'Hedgehog'})"
"frozenset({'Q01968', 'Q9NYL9', 'Hedgehog'})"
"frozenset({'O95758', 'Q00537', 'Hedgehog'})"
"frozenset({'O14929', 'Hedgehog', 'Q96H20'})"
"frozenset({'P61088', 'Q9BV68', 'Hedgehog'})"
"frozenset({'Q6P4R8', 'Hedgehog', 'P0C1Z6'})"
"frozenset({'Q00722', 'Hedgehog', 'P63211'})"
"frozenset({'Q9UPW5', 'P28289', 'Hedgehog'})"
"frozenset({'P11021', 'Q15084', 'Hedgehog'})"
"frozenset({'P08581', 'Q00722', 'Hedgehog'})"
"frozenset({'Q9ULR3', 'Q8NEY1', 'Hedgehog'})"
"frozenset({'Q5EE01', 'Q8N2Z9', 'Hedgehog'})"
