negatives
"frozenset({'Q9BVJ7', 'TWEAK', 'Q9UBC3'})"
"frozenset({'Q08AD1', 'TWEAK', 'O60307'})"
"frozenset({'P02686', 'P17252', 'TWEAK'})"
"frozenset({'P61978', 'Q9UJV9', 'TWEAK'})"
"frozenset({'Q14999', 'P51151', 'TWEAK'})"
"frozenset({'P18621', 'TWEAK', 'Q92901'})"
"frozenset({'O75031', 'TWEAK', 'Q9NR81'})"
"frozenset({'TWEAK', 'Q8IUH5', 'P01040'})"
"frozenset({'P00533', 'TWEAK', 'P04637'})"
"frozenset({'TWEAK', 'Q12800', 'Q14152'})"
"frozenset({'P18146', 'TWEAK', 'Q9HBI6'})"
"frozenset({'Q32P44', 'P27348', 'TWEAK'})"
"frozenset({'P04406', 'TWEAK', 'P62807'})"
"frozenset({'Q9NU22', 'Q96DB2', 'TWEAK'})"
"frozenset({'P40855', 'TWEAK', 'P51687'})"
"frozenset({'P36404', 'Q9Y2Y0', 'TWEAK'})"
"frozenset({'P05067', 'Q9H9Y4', 'TWEAK'})"
"frozenset({'Q9UQE7', 'TWEAK', 'Q9H444'})"
"frozenset({'P62750', 'Q9NRG4', 'TWEAK'})"
"frozenset({'Q6VAB6', 'Q52LR7', 'TWEAK'})"
"frozenset({'TWEAK', 'O75438', 'P56556'})"
"frozenset({'P02549', 'TWEAK', 'Q9H2C0'})"
"frozenset({'P62829', 'P61513', 'TWEAK'})"
"frozenset({'Q2M1K9', 'Q16576', 'TWEAK'})"
"frozenset({'P32119', 'TWEAK', 'O60684'})"
"frozenset({'P62837', 'Q9P0P0', 'TWEAK'})"
"frozenset({'TWEAK', 'O75095', 'O00555'})"
"frozenset({'Q96SB8', 'Q9UPZ3', 'TWEAK'})"
"frozenset({'Q16543', 'TWEAK', 'Q9UBU9'})"
"frozenset({'P21333', 'TWEAK', 'Q9Y2G2'})"
"frozenset({'Q06187', 'TWEAK', 'O00206'})"
"frozenset({'Q9NVP1', 'Q9GZS1', 'TWEAK'})"
"frozenset({'P63096', 'TWEAK', 'O00555'})"
"frozenset({'Q9H4L4', 'Q9BYV2', 'TWEAK'})"
