negatives
"frozenset({'Q9UQB3', 'P19022', 'KitReceptor'})"
"frozenset({'P25963', 'Q6P9B6', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9NPA1', 'P17612'})"
"frozenset({'KitReceptor', 'P49005', 'O14980'})"
"frozenset({'O75800', 'Q9Y3C5', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O14654', 'P57078'})"
"frozenset({'Q96ST3', 'P40763', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q03111', 'Q16778'})"
"frozenset({'P68400', 'KitReceptor', 'O60832'})"
"frozenset({'KitReceptor', 'P53618', 'Q9NTJ5'})"
"frozenset({'Q07157', 'P57739', 'KitReceptor'})"
"frozenset({'Q9UBK5', 'KitReceptor', 'P42336'})"
"frozenset({'O75503', 'KitReceptor', 'P18085'})"
"frozenset({'Q05655', 'P40763', 'KitReceptor'})"
"frozenset({'Q9Y2D8', 'KitReceptor', 'Q5T619'})"
"frozenset({'O60264', 'KitReceptor', 'Q9UIG0'})"
"frozenset({'P10114', 'P68104', 'KitReceptor'})"
"frozenset({'Q9Y4X5', 'KitReceptor', 'O14933'})"
"frozenset({'KitReceptor', 'Q9BPZ7', 'P48551'})"
"frozenset({'P00533', 'KitReceptor', 'O00213'})"
"frozenset({'KitReceptor', 'Q9BSJ2', 'P60709'})"
"frozenset({'P02458', 'P0C862', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P29590', 'Q93009'})"
"frozenset({'KitReceptor', 'O75489', 'P12074'})"
"frozenset({'P49247', 'KitReceptor', 'Q8TBB1'})"
"frozenset({'P05387', 'KitReceptor', 'P62424'})"
"frozenset({'P23246', 'P60520', 'KitReceptor'})"
"frozenset({'P08195', 'KitReceptor', 'Q86VM9'})"
"frozenset({'KitReceptor', 'Q9H8T0', 'Q9P253'})"
"frozenset({'Q7KZ85', 'P45973', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P02511', 'O75444'})"
"frozenset({'Q02930', 'KitReceptor', 'P01100'})"
"frozenset({'KitReceptor', 'Q9P2S5', 'Q6P2I7'})"
"frozenset({'A5YKK6', 'KitReceptor', 'Q92600'})"
"frozenset({'KitReceptor', 'Q02539', 'Q15050'})"
"frozenset({'Q16512', 'KitReceptor', 'P42574'})"
"frozenset({'KitReceptor', 'Q01780', 'Q7L2H7'})"
"frozenset({'Q8IY33', 'P01106', 'KitReceptor'})"
"frozenset({'P31749', 'Q08209', 'KitReceptor'})"
"frozenset({'P05112', 'P27361', 'KitReceptor'})"
"frozenset({'P30443', 'KitReceptor', 'Q99706'})"
"frozenset({'P61073', 'KitReceptor', 'Q16643'})"
"frozenset({'O15344', 'KitReceptor', 'P68036'})"
"frozenset({'KitReceptor', 'Q96AG4', 'P01100'})"
"frozenset({'Q5T751', 'KitReceptor', 'Q6L8G4'})"
"frozenset({'KitReceptor', 'Q8NH09', 'P35626'})"
"frozenset({'Q9H6E5', 'KitReceptor', 'Q08830'})"
"frozenset({'P62312', 'KitReceptor', 'Q5GLZ8'})"
"frozenset({'P26715', 'Q6ZT21', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P07858', 'P04233'})"
"frozenset({'KitReceptor', 'O14610', 'P28566'})"
"frozenset({'Q13363', 'KitReceptor', 'Q92766'})"
"frozenset({'P05388', 'KitReceptor', 'O60861'})"
"frozenset({'Q13797', 'KitReceptor', 'Q99759'})"
"frozenset({'KitReceptor', 'P17612', 'Q8NGX0'})"
"frozenset({'Q9BUT9', 'O95273', 'KitReceptor'})"
"frozenset({'Q96MW1', 'Q9UN30', 'KitReceptor'})"
"frozenset({'P13929', 'KitReceptor', 'Q3LXA3'})"
"frozenset({'P0C862', 'KitReceptor', 'P12110'})"
"frozenset({'P22392', 'P07195', 'KitReceptor'})"
"frozenset({'Q53TS8', 'KitReceptor', 'P54257'})"
"frozenset({'P08865', 'KitReceptor', 'P05412'})"
"frozenset({'P42766', 'KitReceptor', 'Q6NUN9'})"
"frozenset({'P68104', 'KitReceptor', 'O14979'})"
"frozenset({'P11171', 'KitReceptor', 'Q01081'})"
"frozenset({'P62258', 'KitReceptor', 'Q9H4A3'})"
"frozenset({'Q9P0N5', 'P42167', 'KitReceptor'})"
"frozenset({'P17693', 'KitReceptor', 'P43630'})"
"frozenset({'KitReceptor', 'O14965', 'Q9NZZ3'})"
"frozenset({'P55072', 'KitReceptor', 'Q9H0K1'})"
"frozenset({'KitReceptor', 'P62136', 'O00327'})"
"frozenset({'Q08AM6', 'KitReceptor', 'O14503'})"
"frozenset({'Q9UGY1', 'KitReceptor', 'P11802'})"
"frozenset({'KitReceptor', 'P26441', 'P26951'})"
"frozenset({'Q13099', 'KitReceptor', 'Q9NQC8'})"
"frozenset({'P10909', 'KitReceptor', 'P04156'})"
"frozenset({'Q02153', 'Q02108', 'KitReceptor'})"
"frozenset({'Q9ULM6', 'KitReceptor', 'Q9HCJ0'})"
"frozenset({'Q99714', 'KitReceptor', 'Q9GZQ8'})"
"frozenset({'KitReceptor', 'Q8NEV1', 'Q9UKI9'})"
"frozenset({'Q92911', 'KitReceptor', 'Q7Z3S9'})"
"frozenset({'O15455', 'P43405', 'KitReceptor'})"
