negatives
"('P50402', 'Q8N7W2')"
"('P46777', 'P61353')"
"('P67775', 'P06400')"
"('P55735', 'P30480')"
"('O96017', 'Q99638')"
"('Q15154', 'P49841')"
"('P49715', 'P10826')"
"('P50453', 'Q9GZT6')"
"('P50150', 'O14827')"
"('Q92769', 'O75182')"
"('Q9UDY8', 'Q92905')"
"('P22681', 'P08581')"
"('O43524', 'P08603')"
"('P42768', 'P12931')"
"('Q16566', 'P27815')"
"('P14867', 'O60296')"
"('Q9H8W4', 'Q9UI14')"
"('P35222', 'Q5TCQ9')"
"('Q9Y6N7', 'Q7Z6B7')"
"('Q9H3Q1', 'Q9NNW5')"
"('O95167', 'O95168')"
"('Q96HA7', 'Q6ZRQ5')"
"('Q13535', 'P51610')"
"('O95433', 'P30480')"
"('Q9Y6K9', 'Q96P70')"
"('Q8IZP0', 'P02549')"
"('P62879', 'P42338')"
"('Q9UBF6', 'Q13616')"
"('O14964', 'Q9UJY4')"
"('O15131', 'Q9HCU9')"
"('Q9HC56', 'P41182')"
"('Q9P2R6', 'P54259')"
"('Q9Y6Y9', 'P11226')"
"('Q15796', 'Q09472')"
"('P37231', 'Q9HAZ2')"
"('P26441', 'P32927')"
"('Q8WUW1', 'Q8N1N4')"
"('P35225', 'P38484')"
"('P12931', 'P08253')"
"('Q9HB96', 'Q9NPI8')"
"('P56279', 'P43403')"
"('O00203', 'P59780')"
"('P54762', 'P62993')"
"('Q13164', 'P01225')"
"('Q9NVN8', 'O95751')"
"('O43557', 'Q9NR28')"
"('Q9Y4K3', 'O00571')"
"('Q92922', 'Q96GM5')"
"('Q15714', 'P82279')"
"('Q14197', 'Q9Y606')"
"('Q9NT99', 'P10586')"
"('P67870', 'Q8WW35')"
"('O14965', 'Q9NS23')"
"('Q01892', 'Q01094')"
"('P55072', 'Q99759')"
"('P03897', 'O43674')"
"('P25208', 'P11388')"
"('Q16629', 'P38159')"
"('P05387', 'Q07020')"
"('Q8N474', 'Q9Y6F9')"
"('Q96JP5', 'P08887')"
"('P35222', 'Q9UKB5')"
"('P30260', 'Q9UJX3')"
"('P21246', 'O43147')"
"('P50453', 'Q9Y3C7')"
"('Q92597', 'P60228')"
"('Q9NZT1', 'Q08462')"
"('Q9GZX6', 'P10912')"
"('P05015', 'Q8N6P7')"
"('P24522', 'P07199')"
"('Q06455', 'Q9Y2W2')"
"('Q13620', 'Q9BW61')"
"('Q01850', 'P14207')"
"('Q12802', 'P61981')"
"('P61158', 'O15145')"
"('O96017', 'Q9Y3F4')"
"('P24863', 'Q9BTT4')"
"('P51817', 'Q16558')"
"('Q9NYQ6', 'P07602')"
"('P22392', 'Q16576')"
"('Q9UPN9', 'Q01196')"
"('Q13490', 'Q9NP84')"
"('P22607', 'Q6S5L8')"
"('P13010', 'O43918')"
"('P25963', 'Q9UN86')"
"('Q3ZCM7', 'A6NHL2')"
"('Q13952', 'P25208')"
"('P01242', 'Q8N6P7')"
"('P19474', 'Q02556')"
"('P26599', 'Q13247')"
"('Q04864', 'P10275')"
"('P10276', 'P46695')"
"('O94806', 'P04049')"
"('P68363', 'P04350')"
"('P15248', 'Q13424')"
"('Q92665', 'Q8IY92')"
"('P07910', 'Q9P0T4')"
"('Q8N878', 'Q13188')"
"('P27824', 'Q9Y244')"
"('Q96QB1', 'P08134')"
"('P60228', 'Q9Y262')"
"('O95405', 'P12644')"
"('Q9ULJ1', 'Q9P2H0')"
"('Q9BX63', 'P16220')"
"('P30480', 'P54578')"
"('Q9UL46', 'P35998')"
"('Q9BUJ2', 'Q9UKR5')"
"('P20701', 'Q15762')"
"('Q99459', 'Q13416')"
"('P51553', 'O43837')"
"('Q9H0D6', 'P21964')"
"('O95400', 'P81605')"
"('P14618', 'O95897')"
"('P30307', 'P14635')"
