negatives
"('P38484', 'P08758')"
"('O95299', 'O75438')"
"('Q8TAD8', 'Q8TBK6')"
"('Q16254', 'Q15054')"
"('O75618', 'P84022')"
"('Q86TM6', 'P55072')"
"('P62068', 'O60346')"
"('Q9NWQ8', 'Q9UER7')"
"('Q9H9B1', 'Q99459')"
"('P43699', 'P55157')"
"('P42224', 'P40305')"
"('P01308', 'P07333')"
"('P51965', 'Q6UVK1')"
"('P43250', 'O95084')"
"('Q13158', 'O15519')"
"('Q01196', 'P17947')"
"('Q7Z569', 'Q15672')"
"('P10586', 'Q92529')"
"('P45973', 'P12956')"
"('P21926', 'P18146')"
"('P24821', 'P26012')"
"('Q8NC51', 'Q00005')"
"('Q9UKV8', 'P62899')"
"('O00483', 'O43677')"
"('Q9C0H2', 'P27361')"
"('P49792', 'P21675')"
"('O15055', 'P18146')"
"('O43318', 'Q13451')"
"('406893', 'Q07820')"
"('Q8NEM0', 'Q14209')"
"('P20823', 'O43261')"
"('Q9UJX2', 'Q9Y620')"
"('Q6KF10', 'O00238')"
"('O75688', 'P05783')"
"('P29350', 'P26992')"
"('406907', 'Q15910')"
"('A1L0T0', 'P12956')"
"('Q8N257', 'P51610')"
"('P06213', 'Q12913')"
"('P06493', 'P51587')"
"('P49336', 'Q9NWA0')"
"('P51149', 'O14576')"
"('P03915', 'P56556')"
"('Q13094', 'P12314')"
"('Q15366', 'Q00839')"
"('Q15788', 'P31273')"
"('Q16539', 'Q92574')"
"('P25788', 'O60739')"
"('Q14181', 'P55769')"
"('Q14451', 'P21860')"
"('P14317', 'P37802')"
"('P37173', 'P30153')"
"('P78352', 'Q6P1M3')"
"('P05230', 'P35968')"
"('Q92945', 'Q15717')"
"('Q8N684', 'P55345')"
"('P53680', 'P62316')"
"('Q08334', 'O60674')"
"('P09429', 'Q14457')"
"('Q15750', 'P38646')"
"('O95139', 'P51970')"
"('P50406', 'P38405')"
"('P40616', 'P01889')"
"('Q9NRG9', 'Q96HA1')"
"('P61981', 'Q9HC77')"
"('Q8TBB1', 'P21673')"
"('P20618', 'P27824')"
"('Q07092', 'P02462')"
"('P55081', 'Q8TAD8')"
"('Q6PD62', 'P49459')"
"('Q9Y5X2', 'P16333')"
"('P39019', 'P46781')"
"('O00165', 'Q04206')"
"('Q15796', 'P30626')"
"('P61313', 'Q9UL18')"
"('Q8N6Y0', 'Q96MT8')"
"('P63244', 'P23396')"
"('P11142', 'P18206')"
"('P30520', 'Q9H0Y0')"
"('P54253', 'Q8NEA9')"
"('P17947', 'Q99062')"
"('Q8IWR0', 'Q02388')"
"('Q08170', 'Q86U42')"
"('P15622', 'Q96BR9')"
"('P60602', 'Q07817')"
"('Q13131', 'Q9NP71')"
"('P68400', 'P51610')"
"('P03886', 'O95182')"
"('Q9Y4K3', 'Q9BUF5')"
"('P01871', 'P35527')"
"('P05556', 'Q08043')"
"('Q15906', 'Q9Y230')"
"('P12956', 'P07900')"
"('O75508', 'O95500')"
"('P30046', 'P40337')"
"('P04049', 'O14939')"
"('Q92974', 'Q96L34')"
"('Q96RU7', 'Q15047')"
"('P16333', 'Q9HCM9')"
"('P03372', 'Q13485')"
"('P21246', 'P49841')"
"('Q9UBF8', 'P62166')"
"('P01589', 'Q13424')"
"('P01106', 'P38936')"
"('Q13243', 'Q01081')"
"('P62917', 'P61313')"
"('Q02241', 'O75154')"
"('P22736', 'Q9NQX6')"
"('O95999', 'O14920')"
"('P13569', 'P10809')"
"('P42224', 'P40189')"
"('P01106', 'Q96SI9')"
"('P07900', 'Q9Y243')"
"('Q99459', 'P52732')"
"('P17948', 'P01130')"
"('Q9UM82', 'Q9P209')"
"('Q92585', 'P46531')"
"('Q03111', 'O60563')"
"('P20963', 'O14931')"
"('Q9BX66', 'P55196')"
"('Q8WXG9', 'Q9HBM0')"
"('Q9UBI6', 'P11229')"
"('P11142', 'Q04206')"
"('Q9H171', 'Q6UX71')"
"('P53667', 'P57058')"
"('P51817', 'P61224')"
"('O43918', 'Q01130')"
"('Q8NEB9', 'P31751')"
"('P13693', 'P05386')"
"('Q9Y6M9', 'O75569')"
"('O43353', 'P45983')"
"('Q8N7P3', 'O14493')"
"('P05129', 'Q8TAA9')"
"('P02751', 'P23229')"
"('P07900', 'Q9UHD2')"
"('O43521', 'Q16548')"
"('O75145', 'O15083')"
"('P05106', 'P63261')"
"('Q01082', 'P42224')"
"('P27797', 'P00451')"
