negatives
"('Q9Y2K1', 'P34931')"
"('Q9H0R8', 'P51149')"
"('Q14498', 'Q13148')"
"('O95429', 'P07900')"
"('Q07954', 'Q9UBP9')"
"('P04843', 'Q13838')"
"('Q16629', 'P09661')"
"('Q9ULX9', 'Q16236')"
"('Q6P5X5', 'P27658')"
"('Q86VP6', 'P46531')"
"('O60216', 'Q9UDY4')"
"('Q96EA4', 'P49356')"
"('Q15717', 'Q9NRL2')"
"('P06241', 'P42566')"
"('Q9ULC4', 'Q9BTV5')"
"('O75147', 'Q9Y2X3')"
"('Q8N490', 'Q8TC07')"
"('P12532', 'Q13618')"
"('Q15323', 'Q9C0C4')"
"('Q96GN5', 'Q9UER7')"
"('Q6ZU80', 'Q92844')"
"('Q14978', 'Q96FW1')"
"('P22681', 'Q14C86')"
"('P25788', 'P01106')"
"('P17252', 'P56537')"
"('Q9Y287', 'O60243')"
"('O15360', 'O95433')"
"('P10746', 'O95352')"
"('P60866', 'P35544')"
"('Q08257', 'Q16881')"
"('Q13227', 'P49639')"
"('P49736', 'P42771')"
"('Q9BT25', 'Q9H6D7')"
"('Q08209', 'O43847')"
"('P09234', 'Q8IUC1')"
"('Q9UNF1', 'Q6NUN9')"
"('P78527', 'P08047')"
"('Q9Y496', 'Q9BZD4')"
"('Q9UPT9', 'Q9H9J2')"
"('Q99729', 'P20963')"
"('O60477', 'O76071')"
"('Q16740', 'Q99798')"
"('P57739', 'P05412')"
"('O75689', 'Q96S59')"
"('P19338', 'Q9BQG0')"
"('Q16864', 'Q13404')"
"('P26373', 'Q9Y291')"
"('P23528', 'P13612')"
"('Q15843', 'P08779')"
"('P05067', 'Q16836')"
"('Q9UI15', 'P31948')"
"('Q9Y619', 'P33992')"
"('Q13148', 'Q9H492')"
"('O75955', 'O95477')"
"('P13385', 'Q9NWU2')"
"('P11021', 'Q13043')"
"('Q9NYF8', 'Q96SB4')"
"('Q99611', 'Q96JB6')"
"('Q9Y2Z4', 'O43184')"
"('Q14050', 'P08648')"
"('Q8N6N6', 'Q9UKT9')"
"('O96019', 'Q9Y4A5')"
"('P68431', 'P15172')"
"('Q8IYL2', 'P16473')"
"('Q3ZCW2', 'Q9NYB0')"
"('P27037', 'Q04771')"
"('Q08379', 'Q6ZN57')"
"('P05771', 'Q9NRA0')"
"('O75400', 'Q12874')"
"('P01106', 'P54136')"
"('Q99750', 'Q9NQX5')"
"('Q9UQL6', 'P23771')"
"('Q9Y3U8', 'P46777')"
"('Q12778', 'P55273')"
"('O95983', 'P17844')"
"('P47870', 'O95166')"
"('P06213', 'P62987')"
"('P12830', 'O75496')"
"('Q13464', 'Q13480')"
"('A6NI79', 'P25788')"
"('Q99728', 'O00505')"
"('Q5T753', 'Q8N3Z6')"
"('O15360', 'Q9H2G2')"
"('Q00839', 'P50613')"
"('Q13526', 'O95785')"
"('P61964', 'Q86VP6')"
"('O75083', 'Q16576')"
"('Q9Y4F3', 'Q2M3V2')"
"('Q86UY5', 'P14373')"
"('P37275', 'Q13363')"
"('P62701', 'P61313')"
"('Q96HA8', 'Q9UH03')"
"('Q9HB71', 'Q70CQ1')"
"('Q99879', 'P21675')"
"('Q9UHD2', 'Q9HCE7')"
"('P32942', 'P60709')"
"('Q9HBJ8', 'Q96H35')"
"('Q53EL6', 'Q14240')"
"('O60237', 'Q504Q3')"
"('P49407', 'Q8N0Y3')"
"('Q92890', 'Q15022')"
"('Q9BQ90', 'Q6P1S2')"
"('P49841', 'Q6PGQ7')"
"('P15923', 'P83881')"
"('Q92754', 'O14920')"
"('O75381', 'Q8N344')"
"('P47712', 'Q9Y230')"
"('P21399', 'P05067')"
"('P78347', 'P63010')"
"('Q8N108', 'P49674')"
"('P08238', 'P46940')"
"('Q8WXH5', 'Q14627')"
"('Q01850', 'P33176')"
"('Q8IW19', 'Q14527')"
"('Q14186', 'P06493')"
"('Q00597', 'P54278')"
"('P40692', 'Q9NYI0')"
"('O43516', 'P61160')"
"('Q9UN42', 'Q14393')"
"('O75154', 'P57735')"
"('P02751', 'P61026')"
"('P63261', 'Q13797')"
"('Q68D86', 'Q969H6')"
"('Q99496', 'Q9NQ55')"
"('Q8TBB1', 'P19474')"
"('Q9UHD2', 'Q14644')"
"('P49411', 'P62993')"
"('Q9NR61', 'P57105')"
"('P12830', 'Q9HBH7')"
"('Q53S58', 'O60506')"
"('Q15459', 'Q70CQ3')"
"('O75031', 'O43639')"
"('Q9UKT9', 'Q9UJX0')"
"('Q9H0J9', 'P27694')"
"('Q01974', 'P59022')"
"('Q14790', 'Q9UKQ9')"
"('Q9BQG0', 'P25490')"
"('Q15370', 'P61966')"
"('P04920', 'Q86VR2')"
"('P47813', 'O15371')"
"('P02751', 'P25705')"
"('Q16531', 'P05412')"
"('O95571', 'Q99757')"
"('Q99593', 'O75800')"
"('Q7Z3S9', 'Q8IWZ5')"
"('Q13398', 'Q9GZM8')"
"('Q92783', 'Q9UNE7')"
"('Q969T4', 'Q9BV68')"
"('Q8IYE1', 'Q86T90')"
"('Q92688', 'Q15831')"
"('P25098', 'Q8NGC6')"
"('P84022', 'Q9BZ29')"
"('O75159', 'P00533')"
"('Q9BVA0', 'P07437')"
"('P13612', 'O95372')"
"('P49407', 'P49327')"
"('Q96EK6', 'P21695')"
"('P30050', 'Q00839')"
"('Q9Y4B6', 'O15379')"
"('Q9HCM4', 'P55209')"
"('Q7L5N1', 'Q13616')"
"('Q9P0W0', 'P40189')"
"('Q13526', 'Q8IX15')"
"('Q9HAU4', 'P62736')"
"('Q96GF1', 'O43765')"
"('P06753', 'P60709')"
"('P60520', 'Q09028')"
"('P02751', 'P24534')"
"('P19338', 'P07766')"
"('P25705', 'O00400')"
"('O43149', 'Q6PKH6')"
"('P08754', 'O14775')"
"('P10809', 'Q504Q3')"
"('P25800', 'Q9Y3Q8')"
"('P09651', 'Q32P51')"
"('P32969', 'Q58FG1')"
"('P23759', 'O95433')"
"('Q8WXE1', 'O14757')"
"('Q96PV7', 'P54253')"
"('Q70UQ0', 'P05412')"
"('P00533', 'Q86W26')"
"('Q7Z4W1', 'Q8IWL3')"
"('Q99895', 'P60410')"
"('Q9UBD5', 'O96020')"
"('Q08043', 'Q9H7P9')"
"('Q8IWL3', 'Q9Y2Z4')"
"('Q9UPE1', 'P62314')"
"('Q9BUE0', 'O43513')"
"('P04792', 'P25963')"
"('Q7Z6Z7', 'Q63HR2')"
"('Q96S59', 'Q2NL82')"
"('Q86U70', 'P25800')"
"('Q8N766', 'Q8IWL3')"
"('P63167', 'P34897')"
"('P34897', 'Q8N684')"
"('Q5VYK3', 'Q8IYW5')"
"('P05412', 'P49916')"
"('P05000', 'Q01344')"
"('Q9BQE9', 'Q96GM5')"
"('P67936', 'P19429')"
"('Q9BUN8', 'Q13936')"
"('Q6ZUJ8', 'O00459')"
"('Q0VD86', 'Q9BRJ7')"
"('Q9P2P5', 'O43148')"
"('Q9H816', 'P54652')"
"('Q6UWJ1', 'Q15717')"
"('P23511', 'O95067')"
"('Q15569', 'P17858')"
"('Q8N960', 'Q9NVI1')"
"('Q15018', 'Q93009')"
"('Q9Y3Q8', 'Q8N5R6')"
"('Q13115', 'P28482')"
"('Q14257', 'P42858')"
"('Q9UBC3', 'P48552')"
"('P14373', 'Q8IVS8')"
"('Q96IX9', 'P19012')"
"('Q9Y5M8', 'O60906')"
"('Q06124', 'O15524')"
"('Q9C019', 'P23528')"
"('Q8TAI1', 'A8MQ03')"
"('Q8IWL3', 'P07814')"
