negatives
"('406982', 'P10145')"
"('P48544', 'O75446')"
"('Q9UFF9', 'P33993')"
"('P11387', 'Q9UQ80')"
"('P09564', 'P27986')"
"('O15198', 'Q13485')"
"('Q9H9G7', 'Q9Y3B4')"
"('Q9UQL6', 'P62807')"
"('O43513', 'Q92731')"
"('P13569', 'P20823')"
"('Q16539', 'Q9UGU0')"
"('Q2TAY7', 'Q06124')"
"('Q5QNW6', 'Q6UXN9')"
"('O00444', 'Q12873')"
"('Q9H223', 'P61020')"
"('P01889', 'P02786')"
"('P60880', 'Q15811')"
"('Q9H5I1', 'P55157')"
"('O95989', 'P56182')"
"('P20701', 'Q05397')"
"('Q16836', 'Q9Y478')"
"('P04626', 'Q92729')"
"('Q9Y4J8', 'Q14CB8')"
"('Q99616', 'O00574')"
"('Q99759', 'Q16643')"
"('Q9UL18', 'P18621')"
"('P35626', 'A4D2G3')"
"('P28908', 'P41182')"
"('Q9HC24', 'Q9Y262')"
"('Q13033', 'P23508')"
"('Q9Y6G9', 'Q96NA2')"
"('P63000', 'P19525')"
"('O76096', 'Q9ULA0')"
"('P08567', 'P12814')"
"('P28482', 'Q68CJ9')"
"('P45983', 'O15519')"
"('Q07817', 'Q8IVG9')"
"('O60232', 'Q9Y230')"
"('P67775', 'P46695')"
"('P35626', 'Q8NGI3')"
"('P03372', 'P42229')"
"('Q14344', 'O14641')"
"('O60563', 'P49336')"
"('Q13023', 'P12931')"
"('Q92769', 'P10275')"
"('P11142', 'Q99836')"
"('O00193', 'P01023')"
"('Q9NY59', 'O75530')"
"('P35250', 'P01106')"
"('P60568', 'P48551')"
"('P62899', 'P62906')"
"('Q8IZI9', 'P17181')"
"('Q92901', 'P83731')"
"('Q5JY77', 'P25025')"
"('Q96AH8', 'Q9H1Y0')"
"('P56524', 'Q9UQR1')"
"('Q32MK0', 'Q96A32')"
"('Q9Y4A5', 'O43156')"
"('Q9UKV8', 'Q99848')"
"('Q9UKR5', 'P14678')"
"('Q13554', 'Q9UF02')"
"('P27361', 'P40763')"
"('Q15628', 'Q00325')"
"('P42229', 'Q99490')"
"('Q99459', 'P52292')"
"('O95983', 'Q9BTC8')"
"('P62875', 'P52435')"
"('Q13501', 'O14770')"
"('P18146', 'P49336')"
"('P49918', 'P45983')"
"('P63104', 'Q16613')"
"('P27815', 'Q09472')"
"('Q00994', 'Q16288')"
"('Q92547', '26765')"
"('P58012', 'P04179')"
"('Q9UDY8', 'Q04206')"
"('Q01094', 'Q8N682')"
"('Q9NSE2', 'O60674')"
"('Q9H171', 'Q9Y2V3')"
"('Q6ZUJ8', 'O00459')"
"('A8TX70', 'P23229')"
"('P62140', 'Q9BQI3')"
"('P07814', 'O00221')"
"('Q12888', 'P04637')"
"('Q4G0J3', 'P50750')"
"('Q12834', 'Q9UJX4')"
"('Q9BY84', 'P28482')"
"('P11021', 'P48039')"
"('P57087', 'P55196')"
"('Q9GZZ1', 'Q9Y4K3')"
"('P36873', 'P24385')"
"('O15131', 'Q13573')"
"('Q07343', 'Q9NRI5')"
"('Q14558', 'P62258')"
"('Q96SB3', 'O95685')"
"('P04004', 'P08648')"
"('Q9BPW8', 'Q9H492')"
"('O15524', 'Q99062')"
"('Q9NRI5', 'Q02833')"
"('P30450', 'Q9Y4L1')"
"('O15479', 'P52272')"
"('P61247', 'P23508')"
"('Q96HF1', 'Q9UBV4')"
"('Q6MZP7', 'P10244')"
"('Q9GZS1', 'Q53T94')"
"('Q9BTT4', 'O75586')"
"('P25789', 'P25786')"
"('Q15173', 'O60840')"
"('P20809', 'Q8N6P7')"
"('Q9BW27', 'P12270')"
"('Q14194', 'P61604')"
"('Q9GZS1', 'Q8TDY2')"
"('Q15714', 'Q12852')"
"('Q86WZ6', 'P49674')"
"('Q9Y5V3', 'P56178')"
"('P10828', 'Q96HR3')"
"('Q96GM8', 'Q01081')"
"('Q9Y4K3', 'P09936')"
"('P53708', 'Q07889')"
"('O14980', 'Q16236')"
"('P63000', 'Q13153')"
"('Q8WVB3', 'Q9HCC8')"
"('P49137', 'Q16082')"
"('P53396', 'P78396')"
"('Q8NCM8', 'Q9BVA1')"
"('Q13315', 'Q6NZY4')"
"('Q9BRX2', 'Q9P035')"
"('P23511', 'P60709')"
"('Q04912', 'P31947')"
"('Q12933', 'P17181')"
"('O00222', 'Q9P2W3')"
"('Q8IYR0', 'Q5T124')"
"('Q13009', 'Q9H4E5')"
"('Q9H583', 'Q5TCY1')"
"('Q15428', 'Q15427')"
"('Q16827', 'P08581')"
"('Q13077', 'P23396')"
"('P13569', 'O00165')"
"('P40337', 'P51149')"
"('Q9NZZ3', 'Q70EL1')"
"('P13631', 'Q9NPJ4')"
"('P01242', 'Q8IU57')"
"('P40197', 'Q92569')"
"('Q9NPH9', 'P16871')"
"('P62424', 'P62987')"
"('Q7Z5R6', 'P50552')"
"('P48039', 'P62879')"
"('P49715', 'P49716')"
"('Q16637', 'Q9NYR9')"
"('O14836', 'Q99836')"
"('Q9H3S1', 'Q9ULL4')"
"('P09651', 'Q15365')"
"('Q9UKV8', 'Q96C10')"
"('Q8N1L9', 'Q15038')"
"('P68036', 'Q7Z419')"
"('A8K6C2', 'Q8N6P7')"
"('Q9H9Q4', 'P49917')"
"('P49888', 'O00204')"
"('724029', 'P28799')"
"('P49006', 'O60603')"
"('Q9UBI6', 'O00329')"
"('P12814', 'Q5TCQ9')"
"('P60763', 'Q86VI3')"
"('Q06413', 'Q92905')"
"('Q04695', 'Q15834')"
"('P01138', 'Q16620')"
"('Q00653', 'P40763')"
"('P46939', 'Q9NRI5')"
"('P60953', 'Q13432')"
"('Q15714', 'Q9NWB1')"
"('P04049', 'O00459')"
"('P62993', 'Q9Y230')"
"('P18077', 'P27635')"
"('Q93077', 'Q9BY41')"
"('Q99418', 'P49407')"
"('Q13362', 'Q86YF9')"
"('P01854', 'P12319')"
"('Q13418', 'P14174')"
"('Q99613', 'O15372')"
"('P24347', 'O75400')"
"('P54619', 'Q53ET0')"
"('Q9Y265', 'P17480')"
"('Q16659', 'Q12860')"
"('Q9Y561', 'P63244')"
"('P17612', 'P20941')"
"('Q16594', 'P68104')"
"('P00540', 'Q02750')"
"('Q15717', 'P06730')"
"('Q8IXJ6', 'P68431')"
"('Q8IYB3', 'Q8IWZ8')"
"('P04637', '406969')"
"('P63000', 'Q9BYG5')"
"('P0CG47', 'Q99942')"
"('Q86XI6', 'P27482')"
"('Q8N474', 'O96014')"
"('P55072', 'P67775')"
"('P51149', 'Q9UI12')"
"('Q8ND25', 'Q96B02')"
"('P41567', 'O00303')"
"('Q969G3', 'P51531')"
