negatives
"('Q05923', 'P28482')"
"('Q13233', 'Q96P11')"
"('P08107', 'P10415')"
"('P52630', 'Q8WXH5')"
"('Q8WV28', 'Q06187')"
"('P62136', 'O95405')"
"('Q00005', 'P02538')"
"('Q07889', 'P61587')"
"('Q9P2H0', 'Q9Y2M5')"
"('Q15370', 'Q8N668')"
"('Q16612', 'P68104')"
"('O14512', 'P38484')"
"('Q04695', 'Q2TAY7')"
"('P01106', 'Q9Y2Q9')"
"('P21860', 'Q4VC44')"
"('P46937', 'P84022')"
"('Q16512', 'Q15834')"
"('P83881', 'P36578')"
"('Q07021', 'Q13480')"
"('P31995', 'P46108')"
"('P50876', 'P68036')"
"('Q14240', 'P06730')"
"('P61978', 'P11387')"
"('O43353', 'P04350')"
"('Q16658', 'P62993')"
"('Q13118', 'Q96BZ8')"
"('Q9UHD1', 'O43809')"
"('Q15700', 'Q01814')"
"('Q9GZS1', 'Q53T94')"
"('Q92793', 'P19544')"
"('Q01094', 'Q6NT32')"
"('Q14050', 'P02458')"
"('Q05516', 'P09913')"
"('P23229', 'P25391')"
"('Q16760', 'O00165')"
"('P14866', 'Q9NRG4')"
"('P04628', 'O00144')"
"('P53355', 'P10415')"
"('Q6QNY1', 'Q8TDH9')"
"('Q9NRX1', 'O15530')"
"('O00483', 'Q16795')"
"('Q96L91', 'Q15906')"
"('Q9BVA1', 'P68366')"
"('Q9Y3C0', 'Q96AQ6')"
"('O75461', 'Q01094')"
"('Q86U06', 'Q12789')"
"('Q9H7E9', 'Q9BVA1')"
"('Q9Y3C7', 'P20073')"
"('P63272', 'P08758')"
"('P08173', 'P63215')"
"('Q06187', 'P41182')"
"('P55072', 'P63104')"
"('Q15545', 'P53999')"
"('P08754', 'O60262')"
"('P17302', 'Q6PEY2')"
"('Q8N2Z9', 'Q8NB91')"
"('P12107', 'P08648')"
"('P23588', 'Q14240')"
"('Q52LW3', 'P15153')"
"('Q2TAA5', 'P60604')"
"('Q15583', 'O75593')"
"('P30084', 'Q9HAU4')"
"('P05783', 'Q9UM73')"
"('Q99684', 'O15371')"
"('Q9UER7', 'Q13185')"
"('P13533', 'P10916')"
"('P23588', 'Q13557')"
"('P33992', 'O43913')"
"('P21583', 'P22455')"
"('P42766', 'Q9UL18')"
"('Q9UNE7', 'P51668')"
"('P15923', 'Q13309')"
"('Q00987', 'P60604')"
"('P20309', 'P84996')"
"('P22694', 'Q99819')"
"('Q09472', 'P05412')"
"('P61978', 'Q07666')"
"('P33240', 'Q92499')"
"('P40337', 'P07741')"
"('P15036', 'P51692')"
"('P13224', 'P07359')"
"('P46736', 'Q06609')"
"('P22087', 'P19338')"
"('P60763', 'Q6H8Q1')"
"('Q9Y6G9', 'Q9BQE3')"
"('Q9H2G2', 'Q92831')"
"('P48546', 'O95467')"
"('Q92793', 'P48551')"
"('Q12933', 'Q14644')"
"('Q13573', 'Q7Z5K2')"
"('Q13315', 'Q02413')"
"('Q15365', 'P67809')"
"('P41586', 'O14775')"
"('O14490', 'Q96FJ2')"
"('P68104', 'Q9NRR5')"
"('P11387', 'Q8IW19')"
"('P50281', 'P09958')"
"('O95990', 'Q9BUH8')"
"('Q9Y2Y4', 'Q05516')"
"('Q5JSJ4', 'Q96MT8')"
"('Q96GD4', 'P06400')"
"('Q08209', 'P27482')"
"('Q9BVA1', 'Q96NA2')"
"('P05112', 'P17181')"
"('P15918', 'O95433')"
"('Q8N264', 'P15153')"
"('Q9UN75', 'P46108')"
"('Q16520', 'O75971')"
"('P11274', 'Q96ID5')"
"('P63173', 'P50914')"
"('Q8NG27', 'Q9Y5V3')"
"('Q9Y297', 'P18848')"
"('P54259', 'P61289')"
"('Q9BXM0', 'P00519')"
"('Q09472', 'P16949')"
"('O00220', 'Q06187')"
"('P06899', 'P61964')"
"('Q8WYH8', 'Q92794')"
"('P13747', 'O15533')"
"('P36957', 'O95376')"
"('O15264', 'P61978')"
"('O75052', 'P29475')"
"('P61224', 'P04637')"
"('P54253', 'Q92794')"
"('O43167', 'Q9Y6E0')"
"('Q9UBL3', 'O15047')"
"('Q16363', 'Q8IWV7')"
"('P62328', 'P20073')"
"('Q9BPX5', 'P61158')"
"('O96019', 'Q12824')"
"('Q07890', 'P05556')"
"('Q7Z4P5', 'O00238')"
"('Q9Y261', 'P20711')"
"('P08588', 'Q96D09')"
"('Q96E40', 'P49903')"
"('A6NM45', 'O95832')"
"('Q9BQD3', 'Q8IYF1')"
"('Q15149', 'P00533')"
"('P80303', 'Q9NZ08')"
"('P62993', 'P04156')"
"('Q9BUB5', 'Q9H814')"
"('P22694', 'Q15759')"
"('Q13242', 'Q07955')"
"('P10827', 'Q92831')"
"('P04626', 'P23458')"
"('Q8ND25', 'Q969T4')"
"('O75461', 'Q96B01')"
"('Q14643', 'Q13555')"
"('P29460', 'Q5VWK5')"
"('P25789', 'P25786')"
"('P25440', 'P68133')"
"('Q9Y272', 'P51817')"
"('P49863', 'P61978')"
"('Q00005', 'P10415')"
"('P06748', 'P62805')"
"('O15230', 'P08648')"
"('O75674', 'Q99816')"
"('O96019', 'Q9Y5K5')"
"('Q7Z7J5', 'Q7L190')"
"('Q14790', 'P50591')"
"('Q13535', 'P49366')"
"('Q13191', 'P06241')"
"('Q12933', 'P27986')"
"('O75626', 'Q9UKM9')"
"('P16402', 'P49916')"
"('P15153', 'Q96F07')"
"('P04275', 'P18564')"
"('O14978', 'Q9NZD8')"
"('Q9NP95', 'Q07890')"
"('Q9UF33', 'Q8N5V2')"
"('Q04637', 'Q8NFH3')"
"('P01106', 'P62987')"
"('Q9UKG9', 'Q01082')"
"('P15170', 'O15392')"
"('Q93074', 'P10827')"
"('Q8IY92', 'Q15942')"
"('Q13569', 'P63165')"
"('P55347', 'P40425')"
"('P10275', 'Q92922')"
"('P55209', 'Q9BTV5')"
"('Q96AP7', 'O75508')"
"('P18077', 'Q9Y4K3')"
"('O95049', 'O95484')"
"('Q13432', 'P01909')"
"('Q13263', 'P23760')"
"('P29350', 'P19022')"
"('P62280', 'P62244')"
"('Q96HP0', 'Q7L0Q8')"
"('Q13191', 'P63010')"
"('P06127', 'P40259')"
"('P55884', 'O15371')"
"('P42679', 'P04629')"
"('P12931', 'P49407')"
"('Q8TBK6', 'Q14562')"
"('Q8TEY7', 'P07550')"
"('P17947', 'P35637')"
"('O95644', 'Q14814')"
"('Q15370', 'Q15345')"
"('P05106', 'Q63HR2')"
"('Q5VST9', 'Q8WZ42')"
"('P63167', 'Q14204')"
"('P31751', 'Q70SY1')"
"('Q4FZB7', 'Q16695')"
"('P32780', 'Q9H7U1')"
"('Q04637', 'O75822')"
"('P15923', 'Q8TE12')"
"('P30466', 'P01732')"
"('P0C0S5', 'Q15906')"
"('O94941', 'P68036')"
"('P17936', 'P05019')"
"('P50151', 'P53779')"
"('Q99613', 'P41567')"
"('Q9Y6W8', 'P42338')"
"('Q9Y3S2', 'Q9H9D4')"
"('P53567', 'P0CAP2')"
"('Q9HBE4', 'Q14765')"
"('Q9NPI1', 'P50453')"
"('Q9UBI6', 'Q08462')"
"('Q8N668', 'Q92830')"
"('P10147', 'P32246')"
"('P63244', 'Q9BRX9')"
"('Q9UKW4', 'P27986')"
"('P02768', 'Q86YC2')"
"('P32298', 'P61073')"
"('Q15424', 'Q96SB4')"
"('Q6STE5', 'P04637')"
