negatives
"('Q9NWB6', 'Q9Y6K9')"
"('P03886', 'O00483')"
"('P17252', 'P01730')"
"('P45974', 'P07237')"
"('P31947', 'Q15149')"
"('P23258', 'P62266')"
"('O14980', 'Q96EN8')"
"('P03372', 'Q9Y3R0')"
"('Q0VDD7', 'Q7L2Z9')"
"('P22736', 'Q14802')"
"('P50579', 'P0C862')"
"('Q01469', 'P26368')"
"('O15360', 'O15111')"
"('P61221', 'P13612')"
"('P01889', 'Q16836')"
"('P42229', 'P23284')"
"('Q9UJ70', 'Q9UGI8')"
"('Q9H0E9', 'Q9Y265')"
"('A8MT69', 'P27694')"
"('Q9NZD8', 'Q96HR9')"
"('Q92839', 'P49736')"
"('P24534', 'Q14164')"
"('Q14999', 'P84103')"
"('O75190', 'O15350')"
"('Q6NUS6', 'Q8IW75')"
"('O60701', 'P41250')"
"('Q13315', 'Q6ZYL4')"
"('Q9BQE3', 'Q13509')"
"('Q5U5Q3', 'P46781')"
"('P52333', 'P55209')"
"('P13804', 'P19838')"
"('P51587', 'Q8IYT4')"
"('Q00005', 'P83731')"
"('P13569', 'Q9P055')"
"('O60684', 'P13716')"
"('P02751', 'Q9Y5A9')"
"('P15822', 'P05062')"
"('Q8IZU0', 'Q15560')"
"('Q8N668', 'Q16665')"
"('P04233', 'P61088')"
"('Q6NZY4', 'O15357')"
"('Q15797', 'P04626')"
"('Q9P0M6', 'O75147')"
"('P25208', 'Q13952')"
"('Q16531', 'Q6R327')"
"('Q93062', 'A5D8V6')"
"('O43711', 'Q69YG0')"
"('Q9NTJ3', 'Q9Y6K9')"
"('Q71F23', 'Q6P1Q9')"
"('Q9NPF7', 'Q01113')"
"('Q6PF05', 'Q9H6Z9')"
"('O15264', 'P18669')"
"('Q8N5N7', 'Q7Z7F7')"
"('Q9BQ89', 'Q9UQC2')"
"('Q9Y5Y3', 'P16333')"
"('O95801', 'O14964')"
"('Q02880', 'O94776')"
"('Q9NPA5', 'P55081')"
"('Q8TBK6', 'Q9NZ81')"
"('P43403', 'P07900')"
"('Q13177', 'Q96CN7')"
"('P12270', 'Q8N1F7')"
"('Q9H4E7', 'Q00587')"
"('Q3SYG4', 'Q8TAM2')"
"('Q8IUD6', 'O75031')"
"('Q8WVC0', 'O14980')"
"('Q8N4C6', 'Q96M89')"
"('P46781', 'P30480')"
"('Q9UHR6', 'Q9Y265')"
"('Q96H55', 'O60237')"
"('Q8WTX9', 'Q9BYR9')"
"('P12931', 'Q9Y2U5')"
"('P42229', 'O14965')"
"('O15400', 'O43819')"
"('Q9H0R8', 'P55084')"
"('Q9H3S7', 'P25788')"
"('Q9Y282', 'Q9NR77')"
"('Q06203', 'Q9UKB1')"
"('O14727', 'P07900')"
"('Q13873', 'P36896')"
"('Q9H9F9', 'Q8NBZ0')"
"('P05412', 'Q13310')"
"('P62979', 'Q07812')"
"('Q08945', 'P01730')"
"('Q6NUS6', 'O94874')"
"('P49720', 'P28065')"
"('P78371', 'P15336')"
"('P14735', 'Q9Y5K5')"
"('Q9Y6G3', 'O43169')"
"('Q04727', 'Q13948')"
"('P02751', 'P42704')"
"('O94905', 'Q8NBM4')"
"('P27348', 'P03372')"
"('O15165', 'Q9H0M0')"
"('P0C0S5', 'Q96DB2')"
"('P35558', 'P46379')"
"('P61956', 'O15265')"
"('Q13535', 'P00533')"
"('P00367', 'O14829')"
"('Q12986', 'P43243')"
"('P68400', 'Q8NE71')"
"('Q9UKD1', 'P78424')"
"('P62891', 'P22626')"
"('P08047', 'P23246')"
"('P10114', 'P42345')"
"('O75147', 'Q9NRG9')"
"('Q6PF06', 'Q92665')"
"('P05412', 'P13807')"
"('Q5T5X7', 'Q9BVS4')"
"('Q86V15', 'Q15562')"
"('O60437', 'O14978')"
"('Q8N653', 'Q96N38')"
"('O43172', 'Q9BZG8')"
"('Q9HBV2', 'Q68DH5')"
"('P51692', 'P06401')"
"('Q3MII6', 'Q9BVN2')"
"('P01566', 'P26951')"
"('P02751', 'Q15084')"
"('O75529', 'P16104')"
"('Q14697', 'Q7Z6Z7')"
"('Q9NRD1', 'P11021')"
"('P11473', 'Q07973')"
"('P04629', 'Q14576')"
"('Q9BYR5', 'Q5TA76')"
"('P56524', 'O75177')"
"('Q9Y421', 'P05067')"
"('P60709', 'B0I1T2')"
"('Q9H492', 'P09211')"
"('Q9Y6D6', 'Q14432')"
"('Q99575', 'O00567')"
"('Q15785', 'Q14103')"
"('O75530', 'Q96GQ7')"
"('Q7Z3Y8', 'A6NFY7')"
"('O14980', 'O75717')"
"('P30084', 'Q9Y6E7')"
"('Q96BK5', 'Q96EZ8')"
"('Q16829', 'O00159')"
"('Q12959', 'P43403')"
"('Q9BW27', 'Q68DA7')"
"('P31274', 'O60711')"
"('Q8IXQ5', 'P63104')"
"('Q9UM11', 'P78527')"
"('Q9UHD9', 'O43852')"
"('Q6PCB5', 'P55039')"
"('P02792', 'P49286')"
"('P04141', 'P32927')"
"('P62993', 'Q08209')"
"('O43683', 'O43684')"
"('P55072', 'Q9NUW8')"
"('P54253', 'Q9UKJ3')"
"('Q9UJ70', 'Q8N205')"
"('Q9NPL8', 'O00217')"
"('Q92890', 'P40222')"
"('P05067', 'Q9HC16')"
"('Q96KQ7', 'O95785')"
"('P26006', 'P60709')"
"('P04632', 'Q96CN7')"
"('O95198', 'P55081')"
"('P22626', 'P20618')"
"('P26038', 'P13796')"
"('Q9ULH1', 'P00519')"
"('P05455', 'Q99496')"
"('Q9Y603', 'P41212')"
"('Q96DB2', 'O00567')"
"('O43678', 'O75306')"
"('Q9UMX9', 'O14556')"
"('Q9UIM3', 'Q14145')"
"('P62241', 'P30153')"
"('Q96I24', 'P18085')"
"('Q9NTI5', 'O95274')"
"('Q16719', 'O15355')"
"('Q8NCE0', 'Q86VP1')"
"('Q15843', 'Q15370')"
"('P13667', 'Q9NRC8')"
"('P25398', 'P62701')"
"('P60411', 'Q5T752')"
"('O43815', 'P04629')"
"('P51813', 'P62834')"
"('Q96FW1', 'P40818')"
"('Q9H7D7', 'Q16718')"
"('Q9NUX5', 'Q8WVJ2')"
"('Q9BY77', 'P05412')"
"('Q9UHB6', 'Q13829')"
"('O43166', 'Q8TC76')"
"('P56524', 'O95751')"
"('P32455', 'P36873')"
"('O00139', 'Q99598')"
"('P42677', 'P20333')"
"('P62140', 'O60359')"
"('Q02156', 'Q92934')"
"('Q12774', 'Q96EW2')"
"('Q99523', 'Q6IN84')"
"('O95402', 'P55199')"
"('P30480', 'P42771')"
"('Q9GZX6', 'Q13261')"
"('O95747', 'P50750')"
"('O15372', 'Q969P0')"
"('Q9NXH9', 'Q9Y6H1')"
"('Q9BV57', 'Q8TDQ7')"
"('Q13895', 'Q9UNX3')"
"('Q9UMS4', 'P26368')"
"('Q9NRD5', 'Q14831')"
"('P49721', 'O00487')"
"('Q9H7C4', 'Q8TEQ6')"
"('P00492', 'P56537')"
"('Q05707', 'Q9BT09')"
"('P82673', 'Q9H9S0')"
"('P46779', 'P83731')"
"('P19838', 'P01569')"
"('P51812', 'Q96RK0')"
"('P12931', 'Q07912')"
"('Q14164', 'P35268')"
"('Q14103', 'O95793')"
"('A8MTZ0', 'Q96RK4')"
"('Q96SQ5', 'Q9H257')"
"('Q9Y2U5', 'Q99683')"
"('Q9BV38', 'Q9UL18')"
"('Q99567', 'Q8WYP5')"
"('P13807', 'O95210')"
"('P08865', 'P03372')"
"('O94864', 'Q9HBJ0')"
"('Q13085', 'P11464')"
"('Q02978', 'Q5S007')"
"('P35249', 'P51858')"
"('P10124', 'P46379')"
"('Q8TAP6', 'P61962')"
"('P06213', 'Q9ULV8')"
"('Q00613', 'P49588')"
"('Q9H3R5', 'Q8TAB5')"
"('O95865', 'O95257')"
"('Q8NAP8', 'Q6PFW1')"
"('P21580', 'Q9Y508')"
"('P47929', 'P03372')"
"('P13612', 'Q05397')"
"('Q9Y2W2', 'P62993')"
"('Q9P270', 'P13674')"
"('O75915', 'P43657')"
"('Q8WYJ6', 'O00560')"
"('P46736', 'P06899')"
"('Q02224', 'P49759')"
"('P22694', 'Q8NGL4')"
"('P12109', 'P04085')"
"('Q9UJV3', 'Q9BVG8')"
"('Q9Y672', 'Q401N2')"
"('P01106', 'Q9UNP4')"
"('Q14839', 'Q9ULU4')"
"('Q96PU5', 'P49427')"
"('P15927', 'Q8IWX8')"
"('P17612', 'Q8NGM8')"
"('Q8WTQ7', 'P61073')"
"('Q08J23', 'P61158')"
"('P42858', 'P50570')"
"('P0C0E4', 'P61289')"
"('Q15059', 'P10275')"
"('Q01860', 'Q9NV79')"
"('Q99590', 'Q9NRC8')"
"('Q96B97', 'O75340')"
"('Q15596', 'P11473')"
"('Q9UJX6', 'P08238')"
"('Q9C0B0', 'O43164')"
"('P63000', 'O95793')"
"('P57086', 'Q8TBC5')"
"('P62993', 'Q15165')"
"('Q15717', 'Q99967')"
"('P57078', 'O75487')"
"('Q9H0U6', 'P05412')"
"('P62987', 'P49207')"
"('Q92915', 'P08069')"
