negatives
"('Q92968', 'O00628')"
"('Q8N1I0', 'Q7L0Q8')"
"('Q9Y2M0', 'Q9HCD5')"
"('O75478', 'Q8N5M4')"
"('Q9Y255', 'O75208')"
"('O14733', 'Q8IWL3')"
"('P00441', 'Q9UBN7')"
"('Q9P2X0', 'Q92734')"
"('P62736', 'P62258')"
"('P47914', 'Q01844')"
"('Q6P1J9', 'P13489')"
"('Q9GZQ8', 'Q92820')"
"('P05412', 'P62424')"
"('Q96G30', 'Q01726')"
"('Q71U36', 'Q8WWY8')"
"('P41229', 'P68431')"
"('Q9BRK4', 'Q9NSB8')"
"('P10644', 'Q7Z6Z7')"
"('Q9NS75', 'O95837')"
"('O60220', 'P32320')"
"('Q9HCK5', 'P11940')"
"('O00487', 'Q9UKV5')"
"('Q96NB2', 'P57078')"
"('O75140', 'Q96IQ9')"
"('Q9Y3M2', 'Q9H8Y8')"
"('P05067', 'Q9HBM6')"
"('Q99714', 'P60660')"
"('Q16667', 'Q9Y6Q9')"
"('Q96HF1', 'Q9Y6F9')"
"('Q8TDN6', 'Q12905')"
"('P25786', 'Q6NZY4')"
"('Q6PKG0', 'O14979')"
"('O95433', 'P51553')"
"('P61964', 'Q9H4Z2')"
"('Q04206', 'Q9UBK2')"
"('O14581', 'Q9P2W3')"
"('P68431', 'P34932')"
"('Q5VWX1', 'Q8NEC5')"
"('P40692', 'Q7Z7L7')"
"('Q9C002', 'P10176')"
"('P60709', 'Q9C0B0')"
"('O75147', 'P58107')"
"('Q13185', 'Q68DK7')"
"('P32121', 'P22626')"
"('P60411', 'Q9NUL5')"
"('Q8TCJ0', 'Q99593')"
"('Q86T24', 'P07585')"
"('P19320', 'Q9NVP1')"
"('P47974', 'Q9Y3M2')"
"('Q09472', 'Q4ZG55')"
"('P25208', 'P48723')"
"('Q9H0W5', 'Q14254')"
"('Q9NRD1', 'P62805')"
"('Q15915', 'Q9NRY6')"
"('Q9BZW7', 'Q9HCK0')"
