negatives
"('P51693', 'Q99547')"
"('O15530', 'Q9H814')"
"('Q96HP0', 'P60763')"
"('P30480', 'P43307')"
"('Q92530', 'P56545')"
"('Q8TEC5', 'P48023')"
"('P62979', 'P15880')"
"('Q7L8J4', 'Q9HAU0')"
"('P21980', 'Q96KM6')"
"('Q96FW1', 'P51965')"
"('Q96KQ7', 'Q9NWK9')"
"('P10276', 'P30281')"
"('O60684', 'Q9NX58')"
"('Q9BZY9', 'Q9Y2X8')"
"('P23458', 'Q8NEB9')"
"('O60504', 'Q6UY14')"
"('P01100', 'P20226')"
"('Q9Y664', 'Q969R8')"
"('P03891', 'O95182')"
"('P23258', 'Q96JB5')"
"('P52292', 'P06454')"
"('Q15287', 'P84103')"
"('P61586', 'Q9Y2K3')"
"('O15530', 'Q15121')"
"('P62875', 'Q9Y535')"
"('O60504', 'Q5T5P2')"
"('Q8N752', 'Q9Y2T1')"
"('P01242', 'P17181')"
"('Q9H171', 'Q9UHX1')"
"('P01571', 'Q99062')"
"('P84095', 'O75116')"
"('O43747', 'Q9UJ41')"
"('P52294', 'Q13573')"
"('P78527', 'Q13263')"
"('Q9H0E2', 'P53805')"
"('Q9UKM9', 'O43379')"
"('P62899', 'P61513')"
"('P62081', 'P62753')"
"('Q15025', 'P28482')"
"('P48739', 'Q14164')"
"('Q8N2W9', 'P46937')"
"('O43741', 'Q9BUM1')"
"('Q68EM7', 'P15153')"
"('P40429', 'Q9UNX3')"
"('Q96N67', 'P20073')"
"('O75563', 'P08631')"
"('P54259', 'O14641')"
"('P52294', 'P00533')"
"('P19012', 'Q9BTA9')"
"('Q9ULH0', 'P46109')"
"('Q13643', 'P28482')"
"('Q96CW1', 'Q14197')"
"('Q96L33', 'Q13153')"
"('Q9UBN7', 'Q9Y263')"
"('P35626', 'Q8NH76')"
"('Q92542', 'Q14126')"
"('Q6DKK2', 'Q7Z699')"
"('Q9UHD2', 'Q9Y4K3')"
"('Q09028', 'Q9H7L9')"
"('Q99459', 'O14733')"
"('P46937', 'Q15796')"
"('Q9Y6H5', 'Q7L5D6')"
"('Q07960', 'P61586')"
"('P09486', 'P02458')"
"('Q9H6L4', 'Q16630')"
"('P17301', 'Q9Y4G6')"
"('P42338', 'P19174')"
"('Q07960', 'Q92730')"
"('Q9H461', 'Q9BXY4')"
"('Q9H7Z6', 'P16220')"
"('Q14155', 'Q14161')"
"('P30304', 'P21127')"
"('O43921', 'P06241')"
"('P23470', 'P42680')"
"('P12931', 'P20248')"
"('P62633', 'Q99729')"
"('P10721', 'Q00610')"
"('P41182', 'Q9BXS1')"
"('O14920', 'P42345')"
"('Q9UK41', 'Q9Y294')"
"('Q9BSF8', 'Q16543')"
"('Q86Y13', 'P62837')"
"('Q9UNL4', 'P04637')"
"('P01106', 'P57775')"
"('Q9UNE7', 'P0CG48')"
"('Q99558', 'P62249')"
"('P63279', 'Q96GF1')"
"('P23527', 'P04908')"
"('P15090', 'Q12873')"
"('P48444', 'Q13573')"
"('O75147', 'Q8WZ42')"
"('Q8IVH8', 'P62979')"
"('Q03113', 'Q92888')"
"('Q04206', 'O75293')"
"('Q92956', 'Q9NYU2')"
"('Q13315', 'Q99661')"
"('P46781', 'P08708')"
"('Q13765', 'Q9UKY1')"
"('P51153', 'Q9HAU4')"
"('P40337', 'P62491')"
"('O43426', 'Q99962')"
"('Q9H0D6', 'P62310')"
"('P10720', 'P32302')"
"('Q9BWF3', 'Q9UKA9')"
"('P04156', 'Q15776')"
"('P04745', 'Q8TBZ2')"
"('Q96CS2', 'P38936')"
"('P84022', 'Q9UBH0')"
"('P62316', 'P54105')"
"('P12111', 'P26010')"
"('P06858', 'Q9H1I8')"
"('Q15750', 'Q96KR7')"
"('P08173', 'P59768')"
"('P08238', 'O00221')"
"('Q16611', 'O95140')"
"('Q96B97', 'O43150')"
"('Q8IZP0', 'Q8N8S7')"
"('O95169', 'P03897')"
"('O14640', 'Q14397')"
"('O00463', 'Q13114')"
"('O76094', 'Q99459')"
"('P63096', 'P08253')"
"('O14512', 'Q13261')"
"('O60832', 'Q03519')"
"('P42766', 'O60739')"
"('P21917', 'P63211')"
"('P27824', 'P05556')"
"('Q12913', 'P19022')"
"('Q15843', 'Q15046')"
"('P46776', 'P62906')"
"('Q5VWP2', 'P63010')"
"('Q9Y600', 'P55055')"
"('O15264', 'P35637')"
"('Q8TAQ2', 'P38936')"
"('P15121', 'P23508')"
"('P84022', 'Q13219')"
"('Q12873', 'Q9BTC8')"
"('O15520', 'P07333')"
"('O96000', 'O00483')"
"('P17706', 'P10912')"
"('O76061', 'O95831')"
"('P08754', 'Q9UBI6')"
"('O43678', 'O43677')"
"('Q4VXU2', 'Q8IYD1')"
"('P62993', 'Q9ULV8')"
"('P41134', 'Q99081')"
"('Q8TAP6', 'Q9Y467')"
"('Q13112', 'P12004')"
"('P67809', 'Q8NFH3')"
"('P55201', 'O95696')"
"('P12931', 'Q9NQ76')"
"('P08575', 'P35222')"
"('Q12884', 'P16860')"
"('P01889', 'O75964')"
"('P08670', 'O95990')"
"('Q9Y6I3', 'P22455')"
"('O75019', 'P08637')"
"('P13073', 'Q07820')"
"('O95996', 'P35222')"
"('P26641', 'P24522')"
"('P04350', 'Q8WVB3')"
"('P28222', 'O60262')"
"('Q8IZI9', 'Q01344')"
"('P45880', 'Q16611')"
"('O15144', 'P12830')"
"('P22681', 'Q99062')"
"('P40227', 'Q13233')"
"('Q92769', 'Q71UI9')"
"('P48039', 'P50148')"
"('P18621', 'P61313')"
"('Q15560', 'P52435')"
"('Q8IXM3', 'Q969Q1')"
"('Q9BRQ0', 'Q6P1J9')"
"('P53004', 'P27361')"
"('P35637', 'Q13242')"
"('P49815', 'P61981')"
"('P01889', 'P69905')"
"('Q8N8S7', 'Q15942')"
"('O43175', 'P01889')"
"('O95870', 'Q96KC8')"
"('P01112', 'P00540')"
"('Q9Y4K3', 'P05455')"
"('P98175', 'Q9UKV8')"
"('P35372', 'P50151')"
"('Q8N752', 'O75581')"
"('P09874', 'P10275')"
"('P05067', 'Q05193')"
"('P21580', 'Q13546')"
"('Q15366', 'Q13573')"
"('Q14164', 'Q13642')"
"('O96019', 'P25490')"
"('P56945', 'P31947')"
"('Q96RQ3', 'Q00005')"
"('P54920', 'O14653')"
"('P13805', 'Q969Q1')"
"('P42768', 'O15144')"
"('P08238', 'P30291')"
"('P62330', 'P25205')"
"('Q8WV44', 'Q92796')"
"('Q96HS1', 'Q15287')"
"('Q14562', 'Q9UHR5')"
"('P28062', 'P10914')"
"('Q96AP0', 'P12956')"
"('P14923', 'P52565')"
"('P41220', 'P14314')"
"('Q05655', 'Q9Y2U5')"
"('P51812', 'P01111')"
"('Q9BUV8', 'Q8N6L1')"
"('Q14213', 'Q99750')"
"('P01889', 'P22309')"
"('P53618', 'Q02156')"
"('Q8TC92', 'Q8TBB1')"
"('Q13017', 'P17081')"
"('Q15714', 'Q15369')"
"('Q15797', 'P46531')"
"('O75417', 'P53680')"
"('Q9H324', 'P20073')"
"('Q14194', 'O95760')"
"('P17947', 'P10153')"
"('Q15788', 'Q15027')"
"('P10275', 'Q8IZL8')"
"('Q13535', 'Q96H79')"
"('P42858', 'P54257')"
"('P49903', 'P21673')"
"('O00499', 'Q8TB24')"
"('P05109', 'Q9BQ83')"
"('P48061', 'P51679')"
"('P10301', 'P00540')"
"('5512', 'Q13263')"
"('Q12905', 'O43147')"
"('Q08380', 'Q04206')"
"('Q15393', 'Q9UJ70')"
"('P22694', 'O14775')"
"('Q9Y265', 'Q9C086')"
"('P05026', 'Q5UIP0')"
"('P84022', 'O95405')"
"('Q9Y6Q6', 'P08637')"
"('O43255', 'Q9H6Z9')"
"('P12956', 'P52294')"
"('Q5JSL3', 'Q07890')"
"('P18146', 'P48145')"
"('Q15654', 'Q12923')"
"('P16035', 'Q9Y617')"
"('P03372', 'P51532')"
"('P62136', 'P06493')"
"('P17302', 'Q9BQE3')"
"('Q9UBC3', 'P23381')"
"('P07900', 'Q9NYJ8')"
"('Q9UJX3', 'P14635')"
"('Q13485', 'Q99466')"
"('Q9P013', 'Q99459')"
"('P25054', 'Q13263')"
"('Q8NFW9', 'Q03135')"
"('P24043', 'Q9UKX5')"
"('P78352', 'P35326')"
"('P11171', 'O60493')"
"('Q9Y6Q9', 'Q6PL18')"
"('P62899', 'P18124')"
"('O43809', 'P08621')"
"('Q9Y2X8', 'Q99496')"
"('Q99608', 'P61619')"
"('P05771', 'Q15361')"
"('Q9NPB6', 'Q05513')"
"('P22612', 'P60510')"
"('Q9NPI8', 'Q0VG06')"
"('P01106', 'P56192')"
"('Q13485', 'Q13643')"
"('P63104', 'P54868')"
"('P11362', 'Q6S5L8')"
"('Q16665', 'Q96CS3')"
"('Q15653', 'O95816')"
"('Q9Y3C8', 'Q9P2G9')"
"('O75582', 'P63104')"
"('P17342', 'P01160')"
"('P05000', 'Q14626')"
"('P51965', 'Q9Y4K3')"
"('Q9NYG5', 'Q16630')"
"('P51884', 'P48023')"
"('Q9UI30', 'P62330')"
"('Q9NWB1', 'Q9UBD0')"
"('P62837', 'Q9P0P0')"
"('Q9UMX0', 'P54727')"
"('Q00839', 'Q00005')"
"('O75815', 'P23526')"
"('P30457', 'Q9Y4L1')"
"('Q15853', 'P61073')"
"('Q16527', 'O75925')"
"('Q13485', 'P17535')"
"('Q9NPD3', 'Q15477')"
"('O95405', 'O75694')"
"('Q96GD4', 'P08670')"
"('Q9NRI5', 'Q9GZN7')"
"('P01106', 'Q9NQG6')"
"('P35227', 'P0CG48')"
"('O75828', 'O00141')"
"('P82279', 'Q15714')"
"('O00217', 'Q86Y39')"
"('P18146', 'Q9H0M4')"
"('P01111', 'Q15759')"
"('Q13315', 'Q6UX07')"
"('O95229', 'Q9H081')"
"('P55055', 'Q15596')"
"('P01889', 'P49915')"
"('P08138', 'P52566')"
"('P27361', 'P05026')"
"('O94913', 'Q16630')"
"('P52746', 'Q16539')"
"('Q9NQ29', 'Q8IWX8')"
"('Q9BPZ7', 'Q92574')"
"('P53007', 'P01106')"
"('P02462', 'P16070')"
"('O15530', 'P27348')"
"('Q13315', 'Q6VY07')"
"('P11177', 'P38936')"
"('P18848', 'P02766')"
"('P06734', 'P17676')"
"('Q96GX9', 'P08670')"
"('O14746', 'Q9BUR4')"
"('Q13616', 'Q4G163')"
"('Q02078', 'Q14934')"
"('P23511', 'O60902')"
"('Q9Y3C0', 'Q96AQ6')"
"('Q9UI26', 'Q9BRC7')"
"('Q9BRC7', 'Q9UI26')"
"('Q4ZIN3', 'Q86WV6')"
"('Q13761', 'Q9NQB0')"
"('Q9BZL1', 'Q9HAZ1')"
"('Q96EV8', 'Q6AI39')"
"('P07814', 'P23508')"
"('Q15796', 'P19793')"
"('P00533', 'P11279')"
"('Q99708', 'O60934')"
"('Q9Y258', 'P51679')"
"('Q9P2R6', 'Q8NBV4')"
"('P42858', 'P16220')"
"('Q9NR31', 'P54253')"
"('Q9NQX3', 'O14764')"
"('P61952', 'P45984')"
"('Q8IXH7', 'P35606')"
"('P18754', 'P62879')"
"('Q15475', 'Q15834')"
"('O00743', 'O15084')"
"('Q5SW96', 'P98164')"
"('Q9H9F9', 'P25490')"
"('Q9HBM0', 'Q9P202')"
"('P06241', 'P26951')"
"('Q06323', 'Q12873')"
"('P41208', 'Q16531')"
"('P17947', 'Q96RE9')"
"('P60763', 'P45984')"
"('Q92985', 'P42224')"
"('Q8NH72', 'P38405')"
"('P38159', 'Q92620')"
"('P23142', 'Q9Y3A3')"
"('O75084', 'O75581')"
"('Q9UJT2', 'P06241')"
"('P49841', 'Q9H7B2')"
"('P60709', 'Q99613')"
"('442917', 'P15692')"
"('P29083', 'Q08117')"
"('Q15717', 'Q9UL18')"
"('Q15653', 'P20226')"
"('P08238', 'Q96P20')"
"('P24158', 'P49913')"
"('Q06546', 'P43629')"
"('Q9UHD1', 'O43809')"
"('Q01094', 'Q96KQ4')"
"('P61978', 'Q8WYA6')"
"('P35070', 'P00533')"
"('P62158', 'P14416')"
"('Q9UN72', 'P00519')"
"('406979', 'P43354')"
"('Q9Y388', 'O75400')"
"('P56703', 'Q9UP38')"
"('O15117', 'Q86WV1')"
"('P63104', 'P81605')"
"('Q8WZA2', 'P62070')"
"('Q96SI1', 'P00797')"
"('P02768', 'P55001')"
"('Q8NGJ8', 'P38405')"
"('O43295', 'P60763')"
"('P61812', 'P35228')"
"('Q04724', 'P50453')"
"('Q15788', 'P11473')"
"('P20908', 'P26010')"
"('P14866', 'Q05519')"
"('O60684', 'P39687')"
"('Q13190', 'Q9UNZ2')"
"('P0CG47', 'Q9NZ52')"
"('P01889', 'P61586')"
"('P78559', 'Q9NRI5')"
"('Q13526', 'Q9Y3Q8')"
"('P12109', 'P07942')"
"('P06241', 'Q14643')"
"('Q8N1C3', 'Q9H0R8')"
"('P18206', 'Q8N5D0')"
"('Q13315', 'Q9Y6D9')"
"('P62877', 'P0C0S5')"
"('Q99880', 'Q93077')"
"('Q16619', 'P31785')"
"('Q96GE4', 'Q9BVW5')"
"('Q14643', 'P06241')"
"('O95467', 'O43306')"
"('Q9NX70', 'Q9H944')"
"('Q92597', 'Q9Y230')"
"('Q92830', 'Q12962')"
"('P62308', 'P62314')"
"('P27816', 'Q96RT1')"
"('O15519', 'Q9UER7')"
"('P24158', 'P18146')"
"('Q13976', 'Q13153')"
"('Q00526', 'Q14186')"
"('Q13485', 'Q12805')"
"('O43294', 'Q05209')"
"('P25391', 'P26012')"
"('Q9Y2D9', 'Q96KQ4')"
"('Q9UNE7', 'Q9NPJ1')"
"('P01241', 'P29401')"
"('Q9UFF9', 'Q14671')"
"('O14544', 'P40763')"
"('P46977', 'Q86WV6')"
"('P28482', 'Q13464')"
"('P40939', 'Q14197')"
"('Q13233', 'O75369')"
"('P43403', 'Q13094')"
"('P04049', 'P15498')"
"('Q9BSJ2', 'A6NHL2')"
"('Q9NZA1', 'P15311')"
"('Q9Y4R7', 'Q86XS8')"
"('P21860', 'Q14451')"
"('Q99459', 'O95347')"
"('P84022', '406957')"
"('Q8TDY2', 'Q8TEV9')"
"('P01106', 'P48643')"
"('P43354', 'P16220')"
"('P04632', 'P13569')"
"('P35609', 'Q9Y2D8')"
"('Q9Y5I7', 'O00501')"
"('P20023', 'P17676')"
"('P02768', 'Q8NHM4')"
"('Q12778', 'P08833')"
"('Q8TAP4', 'Q99750')"
"('P35226', 'Q93009')"
"('P50616', 'Q13485')"
"('Q13905', 'Q9ULV8')"
"('P30613', 'P10275')"
"('P30872', 'Q13424')"
"('Q15843', 'P32969')"
"('P63104', 'Q9Y6R4')"
"('Q92585', 'Q9UBG7')"
"('Q8TAI1', 'Q99750')"
"('Q13113', 'Q9BVJ6')"
"('P08047', 'O76082')"
"('Q96RN5', 'Q9BWU1')"
"('Q96EE3', 'Q14457')"
"('O14763', 'O75626')"
"('P45880', 'P12236')"
"('Q8ND90', 'Q8TEW0')"
"('P10244', 'Q9GZQ8')"
"('P35579', 'P60709')"
"('O15264', 'P42166')"
"('Q99932', 'Q9NRR5')"
"('P24468', 'P15172')"
"('Q16649', 'Q68CJ9')"
"('P05556', 'Q8WYR1')"
"('P60568', 'P19235')"
"('P21796', 'P12532')"
"('P04406', 'Q99877')"
"('Q9P2H0', 'P0CAP1')"
"('Q96T58', 'Q06330')"
"('P42166', 'P20700')"
"('P16220', 'Q01543')"
"('Q9UHX1', 'Q8TCT6')"
"('E7EU14', 'Q99683')"
"('P07437', 'Q8NCM8')"
"('P02768', 'Q9BTX7')"
"('P24539', 'P18859')"
"('O43516', 'P43403')"
"('P62280', 'P62241')"
"('P39019', 'P62244')"
"('Q99959', 'O15198')"
"('Q12873', 'Q9UHX1')"
"('P04637', 'Q15672')"
"('O15234', 'O95793')"
"('O00232', 'O00233')"
"('P31948', 'P53041')"
"('P54619', 'P46527')"
"('P54253', 'Q15800')"
"('O15198', 'Q99959')"
"('Q07955', 'P35637')"
"('Q14240', 'Q8TE73')"
"('P51946', 'P06493')"
"('P21673', 'P04637')"
"('Q99459', 'Q6P3W7')"
"('Q5T3J3', 'P55769')"
"('P46781', 'P23396')"
"('Q9ULK5', 'P05129')"
"('O60573', 'Q9Y4K3')"
"('P23921', 'Q9H1Y0')"
"('P31150', 'Q9NRR5')"
"('P00533', 'P63010')"
"('O15111', 'P63261')"
"('P29400', 'P38936')"
"('P02751', 'P23229')"
"('Q15843', 'Q02878')"
"('Q06190', 'Q96Q15')"
"('Q99836', 'P34931')"
"('Q9UHY1', 'Q9Y3Q8')"
"('Q13191', 'O00459')"
"('Q02878', 'P62888')"
"('Q01968', 'Q9H0U4')"
"('P10721', 'P42224')"
"('Q99877', 'Q93077')"
"('P07948', 'P19174')"
"('P01889', 'P09661')"
"('Q13315', 'P27348')"
"('Q93063', 'Q16637')"
"('Q9NTJ3', 'Q99459')"
"('Q99616', 'P46092')"
"('P26368', 'Q9NXG2')"
"('Q9P0V3', 'P05549')"
"('Q09472', 'P01375')"
"('P02458', 'O75578')"
"('O14641', 'P35813')"
"('O00167', 'P04899')"
"('Q00987', 'P55000')"
"('Q92993', 'Q9Y230')"
"('Q9UKW4', 'P52735')"
"('P24723', 'P62993')"
"('Q9NQB0', 'Q15561')"
"('P24666', 'Q9UHJ3')"
"('Q15714', 'P08670')"
"('Q9BPY3', 'Q15047')"
"('Q13535', 'Q12905')"
"('P62714', 'P43360')"
"('P60709', 'Q99572')"
"('P13569', 'Q14669')"
"('P33176', 'P25054')"
"('Q99836', 'Q8WWM7')"
"('Q15287', 'Q9BU76')"
"('P04141', 'P40238')"
"('P12980', 'O95997')"
"('Q9BYB0', 'P06241')"
"('P63000', 'P05109')"
"('Q13952', 'Q9NZM4')"
"('Q9GZP0', 'P22607')"
"('Q9P2R6', 'Q8IYM9')"
"('P43686', 'P28566')"
"('O75159', 'P40763')"
"('Q9Y3E7', 'P52735')"
"('O94832', 'P60510')"
"('Q15366', 'Q10570')"
"('Q14562', 'P55081')"
"('Q96MT8', 'Q14094')"
"('P43308', 'Q86WV6')"
"('P18146', 'Q8IZD2')"
"('P28324', 'P20226')"
"('Q9Y295', 'Q9H446')"
"('Q9BRR9', 'P52198')"
"('Q93009', 'O60437')"
"('O95257', 'P51681')"
"('Q92956', 'Q13077')"
"('P20936', 'P07332')"
"('P12956', 'Q00839')"
"('P46531', 'P49841')"
"('Q14934', 'P27348')"
"('P68371', 'O43237')"
"('P61978', 'Q9UKM9')"
"('Q15596', 'P22736')"
"('P25205', 'P33993')"
"('Q9H1J5', 'O75197')"
"('Q13485', 'Q13501')"
"('O95467', 'Q9P2W3')"
"('Q9UJX2', 'Q99638')"
"('Q15910', 'Q9UBC3')"
"('P25490', 'Q09472')"
"('P49643', 'Q14181')"
"('Q01105', 'P04406')"
"('P13612', 'Q07889')"
"('P14598', 'Q05513')"
"('Q13415', 'Q13309')"
"('Q9UBX3', 'P63167')"
"('Q9BTP7', 'O15287')"
"('P09871', 'P06681')"
"('O60496', 'O75832')"
"('Q9UQM7', 'Q9UKV0')"
"('Q13315', 'Q9Y248')"
"('P62873', 'P45983')"
"('Q9UM73', 'P42336')"
"('Q12913', 'P04629')"
"('Q9UKV8', 'P35232')"
"('P30049', 'Q9H1Y0')"
"('P0C5Z0', 'Q9UBN7')"
"('Q9BQ67', 'Q96DI7')"
"('P20936', 'Q9UM73')"
"('P18564', 'P56539')"
"('P04198', 'P42771')"
"('P38398', 'Q13547')"
"('P24928', 'Q86UL8')"
"('P40429', 'P46778')"
"('P82279', 'Q8NI35')"
"('Q13315', 'P11940')"
"('Q15291', 'Q9HCK8')"
"('Q92796', 'Q502X0')"
"('Q14191', 'P13010')"
"('Q8NDC0', 'Q96PV6')"
"('P63173', 'Q9Y4K3')"
"('P42766', 'P62906')"
"('O14717', 'Q16623')"
"('O95433', 'Q8TD31')"
"('A6NHL2', 'O43237')"
"('Q13435', 'P62310')"
"('Q13287', 'Q9HCU9')"
"('Q9UJU6', 'Q8TDY2')"
"('Q00013', 'O43147')"
"('O14920', 'P46940')"
"('Q8WZA2', 'Q92736')"
"('Q99576', 'O60244')"
"('P04183', 'P26373')"
"('P36941', 'O15111')"
"('Q9P0Z9', 'Q9ULJ1')"
"('P54792', 'Q05397')"
"('P21333', 'P08514')"
"('P23470', 'Q15118')"
"('P20248', 'Q96EV8')"
"('P47736', 'P63104')"
"('P08754', 'P27361')"
"('Q9NSB8', 'Q9Y566')"
"('Q16602', 'O60894')"
"('Q9UKE5', 'P04179')"
"('Q06124', 'Q16620')"
"('P62136', 'P40763')"
"('Q9BYD1', 'Q9Y4K3')"
"('O95848', 'Q9Y6X8')"
"('Q8WWI1', 'P50402')"
"('P19525', 'Q8N5Z5')"
"('Q13523', 'A0JLT2')"
"('O00459', 'P49418')"
"('Q92466', 'Q09472')"
"('B5ME96', 'P12314')"
"('P78314', 'P02787')"
"('Q04206', 'P50991')"
"('Q93084', 'P30457')"
"('P68400', 'P14316')"
"('Q13237', 'O96001')"
"('Q8IXH7', 'Q9NX55')"
"('P52948', 'Q96EE3')"
"('P0CG48', 'P49459')"
"('Q13094', 'P62834')"
"('P22309', 'Q14164')"
"('Q9Y3I1', 'Q13616')"
"('Q9NRA0', 'Q92769')"
"('O76094', 'Q96BK5')"
"('O43292', 'Q96S52')"
"('Q9Y2F9', 'Q9ULL4')"
"('Q12766', 'P11802')"
"('P78545', 'Q9Y266')"
"('Q14103', 'Q07021')"
"('P17066', 'Q99558')"
"('Q16891', 'Q9NRI5')"
"('P49257', 'Q9Y5X1')"
"('Q13573', 'Q7Z5K2')"
"('Q9Y230', 'Q9C086')"
"('O15379', 'Q7L2E3')"
"('Q9Y2T4', 'Q9UBN1')"
"('P05000', 'P08887')"
"('Q9UKE5', 'P16333')"
"('Q9NUQ8', 'O14645')"
"('Q08209', 'Q9UM13')"
"('O14543', 'P26951')"
"('P54136', 'P01889')"
"('P01889', 'Q9UL25')"
"('P20333', 'P38646')"
"('O15350', 'Q9H3D4')"
"('Q15287', 'Q9H307')"
"('P21333', 'P00519')"
"('Q9H9S4', 'Q7RTN6')"
"('O60244', 'O43513')"
"('Q9UK08', 'Q92569')"
"('P68543', 'Q9H814')"
"('O95405', 'Q04637')"
"('P62875', 'Q9NVU0')"
"('P62258', 'Q04917')"
"('P55212', 'P10809')"
"('Q8WY91', 'Q9Y3A3')"
"('Q9BY27', 'O60858')"
"('Q99729', 'Q9H3D4')"
"('P62993', 'Q9P0K7')"
"('P49715', 'P49716')"
"('P12931', 'O94887')"
"('P22607', 'P05060')"
"('P19338', 'P31949')"
"('P31644', 'Q9NQX3')"
"('Q15796', 'Q12955')"
"('P61313', 'P62913')"
"('Q13064', 'Q9Y2X8')"
"('P68366', 'Q8IUQ4')"
"('P23508', 'Q9UNM6')"
"('P22607', 'P22681')"
"('P62847', 'P62244')"
"('P32121', 'P25098')"
"('Q5RL73', 'Q9UN74')"
"('P04628', 'P09544')"
"('O60508', 'Q14103')"
"('P01111', 'P53779')"
"('P63167', 'O75363')"
"('P21810', 'P01375')"
"('P62258', 'P22626')"
"('Q13535', 'O14757')"
"('Q9NZN5', 'Q8IXI1')"
"('O43295', 'Q92730')"
"('Q13571', 'P62987')"
"('P20333', 'P62263')"
"('P18206', 'Q15233')"
"('Q99459', 'P62318')"
"('P21731', 'P50148')"
"('Q99961', 'P22455')"
"('P62834', 'O94887')"
"('P10721', 'Q8WYR1')"
"('P01106', 'P28340')"
"('O14490', 'Q96FJ2')"
"('Q9BZF9', 'Q9NYQ7')"
"('Q9H2G4', 'Q5VTD9')"
"('P39748', 'P24941')"
"('Q9NPP4', 'P62195')"
"('Q13546', 'P08238')"
"('P10242', 'P14316')"
"('O14610', 'Q01970')"
"('Q86YM7', 'Q92569')"
"('Q8NEB9', 'P10415')"
"('P53992', 'Q9NQW1')"
"('P22460', 'Q96RT1')"
"('O75376', 'P10276')"
"('P53667', 'P63104')"
"('P24522', 'P26641')"
"('P51654', 'O00755')"
"('Q13263', 'Q9GZX5')"
"('Q13200', 'Q12933')"
"('P08047', 'P48506')"
"('Q9P1Z2', 'Q9NQB0')"
"('O95405', 'P14923')"
"('Q96J02', 'P08069')"
"('Q9P0U4', 'Q16778')"
"('P98172', 'O14640')"
"('Q9BZL6', 'Q03001')"
"('P62987', 'P61353')"
"('P16144', 'P60709')"
"('Q9UFF9', 'Q8WYP3')"
"('Q13137', 'Q14296')"
"('P50151', 'P63096')"
"('O43915', 'P07333')"
"('Q99459', 'P49368')"
"('P40763', 'Q99062')"
"('P63010', 'P62316')"
"('Q9UJX2', 'Q13042')"
"('A6NIT4', 'P14784')"
"('Q16514', 'P01106')"
"('O60739', 'P16152')"
"('Q13094', 'P12314')"
"('P31749', 'P41279')"
"('Q96GM8', 'P51693')"
"('O75694', 'P40337')"
"('P40763', 'P26358')"
"('P27348', 'P78314')"
"('Q9Y272', 'P63218')"
"('Q5UIP0', 'Q03013')"
"('P01127', 'P09486')"
"('Q05209', 'O60674')"
"('P04637', 'Q6STE5')"
"('P33992', 'O43913')"
"('P21554', 'P62873')"
"('Q15008', 'Q99460')"
"('P63000', 'Q13233')"
"('O43251', 'Q9NW64')"
"('O75663', 'Q8IY92')"
"('Q92988', 'P19174')"
"('Q08050', 'P30304')"
"('P54709', 'O75365')"
"('Q14566', 'P25205')"
"('Q07955', 'Q86V81')"
"('Q59H18', 'P55084')"
"('Q9UQK1', 'Q96SB3')"
"('O15162', 'Q8N9N2')"
"('Q9BZS1', 'O95644')"
"('P53675', 'Q9NZN4')"
"('P31947', 'Q9BPZ7')"
"('P17252', 'Q9H492')"
"('Q7Z6G8', 'P43364')"
"('P51617', 'Q8NG27')"
"('Q99750', 'O15015')"
"('O15239', 'Q9P0J0')"
"('P51636', 'P26010')"
"('Q14832', 'P04899')"
"('P27694', 'Q9UNS1')"
"('P00533', 'P62158')"
"('P01106', 'Q13519')"
"('Q9P2R6', 'Q15654')"
"('Q16254', 'P16118')"
"('P21673', 'Q9ULA0')"
"('Q00005', 'P40227')"
"('Q15796', 'Q96MY7')"
"('O75578', 'Q9Y490')"
"('O75159', 'P42701')"
"('Q9NPI6', 'P26196')"
"('P50148', 'P0C869')"
"('Q14957', 'O43497')"
"('P49770', 'Q9NR50')"
"('P36544', 'P05067')"
"('P08729', 'P12004')"
"('Q13972', 'P04637')"
"('Q96ED9', 'Q9H4K1')"
"('P49427', 'P68400')"
"('P62136', 'O75807')"
"('P05386', 'P60709')"
"('P35637', 'Q08211')"
"('P46531', 'Q8IZL2')"
"('Q8N448', 'P63279')"
"('P27635', 'P62891')"
"('Q9GZR7', 'P08238')"
"('Q9UKV8', 'Q7RTS6')"
"('Q96DB2', 'P06899')"
"('O00206', 'P16671')"
"('O95166', 'Q96RU3')"
"('O14920', 'O60477')"
"('Q9NYJ8', 'P62829')"
"('P27482', 'P01111')"
"('Q9P2R6', 'Q99504')"
"('P26038', 'P01889')"
"('P12107', 'P26010')"
"('P46776', 'P61313')"
"('Q92633', 'Q9UBI6')"
"('P63279', 'O60739')"
"('Q13112', 'P51679')"
"('P49674', 'P46937')"
"('P33240', 'Q9H063')"
"('P08238', 'Q15628')"
"('P35606', 'P23508')"
"('Q86V81', 'Q9BZI7')"
"('Q92918', 'P46108')"
"('P02458', 'P05556')"
"('P04183', 'P02675')"
"('Q13352', 'P35609')"
"('Q13131', 'Q16875')"
"('Q9NP98', 'P12814')"
"('O00231', 'Q16401')"
"('P14859', 'Q14653')"
"('Q9UKE5', 'Q96AG4')"
"('Q9H1R2', 'Q9H2G2')"
"('Q9BWM7', 'P13569')"
"('P32121', 'Q8NGG7')"
"('Q05397', 'Q9H6S3')"
"('Q15418', 'P54252')"
"('Q9H2G2', 'O43516')"
"('Q13114', 'Q13077')"
