negatives
"('Q9Y6K9', 'Q9NQC7')"
"('P46108', 'Q7Z408')"
"('Q6P2C8', 'P19793')"
"('Q01082', 'Q9Y572')"
"('P04083', 'Q04206')"
"('Q99436', 'P49720')"
"('Q5VYV7', 'Q9H0R8')"
"('Q9UQL6', 'O60566')"
"('Q15365', 'P84103')"
"('P33981', 'Q9NYJ8')"
"('Q9NUX5', 'Q15554')"
"('P02768', 'Q12791')"
"('Q13485', 'Q13795')"
"('P63244', 'Q96QB1')"
"('Q8IVH8', 'P62987')"
"('P14868', 'Q92569')"
"('Q01105', 'P68400')"
"('Q01105', 'P26583')"
"('Q92560', 'Q969T4')"
"('Q04206', 'O15226')"
"('Q96EF0', 'Q96QG7')"
"('O00487', 'Q9BRP4')"
"('Q16666', 'P10275')"
"('Q9Y2V7', 'Q14919')"
"('O00222', 'Q9UK08')"
"('P31942', 'Q92993')"
"('P20936', 'O14965')"
"('P61513', 'P61927')"
"('Q86WJ1', 'P16104')"
"('Q96L73', 'P68431')"
"('Q96IZ7', 'Q9BVJ6')"
"('P06400', 'P29590')"
"('P17612', 'O14775')"
"('Q8IX12', 'P52597')"
"('Q92831', 'P19174')"
"('Q9H981', 'Q9Y5K5')"
"('P14780', 'P17535')"
"('P09471', 'P61421')"
"('Q9Y678', 'P53618')"
"('Q13185', 'P29590')"
"('O14508', 'Q14765')"
"('Q04917', 'P48729')"
"('Q13242', 'Q8IYB3')"
"('Q01201', 'P46782')"
"('P16591', 'P04626')"
"('O95793', 'P62241')"
"('O43707', 'P42224')"
"('P08572', 'P16144')"
"('Q70EL1', 'Q96CF2')"
"('Q9BTT4', 'P24863')"
"('Q13315', 'Q49MG5')"
"('P50151', 'P48544')"
"('P55735', 'Q15436')"
"('P26373', 'P62899')"
"('Q8WWQ0', 'Q13509')"
"('Q9Y4K3', 'Q9BVA1')"
"('Q16659', 'O43524')"
"('Q9Y2Q3', 'Q9BQ75')"
"('Q96QU8', 'P37198')"
"('P31946', 'P21580')"
"('Q9BYX4', 'O94817')"
"('O60269', 'Q9BQ66')"
"('Q9NR50', 'Q13144')"
"('P11229', 'Q96D09')"
"('P21741', 'P31431')"
"('Q9NRG1', 'P51692')"
"('A6NK59', 'Q03164')"
"('O00238', 'Q96D21')"
"('Q9BRV8', 'Q9Y3A3')"
"('P61077', 'Q6ZNA4')"
"('Q13501', 'P61764')"
"('Q9BXW9', 'P51587')"
"('P21333', 'P63104')"
"('Q16637', 'P04406')"
"('442898', 'Q99835')"
"('P41240', 'P08575')"
"('Q96Q83', 'Q9Y265')"
"('Q9Y3U8', 'O43353')"
"('P54578', 'Q08209')"
"('O60925', 'Q12766')"
"('Q9H1Y0', 'P36543')"
"('P50750', 'P17542')"
"('Q9H204', 'Q96PU5')"
"('Q9UM73', 'Q8WXD9')"
"('Q8IZ69', 'P05026')"
"('P13942', 'Q05397')"
"('Q9UNI6', 'P21246')"
"('P25391', 'P08648')"
"('P06239', 'Q05209')"
"('P23508', 'P00492')"
"('Q6ZRI6', 'P05386')"
"('Q15287', 'P61981')"
"('P17301', 'O43707')"
"('P53618', 'Q9NTJ5')"
"('P01023', 'Q07954')"
"('Q08043', 'P26010')"
"('Q13573', 'P35637')"
"('Q9BRX2', 'Q3ZCQ8')"
"('Q9NX02', 'Q9Y2Z0')"
"('P01106', 'P61077')"
"('P05230', 'P00533')"
"('O95685', 'P62140')"
"('Q9Y2Q3', 'Q6P996')"
"('P41235', 'P11473')"
"('Q69YQ0', 'P25054')"
"('P20749', 'Q92793')"
"('P67775', 'P23443')"
"('P30480', 'P20700')"
"('Q96G01', 'Q13561')"
"('Q6I9Y2', 'Q12873')"
"('P47898', 'P08754')"
"('P51991', 'O43353')"
"('O14920', 'Q13489')"
"('P52945', 'Q96RG2')"
"('Q16637', 'Q9Y600')"
"('P08648', 'Q14315')"
"('Q15029', 'Q15427')"
"('Q9BSB4', 'Q8TDY2')"
"('P46060', 'Q99666')"
"('Q9Y5K5', 'P54578')"
"('P30793', 'O60684')"
"('Q9H7J1', 'P54840')"
"('P51816', 'P62993')"
"('Q13424', 'Q9Y2T3')"
"('P27540', 'P05121')"
"('Q9NW38', 'Q14469')"
"('P28482', 'P30556')"
"('Q9BW11', 'P43364')"
"('Q9BYH8', 'P80188')"
"('Q9BT40', 'P20073')"
"('Q9Y230', 'Q9GZN1')"
"('P13232', 'P08887')"
"('P28482', 'P19838')"
"('P43146', 'P20042')"
"('Q9GZX6', 'P32927')"
"('Q8NGI7', 'P38405')"
"('P43403', 'P00533')"
"('P06241', 'Q9NQ76')"
"('P63261', 'Q99558')"
"('O15379', 'Q8N257')"
"('P62837', 'Q96A37')"
"('Q92966', 'Q13487')"
"('Q14197', 'P31930')"
"('O94805', 'P20073')"
"('P12268', 'Q14164')"
"('2310', 'P84022')"
"('P63165', 'Q9UIS9')"
"('P19878', 'Q15080')"
"('P51817', 'Q7Z2W7')"
"('Q16254', 'O14777')"
"('P49716', 'Q9UNL4')"
"('P30086', 'O15111')"
"('Q9NPI1', 'O14503')"
"('Q01780', 'Q13573')"
"('P15248', 'Q01344')"
