negatives
"('Q7L5N1', 'Q13616')"
"('Q8NFD5', 'Q96GM5')"
"('P62891', 'P62829')"
"('Q15276', 'P61020')"
"('P24043', 'P16144')"
"('P14314', 'Q05513')"
"('Q14938', 'P18146')"
"('P05388', 'P62917')"
"('O14920', 'Q8TEL6')"
"('P43080', 'Q02846')"
"('O60291', 'P51965')"
"('P30968', 'Q02410')"
"('P61081', 'Q13573')"
"('P54652', 'Q12933')"
"('406933', 'Q92560')"
"('Q00535', 'Q13315')"
"('Q14344', 'Q3MJ16')"
"('Q01196', 'P10147')"
"('Q8IUH3', 'Q13573')"
"('P15884', 'O60682')"
"('P63096', 'P01116')"
"('P43405', 'P62993')"
"('Q14790', 'Q13418')"
"('O75643', 'P58753')"
"('Q13976', 'P04049')"
"('O60241', 'Q06546')"
"('P68431', 'Q8WXX5')"
"('Q9ULM3', 'O75528')"
"('Q06609', 'O60684')"
"('P10321', 'P26717')"
"('Q92993', 'P51636')"
"('Q02218', 'O15162')"
"('Q13432', 'O00231')"
"('O95832', 'Q96AP7')"
"('P19174', 'O43918')"
"('O43921', 'P20936')"
"('O00175', 'P51685')"
"('Q9UQM7', 'Q13698')"
"('P17612', 'Q6IN85')"
"('P19793', 'P55345')"
"('P62805', 'Q71DI3')"
"('Q07020', 'P63173')"
"('P05067', 'P98160')"
"('Q9H1C0', 'Q8WYR1')"
"('P22612', 'O14775')"
"('P25054', 'O14641')"
"('Q14527', 'O75554')"
"('Q9H1Y0', 'P30049')"
"('O60684', 'P04040')"
"('Q9Y5B9', 'P06899')"
"('P19022', 'O60716')"
"('Q7Z419', 'Q9NPD8')"
"('P40939', 'Q14197')"
"('Q96B26', 'O95059')"
"('O60508', 'Q9BUJ2')"
"('Q15834', 'Q9Y3A3')"
"('P78345', 'O95707')"
"('O00635', 'Q13546')"
"('P25054', 'O15020')"
"('Q9UK41', 'O95166')"
"('P17947', 'P41182')"
"('P32969', 'P61313')"
"('P46776', 'P05388')"
"('P62834', 'P15056')"
"('O00400', 'Q9P1U0')"
"('O43353', 'Q13748')"
"('P46527', 'P11142')"
"('Q92609', 'P50607')"
"('406935', 'Q9Y6K1')"
"('P24941', 'Q15843')"
"('P42566', 'P21802')"
"('Q13489', 'P62258')"
"('Q00005', 'Q14974')"
"('P62987', 'P46776')"
"('O75478', 'Q9H8E8')"
"('Q9UPR3', 'Q15173')"
"('Q16619', 'P17181')"
"('Q00987', 'Q86V86')"
"('Q93034', 'Q9Y576')"
"('Q9UHD0', 'Q9UHF4')"
"('P27658', 'P49023')"
"('Q03164', 'Q9H7Z6')"
"('P25490', 'P49407')"
"('P62266', 'P62857')"
"('P52272', 'Q9UBN6')"
"('Q13158', 'Q9H1Y0')"
"('Q07157', 'P13645')"
"('Q9H7J1', 'P46019')"
"('P27695', 'O95989')"
"('P29033', 'Q03135')"
"('P04626', 'Q7KZ85')"
"('P62899', 'P62910')"
"('O00459', 'Q92730')"
"('Q00013', 'Q9NYL2')"
"('P35372', 'O95467')"
"('P27540', 'Q9Y2N7')"
"('Q9Y5X2', 'P00519')"
"('P04183', 'P43246')"
"('Q15907', 'Q9BXF6')"
"('Q71UM5', 'Q13233')"
"('P55084', 'Q13233')"
"('P15056', 'P04049')"
"('Q15052', 'P36897')"
"('Q496Y0', 'Q9HCE7')"
"('O75051', 'Q8WUM4')"
"('Q969Y2', 'Q14164')"
"('P61927', 'P61313')"
"('O43524', 'P04040')"
"('Q9UHH9', 'O15162')"
"('P56705', 'P41221')"
"('P61081', 'Q99459')"
"('Q9H1A4', 'Q12834')"
"('Q9BVW5', 'Q9Y248')"
"('Q9H4E5', 'O00238')"
"('P35568', 'P48736')"
"('P15976', 'Q01543')"
"('P01236', 'P26992')"
"('P10914', 'P61073')"
"('Q16665', 'P10600')"
"('O75376', 'P29590')"
"('P62241', 'Q00653')"
