negatives
"('Q9Y2X8', 'Q8N5U6')"
"('Q8WUD6', 'Q9UBX7')"
"('Q2NL67', 'Q9GZZ9')"
"('Q00653', 'Q92731')"
"('P61978', 'Q9H4L7')"
"('P23284', 'P42229')"
"('O43639', 'P60763')"
"('Q96RL1', 'Q9NZM5')"
"('Q7L2J0', 'Q01105')"
"('P09016', 'Q09472')"
"('P04554', 'P60409')"
"('Q8N5N7', 'Q9BYC9')"
"('Q8WTP8', 'Q13422')"
"('P22695', 'P25705')"
"('Q8IYE1', 'O43298')"
"('P12829', 'P02768')"
"('P40313', 'Q9UL46')"
"('Q8IWL3', 'O15498')"
"('Q13009', 'Q5TCZ1')"
"('Q9ULW8', 'Q96GM5')"
"('Q96M94', 'Q63HR2')"
"('Q9Y462', 'Q9UPP1')"
"('O43172', 'P13489')"
"('Q9BQE5', 'Q00887')"
"('P42263', 'P33176')"
"('Q15554', 'Q93008')"
"('Q8IYF3', 'Q5TAP6')"
"('Q15276', 'O43395')"
"('P62873', 'Q8WYR1')"
"('Q9P286', 'P15153')"
"('Q9UGI8', 'Q9NVZ3')"
"('P36941', 'Q6ZSZ5')"
"('Q9NRC8', 'O00159')"
"('P52434', 'Q9NVR2')"
"('O76071', 'Q14527')"
"('Q96PZ0', 'O95757')"
"('Q9H4B7', 'Q8IUF1')"
"('Q15173', 'O60359')"
"('Q14241', 'Q9H7Z6')"
"('P43686', 'P51665')"
"('P62753', 'P62241')"
"('O60885', 'Q15717')"
"('Q16740', 'P01889')"
"('P48634', 'P04637')"
"('P19012', 'P35900')"
"('Q9Y5J7', 'P62072')"
"('A6NKD9', 'O95749')"
"('O15379', 'Q6UB99')"
"('P24385', 'Q9UII4')"
"('P84022', 'Q14192')"
"('P40763', 'P06239')"
"('Q00987', 'P10515')"
"('P04629', 'Q13107')"
"('P62873', 'P63218')"
"('P13637', 'Q9BXB1')"
"('P0DMS8', 'P63104')"
"('Q15834', 'Q9BRJ6')"
"('P06899', 'P56524')"
"('Q9HBE1', 'P41182')"
"('P07384', 'Q9P287')"
"('Q9NPL8', 'O96000')"
"('Q9HAW0', 'Q6P3X3')"
"('Q96B97', 'P50454')"
"('P08238', 'Q15349')"
"('Q9H009', 'P63220')"
"('P59046', 'Q99614')"
"('O95433', 'Q9HB07')"
"('Q13428', 'Q9Y2X3')"
"('Q9H4L4', 'Q13616')"
"('P19525', 'P05455')"
"('O14879', 'P10632')"
"('O14965', 'P55290')"
"('Q9H1I8', 'Q15650')"
"('Q9NQC7', 'P01375')"
"('Q92624', 'Q05952')"
"('Q96IP4', 'O95084')"
"('P28070', 'Q9P2I0')"
"('Q71U36', 'Q8IYT4')"
"('P22694', 'Q01668')"
"('Q8TEA8', 'O00754')"
"('Q9NWU5', 'Q92796')"
"('Q8TAX0', 'Q9UET6')"
"('P17275', 'P35354')"
"('P99999', 'P13612')"
"('P62244', 'P25705')"
"('Q5VUJ6', 'Q9H6Z9')"
"('P46100', 'Q13185')"
"('P38919', 'Q07020')"
"('Q9H2P0', 'O43638')"
"('P23396', 'Q9BQG0')"
"('P62140', 'Q9Y6K9')"
"('O43324', 'P05412')"
"('P06493', 'Q9UPU5')"
"('Q96CS2', 'Q9NVK5')"
"('Q14209', 'Q14161')"
"('Q96A73', 'Q14683')"
"('O60341', 'O43463')"
"('P52272', 'P62280')"
"('P53621', 'P49286')"
"('Q9BZ95', 'P68431')"
"('P59991', 'Q86YT5')"
"('Q6A162', 'P55064')"
"('Q7Z6J9', 'P67870')"
"('P32320', 'Q04446')"
"('P25791', 'Q13643')"
"('Q969V3', 'Q6NUS6')"
"('Q9BY77', 'Q14999')"
"('Q5XUX0', 'Q32NC0')"
"('Q15154', 'Q15051')"
"('P81877', 'A5D8T8')"
"('P37837', 'O75191')"
"('O14980', 'P13639')"
"('Q15154', 'Q9BXW4')"
"('P25054', 'Q8IVI9')"
"('Q92831', 'Q04206')"
"('Q9BRK4', 'Q6UB99')"
"('Q99933', 'P59998')"
"('Q6NSJ2', 'Q96P16')"
"('O75901', 'Q96KQ4')"
"('Q8NFW8', 'P68431')"
"('P20674', 'Q13283')"
"('O14732', 'P36969')"
"('P34932', 'P07332')"
"('Q9Y3E0', 'Q93050')"
"('P49674', 'O95758')"
"('Q92567', 'Q15025')"
"('O75376', 'P20339')"
"('Q99814', 'P25054')"
"('Q92796', 'P62807')"
"('P19623', 'P61221')"
"('Q9NYK5', 'Q5VT66')"
"('Q9P2E3', 'Q96KG7')"
"('Q16531', 'P61964')"
"('O95251', 'Q16666')"
"('O43795', 'P08047')"
"('Q8N4C6', 'Q6F5E8')"
"('Q9H0R8', 'P40939')"
"('Q92997', 'P19544')"
"('Q8IZ52', 'Q9Y297')"
"('Q93009', 'P08709')"
"('P20823', 'Q16629')"
"('P06748', 'P23458')"
"('P40227', 'Q13547')"
"('P36406', 'Q14657')"
"('Q96JC9', 'Q9NQ29')"
"('Q9NRC8', 'Q9BTC0')"
"('P54105', 'P62306')"
"('P19012', 'Q9NZD8')"
"('Q13472', 'P27694')"
"('Q16659', 'Q16643')"
"('P27540', 'Q01201')"
"('P59990', 'Q9BYR2')"
"('O43186', 'Q2TAL8')"
"('P62979', 'Q9H0F6')"
"('P80723', 'P08670')"
"('P28702', 'Q9HB07')"
"('O00410', 'P06748')"
"('Q9HCC9', 'P00533')"
