negatives
"('Q3SY69', 'Q9Y2Z0')"
"('P19320', 'P55769')"
"('Q9H8W4', 'Q86UW9')"
"('O75947', 'P07550')"
"('Q6VB84', 'Q5H9J7')"
"('Q9BQ52', 'Q9H4L4')"
"('Q8N5H7', 'P00533')"
"('Q9NY56', 'P12110')"
"('Q15642', 'Q9HCE7')"
"('Q8NB15', 'P61371')"
"('P35580', 'Q96A32')"
"('Q03111', 'Q8N7H5')"
"('Q92569', 'Q9Y483')"
"('Q9NRD1', 'Q00610')"
"('Q86X19', 'Q8IYB1')"
"('Q96L21', 'Q07020')"
"('Q9NYQ7', 'P00519')"
"('Q9UKV8', 'P09651')"
"('Q9BVW5', 'Q9UNS1')"
"('P08708', 'Q07020')"
"('P54687', 'Q9Y3I1')"
"('Q86UE4', 'Q7KZF4')"
"('Q9GZP4', 'P49356')"
"('Q9NRD1', 'O75477')"
"('P21266', 'Q9ULW0')"
"('P59768', 'O14827')"
"('Q8N9T8', 'Q00839')"
"('Q13972', 'P61586')"
"('Q9NPC6', 'Q13064')"
"('P52597', 'P17844')"
"('O14639', 'P61221')"
"('O43638', 'Q96DV4')"
"('P58012', 'P84022')"
"('P33992', 'Q08945')"
"('P61088', 'Q16720')"
"('P25098', 'P28702')"
"('P54646', 'Q9UGJ0')"
"('Q96DI7', 'O60907')"
"('P18848', 'P01100')"
"('O95503', 'Q12830')"
"('Q16629', 'Q13243')"
"('Q9BYQ4', 'P60331')"
"('Q15717', 'Q969R2')"
"('P31327', 'P10398')"
"('Q9UJU2', 'Q13015')"
"('Q9BTT0', 'P35241')"
"('Q86YD3', 'P55268')"
"('P04899', 'Q15759')"
"('P00519', 'P10721')"
"('Q08117', 'P84022')"
"('P60520', 'Q04637')"
"('Q15154', 'P04629')"
"('Q9H0R8', 'Q86V81')"
"('P31947', 'Q5T5U3')"
"('Q8NEK8', 'P35548')"
"('Q92560', 'P43686')"
"('P11802', 'P30153')"
"('O43765', 'Q9HBU6')"
"('P35609', 'P38432')"
"('P28331', 'O43674')"
"('P10321', 'P43631')"
"('Q8TCT1', 'P34932')"
"('P22694', 'A6NET4')"
"('Q15796', 'Q99466')"
"('P38398', 'Q08043')"
"('P32121', 'O95221')"
"('P49069', 'Q9HBU6')"
"('P53350', 'O95613')"
"('Q7Z434', 'Q9Y2W7')"
"('Q9H8Y8', 'Q96E35')"
"('Q9H0E3', 'P84243')"
"('Q92954', 'P01106')"
"('Q9H4L4', 'Q9Y678')"
"('Q92804', 'Q13617')"
"('Q08945', 'Q8WXA9')"
"('Q09472', 'P11021')"
"('P62491', 'Q92831')"
"('P31943', 'P67775')"
"('Q01094', 'P35520')"
"('Q6P1J9', 'Q15046')"
"('O00560', 'Q8IXZ3')"
"('Q13613', 'Q96CW5')"
"('Q9NX40', 'O75306')"
"('Q8TC71', 'Q6ZU80')"
"('P30740', 'Q9UGI8')"
"('Q8N684', 'O14976')"
"('P60410', 'P20336')"
"('Q13418', 'Q15369')"
"('P04637', 'P00374')"
"('Q96HJ9', 'P99999')"
"('P62906', 'P46778')"
"('Q6NUS6', 'P18031')"
"('Q15717', 'O43823')"
"('Q5U5Q3', 'Q6ZN55')"
"('O60506', 'Q13573')"
"('P20226', 'P41235')"
"('O95231', 'Q08AM6')"
"('Q92598', 'Q53GS9')"
"('Q08379', 'Q8IYA8')"
"('Q92734', 'Q8N3D4')"
"('Q7L273', 'Q9NZD8')"
"('P63244', 'Q9NY59')"
"('Q06830', 'Q13617')"
"('P80723', 'P17980')"
"('O00560', 'Q53H96')"
"('P48729', 'Q9NRF8')"
"('O75934', 'Q9H0N5')"
"('Q8N488', 'Q8TC84')"
"('Q9Y230', 'P05412')"
"('P01730', 'Q13347')"
"('Q13148', 'P35268')"
"('O43639', 'A6NGB9')"
"('P02538', 'Q8NDF8')"
"('Q13077', 'P35452')"
"('O14980', 'Q5VWQ8')"
"('P27695', 'P13010')"
"('Q9H992', 'Q5H9I0')"
"('Q9UKG9', 'Q9UHP3')"
"('Q9H4P4', 'P13674')"
"('P83881', 'Q9Y3U8')"
"('Q9NUL5', 'P60369')"
"('P04062', 'P51812')"
"('Q96MH2', 'Q99081')"
"('Q04759', 'Q9NRA0')"
"('P41212', 'Q9UBN7')"
"('P61086', 'Q96J02')"
"('P55345', 'O15047')"
"('Q04206', 'P13224')"
"('Q93008', 'P63146')"
"('P84022', 'Q9GZN2')"
"('Q9BV68', 'P67870')"
"('Q96QR8', 'P08865')"
"('O00505', 'Q96MH2')"
"('Q86TC9', 'O14980')"
