negatives
"('P63151', 'Q00536')"
"('P31948', 'O43151')"
"('Q9BZD4', 'Q9Y5B0')"
"('P41218', 'Q96SI9')"
"('P46934', 'Q8WTQ7')"
"('Q96CS2', 'P36406')"
"('P41229', 'Q8N1G0')"
"('P55318', 'Q96S55')"
"('Q99963', 'P85298')"
"('Q96SB8', 'P46013')"
"('Q5MJ09', 'Q9BQ75')"
"('Q96T76', 'P34947')"
"('A4FU49', 'P05412')"
"('Q9Y4H2', 'P19235')"
"('O95971', 'Q92956')"
"('O14802', 'Q9H9Y6')"
"('P60468', 'P52739')"
"('O14964', 'P0C7T5')"
"('Q9BTL3', 'Q9BXF9')"
"('Q9UKV0', 'P05412')"
"('Q13526', 'P60410')"
"('P10276', 'O15379')"
"('P11142', 'P49736')"
"('P24941', 'Q8NHZ8')"
"('O14980', 'O14713')"
"('P42766', 'P62269')"
"('Q16635', 'Q5SZK8')"
"('P22694', 'A6NCV1')"
"('P07437', 'Q9HCK5')"
"('Q5T752', 'P49901')"
"('O14818', 'Q13618')"
"('P67809', 'Q9H9H4')"
"('Q01650', 'Q92542')"
"('O75771', 'O60504')"
"('Q8N393', 'A8MQ03')"
"('Q6P2H3', 'Q9H4B6')"
