negatives
"('Q9UKE5', 'Q5VU43')"
"('P63215', 'Q8TCU6')"
"('Q99459', 'P23258')"
"('P63104', 'Q12931')"
"('Q04771', 'Q96D21')"
"('P31749', 'Q9H7J1')"
"('Q16891', 'Q9BQD7')"
"('P51677', 'P08754')"
"('O60674', 'Q15303')"
"('Q14CB8', 'Q7L0Q8')"
"('P08588', 'Q99962')"
"('O95267', 'Q13574')"
"('Q99081', 'O95084')"
"('Q13547', 'O75446')"
"('P10588', 'P24468')"
"('Q9UBN7', 'Q7L7L0')"
"('O95299', 'O15239')"
"('P60953', 'P45983')"
