negatives
"('P42858', 'Q9BX66')"
"('P28566', 'P61952')"
"('Q16666', 'P28370')"
"('P41212', 'P09619')"
"('O94864', 'Q9HBJ0')"
"('P05023', 'Q53GQ0')"
"('Q15797', 'O00255')"
"('O75015', 'P24071')"
"('Q9Y3Z3', 'P22102')"
"('Q96RS6', 'Q15303')"
"('O76071', 'Q8N163')"
"('P24534', 'Q14999')"
"('O95274', 'Q5VYK3')"
"('Q96BA8', 'P78383')"
"('Q9NRD1', 'P26006')"
"('Q9UL62', 'Q9NZ72')"
"('P82912', 'P82675')"
"('Q01105', 'Q99567')"
"('Q8N162', 'O95817')"
"('P52333', 'P09327')"
"('Q8WV44', 'Q9C037')"
"('P46782', 'Q14204')"
"('Q9UBE0', 'O43852')"
"('Q13595', 'Q8WXF0')"
"('P11586', 'Q9NSE4')"
"('Q15468', 'Q9UHD2')"
"('P22301', 'Q14627')"
"('P27824', 'P04234')"
"('Q9BXW7', 'O75439')"
"('Q03405', 'Q93075')"
"('Q5XG85', 'Q99750')"
"('Q96IW7', 'Q13323')"
"('Q9H2A9', 'P27824')"
"('P06493', 'Q9H211')"
"('P68104', 'Q16637')"
"('Q5BKZ1', 'P35226')"
"('Q16854', 'P22676')"
"('Q13976', 'Q9UPR5')"
"('P04843', 'Q96GX1')"
"('Q9Y2D8', 'Q8WXA9')"
"('P38919', 'Q14240')"
"('Q9GZV8', 'P55081')"
"('Q92597', 'Q13200')"
"('Q00325', 'P30153')"
"('Q96HC4', 'P05129')"
"('Q6K0P9', 'Q07021')"
"('Q9NYB0', 'Q96MX6')"
"('Q6EEV4', 'P62875')"
"('Q96F24', 'Q8WUH2')"
"('Q14258', 'P08069')"
"('P34897', 'O14727')"
"('Q969V6', 'P84022')"
"('O60262', 'P35414')"
"('Q5JXC2', 'Q5T749')"
"('Q6ZT12', 'P23416')"
"('Q04759', 'Q9H0R8')"
"('Q9NYZ3', 'P51784')"
"('P51149', 'Q14999')"
"('P51617', 'Q05655')"
"('Q5JST6', 'Q8WY64')"
"('P50991', 'Q9NPJ1')"
"('O00459', 'P36897')"
"('Q15819', 'P21281')"
"('P62263', 'Q13620')"
"('Q96SB4', 'P08238')"
"('P43243', 'O15371')"
"('Q9Y6J9', 'O43291')"
"('Q8N2C7', 'Q9NPL8')"
"('Q92830', 'P11474')"
"('P47755', 'O15144')"
"('Q14990', 'Q5TA81')"
"('Q9H1Y3', 'Q9UI10')"
"('P25788', 'Q9H3S7')"
"('P55773', 'P51684')"
"('Q9BV73', 'P40429')"
"('P17980', 'P20618')"
"('P03372', 'Q14683')"
"('P29597', 'P17844')"
"('Q02556', 'P19474')"
"('Q07065', 'P25100')"
"('O43823', 'O75478')"
"('P0C5Z0', 'P62875')"
"('Q14032', 'O95999')"
"('O75147', 'Q14739')"
"('Q9Y5X0', 'O95070')"
"('P15927', 'P42285')"
"('Q92782', 'Q6STE5')"
"('P18621', 'P04629')"
"('Q13630', 'O76003')"
"('Q8TC41', 'O00165')"
"('O95816', 'P62266')"
"('O75410', 'Q9H788')"
"('Q9H0E7', 'P41208')"
"('P67870', 'P55010')"
"('Q96QR8', 'Q99496')"
"('P16220', 'O94842')"
"('Q16254', 'Q7L590')"
"('Q5S007', 'P47756')"
"('Q15131', 'P16455')"
"('Q9Y4W2', 'P01106')"
"('P54259', 'O95251')"
"('P02747', 'P02751')"
"('Q16186', 'P43686')"
"('P49792', 'Q9BW27')"
"('Q13131', 'P67775')"
"('P13686', 'Q05516')"
"('Q9BX66', 'Q13444')"
"('Q8TBB1', 'Q8IWZ5')"
"('P16871', 'Q3ZCW2')"
"('Q9BQ89', 'Q96QZ7')"
"('Q96A37', 'Q5VVX9')"
