negatives
"('Q9BX67', 'Q7L0Q8')"
"('P0DP25', 'P01106')"
"('Q17R98', 'Q8WXI9')"
"('P25942', 'Q13077')"
"('Q5T752', 'Q8NEC5')"
"('Q9H6Z9', 'Q6R327')"
"('Q9H814', 'O95229')"
"('P19022', 'O60331')"
"('P43358', 'P30450')"
"('P55209', 'Q6ZRP7')"
"('Q96LZ3', 'O14965')"
"('Q5T036', 'Q15717')"
"('Q9P1U0', 'Q15653')"
"('Q9UK53', 'Q93009')"
"('Q9H329', 'Q9BS26')"
"('P13612', 'Q96AE4')"
"('A8MQ03', 'Q9H9D4')"
"('Q15029', 'Q13123')"
"('Q8NHV4', 'Q9HC77')"
"('P00533', 'Q92600')"
"('Q8NHQ1', 'Q16512')"
"('Q14164', 'Q9HC38')"
"('Q99567', 'Q9UBU9')"
"('Q14694', 'Q9UL17')"
"('O60568', 'O60504')"
"('Q8NGJ7', 'Q9P2W3')"
"('P15498', 'P07437')"
"('O14979', 'Q07955')"
"('Q96SQ5', 'O75069')"
"('P35579', 'O75955')"
"('Q13555', 'Q13698')"
"('A5D8V6', 'O75340')"
"('P84077', 'O43747')"
"('Q7L1Q6', 'Q9BTV4')"
"('P54257', 'Q9Y383')"
"('P68400', 'Q92905')"
"('O14980', 'O00165')"
"('Q86XL3', 'Q99549')"
"('O43913', 'Q86VP1')"
"('O75771', 'Q9UK58')"
"('Q16637', 'P06748')"
"('O14656', 'O95295')"
"('P62851', 'P05386')"
"('Q9ULK4', 'P62140')"
"('O00141', 'Q9Y4L1')"
"('Q9Y6K9', 'Q9BWX1')"
"('P16520', 'Q9UK08')"
"('P10912', 'O43765')"
"('Q00839', 'Q13823')"
"('Q9Y258', 'P32302')"
"('Q9BQ66', 'Q5T751')"
"('P30154', 'P36507')"
"('Q92956', 'Q9UBX3')"
"('O14980', 'Q5W0B1')"
"('P01106', 'P40337')"
"('Q9Y4Z0', 'Q9UNX3')"
"('P84077', 'Q9Y678')"
"('O75530', 'Q15424')"
"('Q99523', 'P98170')"
"('Q8WVC0', 'Q14241')"
"('Q96C74', 'P05067')"
"('P28482', 'O95863')"
"('Q9H0C1', 'Q7L5A3')"
"('P51687', 'O43186')"
"('Q9P2W1', 'P42336')"
"('O15350', 'O60341')"
"('O75530', 'P62314')"
"('Q9P2P5', 'P23284')"
"('Q13555', 'P16949')"
"('Q9H6Z9', 'Q96EK7')"
"('Q99590', 'Q6P582')"
"('P01857', 'P29353')"
"('Q16849', 'P17655')"
"('P51991', 'P26599')"
"('Q99750', 'O14656')"
"('Q9NXV6', 'Q96CS3')"
"('P14866', 'O00141')"
"('Q9UNS2', 'Q15744')"
"('P01106', 'P62244')"
"('P61758', 'P59998')"
"('Q8IWC1', 'Q8N4C6')"
"('P57086', 'Q13137')"
"('P01137', 'Q9BYQ6')"
"('Q9NZD8', 'O15049')"
"('Q92614', 'Q6PJ61')"
"('Q9Y2D8', 'Q9NUL5')"
"('Q9BRK4', 'Q96IQ9')"
"('Q15022', 'P16615')"
"('P67870', 'O60749')"
"('Q86XK2', 'O14558')"
